scenario,chemistry,year,value
NCX,NCA,2038,0.047862839
NCX,NMC532,2038,0.023046252
NCX,NMC622,2038,0.064258373
NCX,NMC811,2038,0.28062201
NCX,NMC900,2038,0.255
NCX,NMC900-Si,2038,0.255
NCX,LFP,2038,0.074210526
NCX,SIB,2038,0
NCX,ASSB (polymer),2038,0
NCX,ASSB (oxidic),2038,0
NCX,ASSB (sulfidic),2038,0
NCX,LSB,2038,0
NCX,LAB,2038,0
NCX,NCA,2039,0.038325359
NCX,NMC532,2039,0.014401914
NCX,NMC622,2039,0.058038278
NCX,NMC811,2039,0.287129187
NCX,NMC900,2039,0.27
NCX,NMC900-Si,2039,0.27
NCX,LFP,2039,0.062105263
NCX,SIB,2039,0
NCX,ASSB (polymer),2039,0
NCX,ASSB (oxidic),2039,0
NCX,ASSB (sulfidic),2039,0
NCX,LSB,2039,0
NCX,LAB,2039,0
NCX,NCA,2040,0.028787879
NCX,NMC532,2040,0.005757576
NCX,NMC622,2040,0.051818182
NCX,NMC811,2040,0.293636364
NCX,NMC900,2040,0.285
NCX,NMC900-Si,2040,0.285
NCX,LFP,2040,0.05
NCX,SIB,2040,0
NCX,ASSB (polymer),2040,0
NCX,ASSB (oxidic),2040,0
NCX,ASSB (sulfidic),2040,0
NCX,LSB,2040,0
NCX,LAB,2040,0
PLIB,NCA,2010,0.1
PLIB,NMC111,2010,0.3
PLIB,NMC532,2010,0.38
PLIB,NMC622,2010,0
PLIB,NMC811,2010,0
PLIB,NMC900,2010,0
PLIB,NMC900-Si,2010,0
PLIB,LFP,2010,0.22
PLIB,SIB,2010,0
PLIB,ASSB (polymer),2010,0
PLIB,ASSB (oxidic),2010,0
PLIB,ASSB (sulfidic),2010,0
PLIB,LSB,2010,0
PLIB,LAB,2010,0
PLIB,NCA,2015,0.2
PLIB,NMC111,2015,0.2
PLIB,NMC532,2015,0.25
PLIB,NMC622,2015,0.11
PLIB,NMC811,2015,0.03
PLIB,NMC900,2015,0
PLIB,NMC900-Si,2015,0
PLIB,LFP,2015,0.21
PLIB,SIB,2015,0
PLIB,ASSB (polymer),2015,0
PLIB,ASSB (oxidic),2015,0
PLIB,ASSB (sulfidic),2015,0
PLIB,LSB,2015,0
PLIB,LAB,2015,0
PLIB,NCA,2021,0.21
PLIB,NMC532,2021,0.17
PLIB,NMC622,2021,0.17
PLIB,NMC811,2021,0.17
PLIB,NMC900,2021,0
PLIB,NMC900-Si,2021,0
PLIB,LFP,2021,0.28
PLIB,SIB,2021,0
PLIB,ASSB (polymer),2021,0
PLIB,ASSB (oxidic),2021,0
PLIB,ASSB (sulfidic),2021,0
PLIB,LSB,2021,0
PLIB,LAB,2021,0
PLIB,NCA,2022,0.189700871
PLIB,NMC532,2022,0.14052508
PLIB,NMC622,2022,0.152878933
PLIB,NMC811,2022,0.22005301
PLIB,NMC900,2022,0
PLIB,NMC900-Si,2022,0
PLIB,LFP,2022,0.265263158
PLIB,SIB,2022,0
PLIB,ASSB (polymer),2022,0.031578947
PLIB,ASSB (oxidic),2022,0
PLIB,ASSB (sulfidic),2022,0
PLIB,LSB,2022,0
PLIB,LAB,2022,0
PLIB,NCA,2023,0.169018068
PLIB,NMC532,2023,0.112570885
PLIB,NMC622,2023,0.133273577
PLIB,NMC811,2023,0.27145326
PLIB,NMC900,2023,0
PLIB,NMC900-Si,2023,0
PLIB,LFP,2023,0.250526316
PLIB,SIB,2023,0
PLIB,ASSB (polymer),2023,0.063157895
PLIB,ASSB (oxidic),2023,0
PLIB,ASSB (sulfidic),2023,0
PLIB,LSB,2023,0
PLIB,LAB,2023,0
PLIB,NCA,2024,0.147906977
PLIB,NMC532,2024,0.086149327
PLIB,NMC622,2024,0.111059976
PLIB,NMC811,2024,0.324357405
PLIB,NMC900,2024,0
PLIB,NMC900-Si,2024,0
PLIB,LFP,2024,0.235789474
PLIB,SIB,2024,0.009473684
PLIB,ASSB (polymer),2024,0.085263158
PLIB,ASSB (oxidic),2024,0
PLIB,ASSB (sulfidic),2024,0
PLIB,LSB,2024,0
PLIB,LAB,2024,0
PLIB,NCA,2025,0.126315789
PLIB,NMC532,2025,0.061274238
PLIB,NMC622,2025,0.086094183
PLIB,NMC811,2025,0.378947368
PLIB,NMC900,2025,0
PLIB,NMC900-Si,2025,0
PLIB,LFP,2025,0.221052632
PLIB,SIB,2025,0.025263158
PLIB,ASSB (polymer),2025,0.101052632
PLIB,ASSB (oxidic),2025,0
PLIB,ASSB (sulfidic),2025,0
PLIB,LSB,2025,0
PLIB,LAB,2025,0
PLIB,NCA,2026,0.109112385
PLIB,NMC532,2026,0.055494912
PLIB,NMC622,2026,0.085092199
PLIB,NMC811,2026,0.386089977
PLIB,NMC900,2026,0
PLIB,NMC900-Si,2026,0
PLIB,LFP,2026,0.206315789
PLIB,SIB,2026,0.047368421
PLIB,ASSB (polymer),2026,0.110526316
PLIB,ASSB (oxidic),2026,0
PLIB,ASSB (sulfidic),2026,0
PLIB,LSB,2026,0
PLIB,LAB,2026,0
PLIB,NCA,2027,0.09200569
PLIB,NMC532,2027,0.050008834
PLIB,NMC622,2027,0.083817624
PLIB,NMC811,2027,0.381321764
PLIB,NMC900,2027,0.011793457
PLIB,NMC900-Si,2027,0
PLIB,LFP,2027,0.191578947
PLIB,SIB,2027,0.075789474
PLIB,ASSB (polymer),2027,0.113684211
PLIB,ASSB (oxidic),2027,0
PLIB,ASSB (sulfidic),2027,0
PLIB,LSB,2027,0
PLIB,LAB,2027,0
PLIB,NCA,2028,0.075002732
PLIB,NMC532,2028,0.044815229
PLIB,NMC622,2028,0.082272733
PLIB,NMC811,2028,0.378783027
PLIB,NMC900,2028,0.021231543
PLIB,NMC900-Si,2028,0
PLIB,LFP,2028,0.176842105
PLIB,SIB,2028,0.110526316
PLIB,ASSB (polymer),2028,0.110526316
PLIB,ASSB (oxidic),2028,0
PLIB,ASSB (sulfidic),2028,0
PLIB,LSB,2028,0
PLIB,LAB,2028,0
PLIB,NCA,2029,0.058111236
PLIB,NMC532,2029,0.039913243
PLIB,NMC622,2029,0.08046003
PLIB,NMC811,2029,0.37580089
PLIB,NMC900,2029,0.030977759
PLIB,NMC900-Si,2029,0
PLIB,LFP,2029,0.162105263
PLIB,SIB,2029,0.151578947
PLIB,ASSB (polymer),2029,0.101052632
PLIB,ASSB (oxidic),2029,0
PLIB,ASSB (sulfidic),2029,0
PLIB,LSB,2029,0
PLIB,LAB,2029,0
PLIB,NCA,2030,0.041339713
PLIB,NMC532,2030,0.035301939
PLIB,NMC622,2030,0.078382271
PLIB,NMC811,2030,0.3599735
PLIB,NMC900,2030,0.041021715
PLIB,NMC900-Si,2030,0.012401914
PLIB,LFP,2030,0.147368421
PLIB,SIB,2030,0.142105263
PLIB,ASSB (polymer),2030,0.113684211
PLIB,ASSB (oxidic),2030,0.028421053
PLIB,ASSB (sulfidic),2030,0
PLIB,LSB,2030,0
PLIB,LAB,2030,0
PLIB,NCA,2031,0.03663624
PLIB,NMC532,2031,0.027102248
PLIB,NMC622,2031,0.066523699
PLIB,NMC811,2031,0.343103085
PLIB,NMC900,2031,0.051530281
PLIB,NMC900-Si,2031,0.026683395
PLIB,LFP,2031,0.132631579
PLIB,SIB,2031,0.126315789
PLIB,ASSB (polymer),2031,0.126315789
PLIB,ASSB (oxidic),2031,0.063157895
PLIB,ASSB (sulfidic),2031,0
PLIB,LSB,2031,0
PLIB,LAB,2031,0
PLIB,NCA,2032,0.032044155
PLIB,NMC532,2032,0.019890566
PLIB,NMC622,2032,0.054211543
PLIB,NMC811,2032,0.324849679
PLIB,NMC900,2032,0.062310476
PLIB,NMC900-Si,2032,0.041430422
PLIB,LFP,2032,0.117894737
PLIB,SIB,2032,0.121578947
PLIB,ASSB (polymer),2032,0.121578947
PLIB,ASSB (oxidic),2032,0.104210526
PLIB,ASSB (sulfidic),2032,0
PLIB,LSB,2032,0
PLIB,LAB,2032,0
PLIB,NCA,2033,0.027568541
PLIB,NMC532,2033,0.013639173
PLIB,NMC622,2033,0.041497909
PLIB,NMC811,2033,0.305301901
PLIB,NMC900,2033,0.073312628
PLIB,NMC900-Si,2033,0.056574585
PLIB,LFP,2033,0.103157895
PLIB,SIB,2033,0.12
PLIB,ASSB (polymer),2033,0.12
PLIB,ASSB (oxidic),2033,0.12
PLIB,ASSB (sulfidic),2033,0.018947368
PLIB,LSB,2033,0
PLIB,LAB,2033,0
PLIB,NCA,2034,0.023214794
PLIB,NMC532,2034,0.008318634
PLIB,NMC622,2034,0.028438122
PLIB,NMC811,2034,0.284553846
PLIB,NMC900,2034,0.084483992
PLIB,NMC900-Si,2034,0.072043243
PLIB,LFP,2034,0.088421053
PLIB,SIB,2034,0.123157895
PLIB,ASSB (polymer),2034,0.123157895
PLIB,ASSB (oxidic),2034,0.123157895
PLIB,ASSB (sulfidic),2034,0.041052632
PLIB,LSB,2034,0
PLIB,LAB,2034,0
PLIB,NCA,2035,0.018988648
PLIB,NMC532,2035,0.00389767
PLIB,NMC622,2035,0.015090978
PLIB,NMC811,2035,0.262705512
PLIB,NMC900,2035,0.095768516
PLIB,NMC900-Si,2035,0.087759202
PLIB,LFP,2035,0.073684211
PLIB,SIB,2035,0.120842105
PLIB,ASSB (polymer),2035,0.120842105
PLIB,ASSB (oxidic),2035,0.120842105
PLIB,ASSB (sulfidic),2035,0.066315789
PLIB,LSB,2035,0.013263158
PLIB,LAB,2035,0
PLIB,NCA,2036,0.017748168
PLIB,NMC532,2036,0.003632666
PLIB,NMC622,2036,0.016087521
PLIB,NMC811,2036,0.228839112
PLIB,NMC900,2036,0.102183939
PLIB,NMC900-Si,2036,0.098877015
PLIB,LFP,2036,0.058947368
PLIB,SIB,2036,0.118421053
PLIB,ASSB (polymer),2036,0.118421053
PLIB,ASSB (oxidic),2036,0.118421053
PLIB,ASSB (sulfidic),2036,0.094736842
PLIB,LSB,2036,0.023684211
PLIB,LAB,2036,0
PLIB,NCA,2037,0.016457582
PLIB,NMC532,2037,0.003356481
PLIB,NMC622,2037,0.017215497
PLIB,NMC811,2037,0.196782046
PLIB,NMC900,2037,0.107827231
PLIB,NMC900-Si,2037,0.108887479
PLIB,LFP,2037,0.044210526
PLIB,SIB,2037,0.117473684
PLIB,ASSB (polymer),2037,0.117473684
PLIB,ASSB (oxidic),2037,0.117473684
PLIB,ASSB (sulfidic),2037,0.117473684
PLIB,LSB,2037,0.035368421
PLIB,LAB,2037,0
PLIB,NCA,2038,0.01510343
PLIB,NMC532,2038,0.00306611
PLIB,NMC622,2038,0.018510219
PLIB,NMC811,2038,0.166538278
PLIB,NMC900,2038,0.112688187
PLIB,NMC900-Si,2038,0.117777987
PLIB,LFP,2038,0.029473684
PLIB,SIB,2038,0.118105263
PLIB,ASSB (polymer),2038,0.118105263
PLIB,ASSB (oxidic),2038,0.118105263
PLIB,ASSB (sulfidic),2038,0.118105263
PLIB,LSB,2038,0.048315789
PLIB,LAB,2038,0.016105263
PLIB,NCA,2039,0.013666954
PLIB,NMC532,2039,0.002757368
PLIB,NMC622,2039,0.020020889
PLIB,NMC811,2039,0.138113334
PLIB,NMC900,2039,0.116752585
PLIB,NMC900-Si,2039,0.125530975
PLIB,LFP,2039,0.014736842
PLIB,SIB,2039,0.119368421
PLIB,ASSB (polymer),2039,0.119368421
PLIB,ASSB (oxidic),2039,0.119368421
PLIB,ASSB (sulfidic),2039,0.119368421
PLIB,LSB,2039,0.062526316
PLIB,LAB,2039,0.028421053
PLIB,NCA,2040,0.012121212
PLIB,NMC532,2040,0.002424242
PLIB,NMC622,2040,0.021818182
PLIB,NMC811,2040,0.123636364
PLIB,NMC900,2040,0.12
PLIB,NMC900-Si,2040,0.12
PLIB,LFP,2040,0
PLIB,SIB,2040,0.12
PLIB,ASSB (polymer),2040,0.12
PLIB,ASSB (oxidic),2040,0.12
PLIB,ASSB (sulfidic),2040,0.12
PLIB,LSB,2040,0.078
PLIB,LAB,2040,0.042
MIX,NMC111,2021,0
LFP,NMC111,2021,0
NCX,NMC111,2021,0
PLIB,NMC111,2021,0
MIX,NMC111,2040,0
LFP,NMC111,2040,0
NCX,NMC111,2040,0
PLIB,NMC111,2040,0
