market,method,impact category,unit,total score,Layer 1 reconstructed score,Layer 1 difference,Layer 2 reconstructed score,Layer 2 difference
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.000992987029027244,0.0009929870240569308,-4.970313223495726e-12,0.0009929870321740808,3.146836740838821e-12
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.000992987029027244,0.0009929870240569308,-4.970313223495726e-12,0.0009929870321740808,3.146836740838821e-12
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.0010019519278972047,0.0010019519244581715,-3.4390331294514853e-12,0.0010019519325753215,4.6781168348830615e-12
Generic,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,0.002121623679998039,0.002121623688520435,8.52239589663184e-12,0.002121623700392622,2.0394582724014843e-11
Transport,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,0.002274734340270223,0.0022747343493094143,9.039191270487912e-12,0.0022747343611816007,2.0911377664190045e-11
Chemicals,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,0.0021021282671600202,0.0021021282745204207,7.360400483547025e-12,0.002102128286392607,1.9232586877249158e-11
Steel,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,0.002233148223938479,0.0022331482307788547,6.8403754882595535e-12,0.002233148242651041,1.8712561881961687e-11
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,0.002233148223938479,0.0022331482307788547,6.8403754882595535e-12,0.002233148242651041,1.8712561881961687e-11
Other end uses,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,0.0022740250209302973,0.002274025028384259,7.453961926862096e-12,0.0022740250402564456,1.932614832056423e-11
Generic,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: carcinogenic,CTUh,2.812860538487097e-09,2.8128605465291302e-09,8.042033135746216e-18,2.8128605677254605e-09,2.9238363451669526e-17
Transport,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: carcinogenic,CTUh,2.9155446549338444e-09,2.915544659987744e-09,5.053899834770363e-18,2.9155446811840745e-09,2.6250230150693674e-17
Chemicals,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: carcinogenic,CTUh,2.7806266490400944e-09,2.7806266551608492e-09,6.1207547890397116e-18,2.7806266763571795e-09,2.7317085104963022e-17
Steel,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: carcinogenic,CTUh,2.952165795077398e-09,2.9521657989849547e-09,3.907556545947425e-18,2.952165820181285e-09,2.5103886861870735e-17
Cement,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: carcinogenic,CTUh,2.952165795077398e-09,2.9521657989849547e-09,3.907556545947425e-18,2.952165820181285e-09,2.5103886861870735e-17
Other end uses,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: carcinogenic,CTUh,2.975547998366787e-09,2.9755480061622825e-09,7.795495676487542e-18,2.9755480273586128e-09,2.899182599241085e-17
Generic,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: non-carcinogenic,CTUh,1.4986465997383985e-07,1.4986465944558907e-07,-5.282507740661643e-16,1.4986466081002508e-07,8.361852345268309e-16
Transport,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: non-carcinogenic,CTUh,1.5632490158682213e-07,1.5632490085780564e-07,-7.290164819880691e-16,1.5632490222224163e-07,6.354195001351465e-16
Chemicals,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: non-carcinogenic,CTUh,1.4788718047833086e-07,1.478871798322134e-07,-6.461174468496295e-16,1.478871811966494e-07,7.183185352735861e-16
Steel,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: non-carcinogenic,CTUh,1.5872048430505295e-07,1.5872048351256784e-07,-7.924851107120871e-16,1.5872048487700382e-07,5.719508714111286e-16
Cement,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: non-carcinogenic,CTUh,1.5872048430505295e-07,1.5872048351256784e-07,-7.924851107120871e-16,1.5872048487700382e-07,5.719508714111286e-16
Other end uses,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",human toxicity: non-carcinogenic,CTUh,1.601858204889516e-07,1.6018581994969933e-07,-5.392522762131196e-16,1.601858213141353e-07,8.251837059100961e-16
Generic,"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",material resources: metals/minerals,kg Sb-Eq,0.000110249338607042,0.00011024933813281264,-4.74229366171329e-13,0.00011024933915717815,5.501361492006238e-13
Transport,"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",material resources: metals/minerals,kg Sb-Eq,0.00011467198589558667,0.0001146719852725985,-6.229881790564135e-13,0.00011467198629696402,4.0137734986806645e-13
Chemicals,"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",material resources: metals/minerals,kg Sb-Eq,0.00010877132289294217,0.0001087713223306247,-5.62317472316623e-13,0.00010877132335499022,4.620480566078569e-13
Steel,"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",material resources: metals/minerals,kg Sb-Eq,0.0001165266829088119,0.00011652668224080037,-6.680115309650944e-13,0.0001165266832651659,3.563539979593855e-13
Cement,"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",material resources: metals/minerals,kg Sb-Eq,0.0001165266829088119,0.00011652668224080037,-6.680115309650944e-13,0.0001165266832651659,3.563539979593855e-13
Other end uses,"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",material resources: metals/minerals,kg Sb-Eq,0.00011751642594656563,0.00011751642546523422,-4.813314189496681e-13,0.00011751642648959974,5.430341099748118e-13
Generic,"('EF v3.1', 'particulate matter formation', 'impact on human health')",particulate matter formation,disease incidence,1.2663107539656605e-07,1.2663107641038328e-07,1.0138172285795795e-15,1.2663107709479318e-07,1.6982271291504446e-15
Transport,"('EF v3.1', 'particulate matter formation', 'impact on human health')",particulate matter formation,disease incidence,1.3148449597193067e-07,1.3148449693267164e-07,9.607409794343226e-16,1.3148449761708155e-07,1.6451508800051877e-15
Chemicals,"('EF v3.1', 'particulate matter formation', 'impact on human health')",particulate matter formation,disease incidence,1.254176035848028e-07,1.2541760452629234e-07,9.41489535199788e-16,1.2541760521070224e-07,1.6258994357706532e-15
Steel,"('EF v3.1', 'particulate matter formation', 'impact on human health')",particulate matter formation,disease incidence,1.3185647617166144e-07,1.3185647705469405e-07,8.830326151362166e-16,1.3185647773910398e-07,1.5674425421768613e-15
Cement,"('EF v3.1', 'particulate matter formation', 'impact on human health')",particulate matter formation,disease incidence,1.3185647617166144e-07,1.3185647705469405e-07,8.830326151362166e-16,1.3185647773910398e-07,1.5674425421768613e-15
Other end uses,"('EF v3.1', 'particulate matter formation', 'impact on human health')",particulate matter formation,disease incidence,1.3304658244158652e-07,1.3304658342763976e-07,9.860532355740372e-16,1.3304658411204966e-07,1.6704631361449024e-15
