market,layer 1 group,component,contribution type,score,share of market (%),physical amount,physical unit,method,impact category,unit
Chemicals,Hydrogen distribution,Hydrogen leakage — distribution,Hydrogen leakage,0.06084626540541649,10.723182717432646,0.005531478673219681,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Production technology,PEM electrolysis,Technology excluding leakage,0.40896688258507785,63.13342461728444,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Production technology,Biomass gasification,Technology excluding leakage,4.7448830999291417e-07,7.324816073460067e-05,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Production technology,Biomass gasification with CCS,Technology excluding leakage,0.0678351273760055,10.471908809647939,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Production technology,Coal gasification with CCS,Technology excluding leakage,4.839446909214738e-06,0.000747079701664349,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Production technology,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Production technology,Steam methane reforming with CCS,Technology excluding leakage,0.001794989934839375,0.2770978936574188,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Hydrogen distribution,Hydrogen distribution,Distribution excluding leakage,0.06911829422210725,10.669995062592664,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Hydrogen distribution,Hydrogen leakage — distribution,Hydrogen leakage,0.1000612661987543,15.446752966250047,0.0090964787453413,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Production technology,PEM electrolysis,Technology excluding leakage,0.40896688258507785,63.13342461728444,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Production technology,Biomass gasification,Technology excluding leakage,4.7448830999291417e-07,7.324816073460067e-05,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Production technology,Biomass gasification with CCS,Technology excluding leakage,0.0678351273760055,10.471908809647939,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Production technology,Coal gasification with CCS,Technology excluding leakage,4.839446909214738e-06,0.000747079701664349,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Production technology,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Production technology,Steam methane reforming with CCS,Technology excluding leakage,0.001794989934839375,0.2770978936574188,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Hydrogen distribution,Hydrogen distribution,Distribution excluding leakage,0.06911829422210725,10.669995062592664,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Hydrogen distribution,Hydrogen leakage — distribution,Hydrogen leakage,0.1000612661987543,15.446752966250047,0.0090964787453413,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Production technology,PEM electrolysis,Technology excluding leakage,0.40896688258507785,62.63041732223033,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Production technology,Biomass gasification,Technology excluding leakage,4.7448830999291417e-07,7.26645656037781e-05,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Production technology,Biomass gasification with CCS,Technology excluding leakage,0.0678351273760055,10.38847524721527,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Production technology,Coal gasification with CCS,Technology excluding leakage,4.839446909214738e-06,0.0007411274419508606,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Production technology,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Production technology,Steam methane reforming with CCS,Technology excluding leakage,0.001794989934839375,0.27489015246804493,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Hydrogen distribution,Hydrogen distribution,Distribution excluding leakage,0.07839696336121979,12.005946547731421,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Hydrogen distribution,Hydrogen leakage — distribution,Hydrogen leakage,0.0959851669264026,14.699456893294867,0.0087259242660366,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
