market,market name,location,impact category,indicator,method,unit,score per kg H2
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.019085847945418205
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5266180148842581
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006121699102564889
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.5025620836495875
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.0179342321321058
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.737044652369928
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.047374714542492
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6896699378274347
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.333749222498405
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.0009787871545426634
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.002274734340270223
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.025520215845756894
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.9155446549338444e-09
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.561493950270399e-09
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.3540507046634455e-09
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.5632490158682213e-07
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.4767067969281138e-07
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,8.65422189401076e-09
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5533218747752068
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,121.62802937612598
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.00011467198589558667
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.2619097032454056e-07
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3148449597193067e-07
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006998815933353802
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.0259223046933927
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6179114282145076
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.670629555081206
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,206.32470135372517
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.018044476214448164
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.4842860793243607
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.005794368804285263
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.46132416494030387
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.017167545579771588
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,25.213693476352994
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,24.62316640198057
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.5905270743724279
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",13.435685747396297
