market,market name,location,impact category,indicator,method,unit,score per kg H2
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6472674424439502
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.415889086015445
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.000992987029027244
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.002233148223938479
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.025060927417922714
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.952165795077398e-09
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5888518962267999e-09
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.3633138988505981e-09
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.5872048430505295e-07
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5018593160511402e-07
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,8.534552699938955e-09
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5632070173790092
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,122.27734772795061
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.0001165266829088119
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.267151851701961e-07
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3185647617166144e-07
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006971365180621999
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.0525982142698362
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6477818763424286
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.745361402602033
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,209.04562182311406
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.01939987192834374
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5329798780682974
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006215387689808531
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.5083684412321312
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.018396049146357604
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,27.175856373104835
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.50289867992581
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6729576931790254
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.591229473129417
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.0010019519278972047
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.0022740250209302973
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.0255074163341123
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.975547998366787e-09
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.6022839333130572e-09
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.37326406505373e-09
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.601858204889516e-07
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.514649042644544e-07
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,8.72091622449724e-09
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5675503749654907
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,122.88226854805995
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.00011751642594656563
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.2756882884474353e-07
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3304658244158652e-07
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.007055240805130117
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.071278082083762
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6529844444129502
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.92825760986916
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,210.366709080053
