market,market name,location,impact category,indicator,method,unit,score per kg H2,baseline score per kg H2,absolute difference,difference (%),baseline
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.415889086015445,13.611852624512759,0.8040364615026867,5.906884857500927,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.000992987029027244,0.0009393775831888655,5.360944583837851e-05,5.706911341911394,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.002233148223938479,0.002121623679998039,0.00011152454394044,5.256565761018611,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.025060927417922714,0.02384908227445066,0.0012118451434720533,5.081307236590373,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.952165795077398e-09,2.812860538487097e-09,1.3930525659030112e-10,4.952440929233795,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5888518962267999e-09,1.500926302917644e-09,8.792559330915582e-11,5.858088644208423,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.3633138988505981e-09,1.3119342355694528e-09,5.13796632811453e-11,3.9163291793238137,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.5872048430505295e-07,1.4986465997383985e-07,8.855824331213103e-09,5.90921457584394,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5018593160511402e-07,1.4192597490916682e-07,8.259956695947199e-09,5.819904849153655,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,8.534552699938955e-09,7.938685064673061e-09,5.958676352658941e-10,7.505873207106922,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5632070173790092,0.533477154348011,0.029729863030998227,5.572846519985016,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,122.27734772795061,119.04601613342228,3.231331594528328,2.7143550867815462,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.0001165266829088119,0.000110249338607042,6.277344301769896e-06,5.6937704852307744,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.267151851701961e-07,1.2264534148455125e-07,4.069843685644844e-09,3.3183842422237397,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3185647617166144e-07,1.2663107539656605e-07,5.225400775095383e-09,4.126475873896814,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006971365180621999,0.006670176104270166,0.00030118907635183316,4.515459136963648,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.0525982142698362,1.9445338425539387,0.10806437171589756,5.55734075442814,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6477818763424286,0.5896335360036256,0.058148340338803006,9.861776304807307,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.745361402602033,13.920361680161008,0.8249997224410244,5.926568155314497,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,209.04562182311406,200.36012095470636,8.6855008684077,4.3349449117028405,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.01939987192834374,0.018245440192061084,0.0011544317362826573,6.327234224718629,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5329798780682974,0.4909472085536455,0.0420326695146519,8.561545677891154,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006215387689808531,0.005859813984991316,0.00035557370481721466,6.068003280103125,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.5083684412321312,0.4676867903182089,0.040681650913922285,8.698481923392135,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.018396049146357604,0.017400604250445307,0.0009954448959122973,5.7207490129937435,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,27.175856373104835,25.508016736580974,1.667839636523862,6.538492011148864,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.50289867992581,24.910507173807627,1.592391506118183,6.39244915813082,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6729576931790254,0.5975095627733503,0.0754481304056751,12.627100067734712,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.591229473129417,13.611852624512759,0.9793768486166581,7.195029770253006,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.0010019519278972047,0.0009393775831888655,6.257434470833916e-05,6.6612559026499945,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.0022740250209302973,0.002121623679998039,0.00015240134093225804,7.1832409474426155,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.0255074163341123,0.02384908227445066,0.0016583340596616376,6.9534502023090345,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.975547998366787e-09,2.812860538487097e-09,1.6268745987968972e-10,5.783701596780603,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.6022839333130572e-09,1.500926302917644e-09,1.0135763039541316e-10,6.753005140784361,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.37326406505373e-09,1.3119342355694528e-09,6.132982948427719e-11,4.67476401038171,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.601858204889516e-07,1.4986465997383985e-07,1.032116051511176e-08,6.886987577266987,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.514649042644544e-07,1.4192597490916682e-07,9.53892935528757e-09,6.721059595604345,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,8.72091622449724e-09,7.938685064673061e-09,7.822311598241793e-10,9.853409644691503,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5675503749654907,0.533477154348011,0.03407322061747964,6.387006517481,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,122.88226854805995,119.04601613342228,3.83625241463767,3.222495417518334,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.00011751642594656563,0.000110249338607042,7.267087339523631e-06,6.591501982089403,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.2756882884474353e-07,1.2264534148455125e-07,4.923487360192281e-09,4.0144104134705,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3304658244158652e-07,1.2663107539656605e-07,6.4155070450204705e-09,5.06629752999353,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.007055240805130117,0.006670176104270166,0.00038506470085995087,5.772931551438906,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.071278082083762,1.9445338425539387,0.12674423952982328,6.517975504265751,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6529844444129502,0.5896335360036256,0.06335090840932467,10.744115546530775,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.92825760986916,13.920361680161008,1.0078959297081518,7.240443552157002,Generic
Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,210.366709080053,200.36012095470636,10.006588125346639,4.994301299912241,Generic
