market,market name,location,impact category,indicator,method,unit,score per kg H2,baseline score per kg H2,absolute difference,difference (%),baseline
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.00011467198589558667,0.000110249338607042,4.4226472885446695e-06,4.011495528610981,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.2619097032454056e-07,1.2264534148455125e-07,3.5456288399893104e-09,2.890960877169499,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3148449597193067e-07,1.2663107539656605e-07,4.8534205753646114e-09,3.8327247558826505,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006998815933353802,0.006670176104270166,0.00032863982908363544,4.9270037844014976,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.0259223046933927,1.9445338425539387,0.08138846213945405,4.185499905342812,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6179114282145076,0.5896335360036256,0.02827789221088206,4.795841905896646,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.670629555081206,13.920361680161008,0.7502678749201976,5.3897153835410965,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,206.32470135372517,200.36012095470636,5.964580399018814,2.9769299252754866,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.018044476214448164,0.018245440192061084,-0.00020096397761291962,-1.1014476795159078,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.4842860793243607,0.4909472085536455,-0.006661129229284801,-1.3567913440039336,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.005794368804285263,0.005859813984991316,-6.544518070605333e-05,-1.116847409724565,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.46132416494030387,0.4676867903182089,-0.006362625377905051,-1.3604458175044865,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.017167545579771588,0.017400604250445307,-0.00023305867067371921,-1.339371135159027,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,25.213693476352994,25.508016736580974,-0.29432326022797994,-1.1538461153896447,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,24.62316640198057,24.910507173807627,-0.28734077182705775,-1.1534922585967449,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.5905270743724279,0.5975095627733503,-0.006982488400922415,-1.168598602591912,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",13.435685747396297,13.611852624512759,-0.1761668771164615,-1.2942167534139568,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.0009274769765831158,0.0009393775831888655,-1.1900606605749699e-05,-1.2668608255853,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.0021021282671600202,0.002121623679998039,-1.9495412838018995e-05,-0.9188911785730546,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.02364011436530761,0.02384908227445066,-0.0002089679091430499,-0.876209435391632,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.7806266490400944e-09,2.812860538487097e-09,-3.223388944700263e-11,-1.1459469463900154,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.4807673181378577e-09,1.500926302917644e-09,-2.015898477978631e-11,-1.3431029052258827,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.2998593309022373e-09,1.3119342355694528e-09,-1.2074904667215492e-11,-0.9203894783624049,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.4788718047833086e-07,1.4986465997383985e-07,-1.977479495508989e-09,-1.3195102139851884,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.4005250451143152e-07,1.4192597490916682e-07,-1.873470397735296e-09,-1.3200334885381795,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,7.834675966899347e-09,7.938685064673061e-09,-1.0400909777371458e-10,-1.3101552325907513,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5262813597412557,0.533477154348011,-0.007195794606755346,-1.3488477525433464,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,118.26212512726403,119.04601613342228,-0.7838910061582567,-0.6584773112270311,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.00010877132289294217,0.000110249338607042,-1.4780157140998365e-06,-1.3406118646823615,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.2170787651634868e-07,1.2264534148455125e-07,-9.374649682025649e-10,-0.7643706290472113,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.254176035848028e-07,1.2663107539656605e-07,-1.21347181176325e-09,-0.958273321112581,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006609736646582321,0.006670176104270166,-6.0439457687844894e-05,-0.9061148722767947,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,1.9180346815947544,1.9445338425539387,-0.026499160959184254,-1.362751338098617,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.5674272928922389,0.5896335360036256,-0.022206243111386637,-3.766109245056593,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,13.740557914071555,13.920361680161008,-0.17980376608945292,-1.291660160997866,Generic
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,198.23855628381813,200.36012095470636,-2.121564670888233,-1.058875718770322,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.019196698153048503,0.018245440192061084,0.0009512579609874186,5.213675038661593,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5238917877835467,0.4909472085536455,0.03294457922990124,6.7104117623883806,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006151797572510194,0.005859813984991316,0.00029198358751887817,4.982813247429575,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.49945545399639335,0.4676867903182089,0.03176866367818443,6.792722038732242,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.018284536214643172,0.017400604250445307,0.0008839319641978649,5.079892350147805,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.877369747832898,25.508016736580974,1.369353011251924,5.368324105292509,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.230102305388947,24.910507173807627,1.3195951315813197,5.297343495955874,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6472674424439502,0.5975095627733503,0.04975787967059986,8.327545326579855,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.415889086015445,13.611852624512759,0.8040364615026867,5.906884857500927,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.000992987029027244,0.0009393775831888655,5.360944583837851e-05,5.706911341911394,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.002233148223938479,0.002121623679998039,0.00011152454394044,5.256565761018611,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.025060927417922714,0.02384908227445066,0.0012118451434720533,5.081307236590373,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.952165795077398e-09,2.812860538487097e-09,1.3930525659030112e-10,4.952440929233795,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5888518962267999e-09,1.500926302917644e-09,8.792559330915582e-11,5.858088644208423,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.3633138988505981e-09,1.3119342355694528e-09,5.13796632811453e-11,3.9163291793238137,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.5872048430505295e-07,1.4986465997383985e-07,8.855824331213103e-09,5.90921457584394,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5018593160511402e-07,1.4192597490916682e-07,8.259956695947199e-09,5.819904849153655,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,8.534552699938955e-09,7.938685064673061e-09,5.958676352658941e-10,7.505873207106922,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5632070173790092,0.533477154348011,0.029729863030998227,5.572846519985016,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,122.27734772795061,119.04601613342228,3.231331594528328,2.7143550867815462,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.0001165266829088119,0.000110249338607042,6.277344301769896e-06,5.6937704852307744,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.267151851701961e-07,1.2264534148455125e-07,4.069843685644844e-09,3.3183842422237397,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.3185647617166144e-07,1.2663107539656605e-07,5.225400775095383e-09,4.126475873896814,Generic
