market,substage,process,process key,contribution type,score,share of market (%),physical amount,physical unit,method,impact category,unit
Chemicals,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",Process excluding leakage,0.01884453427847845,3.3210482672459762,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Transport,Hydrogen leakage — Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Hydrogen leakage,0.06084626540541649,10.723182717432646,0.005531478673219681,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Transport,Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Process excluding leakage,0.007919537009491637,1.2225623004780137,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Transport,Hydrogen leakage — Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Hydrogen leakage,0.003574999868869782,0.5518832803806286,0.00032499998807907106,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Transport,Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Process excluding leakage,0.009129790899255422,1.4093927651704259,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",Process excluding leakage,4.38715669978973e-06,0.0006772583272259695,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",Process excluding leakage,0.01884453427847845,2.9090863709988866,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Transport,Hydrogen leakage — Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Hydrogen leakage,0.06084626540541649,9.39301756155526,0.005531478673219681,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Conversion,Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Process excluding leakage,0.03322004487818194,5.128276367618112,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Conversion,Hydrogen leakage — Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Hydrogen leakage,0.03564000092446804,5.501852124314161,0.0032400000840425492,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Transport,Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Process excluding leakage,0.007919537009491637,1.2225623004780137,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Transport,Hydrogen leakage — Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Hydrogen leakage,0.003574999868869782,0.5518832803806286,0.00032499998807907106,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Transport,Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Process excluding leakage,0.009129790899255422,1.4093927651704259,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",Process excluding leakage,4.38715669978973e-06,0.0006772583272259695,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",Process excluding leakage,0.01884453427847845,2.9090863709988866,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Transport,Hydrogen leakage — Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Hydrogen leakage,0.06084626540541649,9.39301756155526,0.005531478673219681,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Conversion,Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Process excluding leakage,0.03322004487818194,5.128276367618112,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Cement,Conversion,Hydrogen leakage — Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Hydrogen leakage,0.03564000092446804,5.501852124314161,0.0032400000840425492,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Transport,Gaseous H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '40a5fc7722ba48529ca9fe3d9ed28e86')",Process excluding leakage,0.004845585191645095,0.7420674769674491,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Transport,Hydrogen leakage — Gaseous H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '40a5fc7722ba48529ca9fe3d9ed28e86')",Hydrogen leakage,0.0006874999846331776,0.10528581354663934,6.249999860301614e-05,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Transport,Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Process excluding leakage,0.009899421261864546,1.5160271192622943,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Transport,Hydrogen leakage — Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Hydrogen leakage,0.004468749836087227,0.68435777824765,0.00040624998509883884,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Transport,Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Process excluding leakage,0.005706119312034633,0.8738522580219473,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",Process excluding leakage,2.7419729373685815e-06,0.00041991397510758246,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",Process excluding leakage,0.011777833924049031,1.8036928788767097,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Transport,Hydrogen leakage — Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Hydrogen leakage,0.038028915878385305,5.823862452431662,0.0034571741707623005,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Conversion,Compression (lorry),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '140fec13868a4f0ab927078173d067ae')",Process excluding leakage,0.004640205600961693,0.7106150292957373,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Conversion,Hydrogen leakage — Compression (lorry),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '140fec13868a4f0ab927078173d067ae')",Hydrogen leakage,0.008250000071711838,1.2634298017816947,0.000750000006519258,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Conversion,Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Process excluding leakage,0.04152505609772743,6.359271871332176,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Other end uses,Conversion,Hydrogen leakage — Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Hydrogen leakage,0.04455000115558505,6.82252104728722,0.004050000105053186,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
