classification;classification code;category 1;category 2;category 3
4322:Plumbing heat and air-conditioning installation;4322;Material;Construction;Others
4322a: Installation of solar collector systems;4322a;Material;Construction;Others
4390:Other specialized construction activities;4390;Material;Construction;Others
4520:Maintenance and repair of motor vehicles;4520;Transport;Service;
4540:Sale maintenance and repair of motorcycles and related parts and accessori;4540;Transport;Service;
4911:Passenger rail transport interurban;4911;Transport;Rail;
4912:Freight rail transport;4912;Transport;Rail;
4921:Urban and suburban passenger land transport;4921;Transport;Others;
4922:Other passenger land transport;4922;Transport;Others;
4923:Freight transport by road;4923;Transport;Road;
4930:Transport via pipeline;4930;Transport;Pipeline;
49:Land transport and transport via pipelines;49;Transport;Pipeline;
5012:Sea and coastal freight water transport;5012;Transport;Water;
5022:Inland freight water transport;5022;Transport;Water;
5110:Passenger air transport;5110;Transport;Air;
5120:Freight air transport;5120;Transport;Air;
5510:Short term accommodation activities;5510;Use;Real estate;
6110:Wired telecommunications activities;6110;Use;Telecommunications;
68:Real estate activities;68;Use;Real estate;
7110:Architectural and engineering activities and related technical consultancy;7110;Use;Consultancy;
8219:Photocopying document preparation and other specialized office support act;8219;Use;Printing;
8292:Packaging activities;8292;Use;Packaging;
9529:Repair of other personal and household goods;9529;Use;Repair;
01913: Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets,;01913;Material;Agricultural;Crops
1429: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),;1429;Material;Non-ferrous metals;
17100: Electrical energy,;17100;Energy;Electricity;
17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons,;17200;Processing;Fuels;
21221: Fish fillets and fish meat (whether or not minced), fresh or chilled,;21221;Material;Agricultural;Fish
2151: Animal fats, unrendered,;2151;Processing;Animal oils and fats;
34654: Excreta of animals useful for manure/fertilizer and fuel preparation,;34654;Processing;Fertilisers;
37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked, waste and scrap of glass,;37111;Processing;Glass;
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers,;37440;Processing;Non-metallic mineral products;
374: Plaster, lime and cement,;374;Processing;Non-metallic mineral products;
39120: Bran and other residues from the working of cereals or legumes, vegetable materials and vegetable waste, veget[…],;39120;Processing;Starch;
39149: Beet-pulp and other waste of sugar manufacture,;39149;Processing;Sugar;
39240: Waste and scrap of paper or paperboard,;39240;Processing;Paper;
39270: Waste, parings and scrap of plastics,;39270;Processing;Plastics;
3928: Sawdust and wood waste and scrap,;3928;Processing;Wood;
39310: Slag, dross, scalings and other waste from the manufacture of iron or steel,;39310;Processing;Iron and steel;
39361: Waste and scrap of copper,;39361;Processing;Non-ferrous metals;
39363: Waste and scrap of aluminium,;39363;Processing;Non-ferrous metals;
39364: Waste and scrap of lead,;39364;Processing;Non-ferrous metals;
39920: Sewage sludge,;39920;Waste treatment;Wastewater Treatment;
39990: Other wastes n.e.c.,;39990;Waste treatment;Others;
39: Wastes or scraps,;39;Waste treatment;Others;
86119: Other support services to crop production;86119;Material;Agricultural;Others
34659: Fertilizers n.e.c.;34659;Processing;Fertilisers;
0149:Raising of other animals;0149;Material;Agricultural;Cattle
072:Mining of non-ferrous metal ores;072;Material;Metals;Non-ferrous metals
1080:Manufacture of prepared animal feeds;1080;Processing;Animal feed;
131:Spinning weaving and finishing of textiles;131;Processing;Textile;
1709:Manufacture of other articles of paper and paperboard;1709;Processing;Paper;
23:Manufacture of other non-metallic mineral products;23;Processing;Non-metallic mineral products;
243:Casting of metals;243;Processing;Iron and steel;
2640:Manufacture of consumer electronics;2640;Processing;Electronics;
2740:Manufacture of electric lighting equipment;2740;Processing;Electrical;
3230:Manufacture of sports goods;3230;Processing;Others;
381:Waste collection;381;Waste treatment;Collection of non-hasardous waste;
38:Waste collection treatment and disposal activities, materials recovery;38;Waste treatment;Materials recovery;
4669:Wholesale of waste and scrap and other products n.e.c.;4669;Waste treatment;Materials recovery;
9601:Washing and (dry-) cleaning of textile and fur products;9601;Processing;Textile;
39211: Silk waste;39211;Waste treatment;Collection of non-hasardous waste;
39216: Waste of man-made fibres;39216;Waste treatment;Collection of non-hasardous waste;
39331: Waste and scrap of gold or of metal clad with gold;39331;Waste treatment;Materials recovery;
39340: Ferrous waste and scrap;39340;Waste treatment;Materials recovery;
39365: Waste and scrap of zinc;39365;Waste treatment;Materials recovery;
39366: Waste and scrap of tin;39366;Waste treatment;Materials recovery;
88422: Fertilizer manufacturing services;88422;Processing;Fertilisers;
