Iron-59;water;ocean;kilo Becquerel;885c00c7-2c39-40d7-b4cb-d658038ee40a
Thorium;natural resource;in ground;kilogram;e6f4c904-1cb6-5c9c-a098-6505e98391ce
Radium-226;water;ground-, long-term;kilo Becquerel;090cc44a-7ca1-46fc-98bf-5bc6f5afb0a6
Butyrolactone;air;non-urban air or from high stacks;kilogram;e8ee3fc4-2890-4d6a-a1df-40c4b48d698b
Benzovindiflupyr;water;ground-;kilogram;15be40a9-968f-5247-9817-f4062dcf9bfd
Iodine-135;air;urban air close to ground;kilo Becquerel;c70af2bf-48c5-45d2-ba0a-53e576a36223
Ethylene glycol monoethyl ether;water;ground-, long-term;kilogram;2e2c0b46-41cf-4be8-9a92-246aecc58608
Potassium I;water;surface water;kilogram;1653bf60-f682-4088-b02d-6dc44eae2786
Hexane;water;surface water;kilogram;e55802e0-4678-42df-978e-e18aa552c33e
Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;air;unspecified;kilogram;cacfd448-6c2d-4061-9363-fd506b979f25
Hymexazol;soil;agricultural;kilogram;3aa11bfe-0524-5028-8371-c98857c61949
Pentane;water;unspecified;kilogram;13fcf4c3-7800-5444-ba84-6d4b7e611ce6
Triethylammonium;water;unspecified;kilogram;da2f6f64-5027-4bb7-95fd-e77b8cb3759b
Ethyne;air;urban air close to ground;kilogram;1a13d6e7-45c9-427a-a3c9-38887ce7b86a
Monochloroethane;water;ocean;kilogram;944e2b6d-7a4e-4d37-875d-12e9ab746375
Anthranilic acid;air;low population density, long-term;kilogram;412022a7-3c01-4e3c-92c8-d710927ed17a
Chloroform;water;ocean;kilogram;d08cd491-53a2-4b2c-a385-08c76cf09e6b
Propargite;soil;agricultural;kilogram;6b3026ac-76b1-493d-bbcc-1281ac24905e
Boron trifluoride;air;low population density, long-term;kilogram;67a368ef-a4b8-4759-8128-93d080ccd21a
Plutonium-238;air;unspecified;kilo Becquerel;336fca6f-2dc9-4514-96ae-2a2af154c74e
Dysprosium;natural resource;in ground;kilogram;9e28eac3-49f9-5a0d-a8d0-dc4e071ad9e6
Dimethyl malonate;air;lower stratosphere + upper troposphere;kilogram;07798b07-13be-41f9-b754-5b389695cf78
Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;water;unspecified;kilogram;737c3221-1456-4c6b-8605-6ac00dc88b2e
Methyl lactate;air;low population density, long-term;kilogram;aeb30261-e0d7-4c02-9f00-3c5df948a553
Occupation, annual crop, greenhouse;natural resource;land;square meter-year;9e80f7cd-47fa-4c7f-8f2c-bdb9731b3196
Beryllium;natural resource;in ground;kilogram;68f7bc03-0665-55a1-bd99-96530eab30e2
Hydrazine;water;unspecified;kilogram;3c9f4830-91f4-4a22-bd83-c9439b41106c
Caesium;water;unspecified;kilogram;59570d74-fac9-446d-88a7-5c5b0a6139a7
Neptunium-237;air;urban air close to ground;kilo Becquerel;d36067a2-bf88-4726-8a32-ce13d3056103
Carbon monoxide, non-fossil;air;non-urban air or from high stacks;kilogram;b821ad93-ba6a-4d74-b6ae-ca12cd9563d7
Chromium VI;soil;agricultural;kilogram;8ec83662-7c2b-4452-8acf-95a0bb94233c
Sulfentrazone;soil;agricultural;kilogram;7ab9afec-40e0-41b0-82b1-6cb15c84e949
Cobalt-58;air;lower stratosphere + upper troposphere;kilo Becquerel;40526886-fcc3-4059-b025-58e254c03233
Acetone;water;surface water;kilogram;0e8f17d0-3e52-4f6f-bef9-60f6007a7aab
Paraffins;water;ocean;kilogram;696e997b-bc1e-44c2-9145-e93163c97c61
Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;air;low population density, long-term;kilogram;d2025041-20ee-41bb-b2c8-47631e839ff0
Transformation, from river, natural (non-use);natural resource;land;square meter;b06ca23e-c6c0-478b-a65c-50e5e5dd8440
Zeta-cypermethrin;soil;agricultural;kilogram;b6e1f836-2b5c-4bd5-bc8c-af065ee7c230
BOD5, Biological Oxygen Demand;water;surface water;kilogram;70d467b6-115e-43c5-add2-441de9411348
Clay, bentonite;natural resource;in ground;kilogram;93806a54-46f5-409c-99c5-4144a1e73b5d
Diflufenzopyr-sodium;soil;agricultural;kilogram;cc667a3d-e88b-42f7-b265-461b7d66837f
Aluminium hydroxide;water;unspecified;kilogram;7b192eb2-644e-544a-9299-4a79cb4dd479
Hypochlorite;water;surface water;kilogram;84f7125c-2ada-4bb1-abc6-554c40d1eeed
Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore;natural resource;in ground;kilogram;d6c7644f-0d7c-4bb3-b8bb-686ebede951e
Methyl acetate;water;surface water;kilogram;98b0b2a5-8c73-4cf0-be04-a6a4e8889bb1
Formic acid;water;ground-;kilogram;8a785cc5-93c6-47f3-a1ff-b2d37ef5b8a5
Glyphosate;water;ground-;kilogram;17955b10-4c04-4fff-91e7-cf89ef1a7cca
Hydrocarbons, aromatic;water;surface water;kilogram;c308f812-7e5a-483a-ac1f-1f5742a53784
Energy, gross calorific value, in biomass, primary forest;natural resource;biotic;megajoule;8842042d-7f07-45f8-bf43-fa83833d75de
Transformation, to forest, extensive;natural resource;land;square meter;88e8456c-dc23-4bb4-aed5-a4186a2fbf77
Caesium-136;water;ground-;kilo Becquerel;d690e120-d392-4145-909f-5c3c3c705b69
Sulfate;soil;unspecified;kilogram;e2f205c4-2146-4578-8cd4-e6f309521ef4
Propene;water;ground-;kilogram;fd08307f-57b3-4fba-9b06-7fbe7024a636
Iodine;natural resource;in water;kilogram;36a3d172-7373-507f-85bd-12b8ba31a6d4
1,3-Dioxolan-2-one;water;unspecified;kilogram;5b7d620e-2238-5ec9-888a-6999218b6974
Nitrogen, organic bound;water;unspecified;kilogram;a703733d-fabc-487b-826a-06c11ac4c0c6
Diclofop-methyl;soil;agricultural;kilogram;0f02d06c-c44d-4681-a677-eff6aa3cd7e0
Mesotrione;air;non-urban air or from high stacks;kilogram;37a75284-eff5-5ba0-bb65-61ad156149e3
Sulfuric acid;air;non-urban air or from high stacks;kilogram;5c9d8310-f7e1-4e98-8e73-7eece0435676
Benzyl alcohol;water;ground-;kilogram;b7d33401-f34b-4571-a10d-82f7b38b32ea
Transformation, to permanent crop, non-irrigated;natural resource;land;square meter;3f8e24d7-3d44-4a47-870f-9e3e74decca4
Acetamiprid;water;unspecified;kilogram;31d6cf74-5677-5e76-830d-02d214cbdb2d
Paraffins;water;ground-, long-term;kilogram;23c39061-9fdb-4753-8aaa-893a8cad4a4e
Butadiene;air;lower stratosphere + upper troposphere;kilogram;91c76c8e-d725-475d-9be6-a90b99747075
Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124;air;unspecified;kilogram;60268f3d-468b-487e-acb1-24d7250cb6b3
Iron-59;air;low population density, long-term;kilo Becquerel;128e3b2b-08f7-4777-a984-0e3685e745ef
Diquat dibromide;air;low population density, long-term;kilogram;fbeee113-c3bf-5981-9519-0c9fdc12ccb4
Water;water;surface water;cubic meter;db4566b1-bd88-427d-92da-2d25879063b9
Hydrochloric acid;air;lower stratosphere + upper troposphere;kilogram;50f3bc1e-fafc-44a2-9800-4468d8c3b643
Methane, monochloro-, R-40;air;unspecified;kilogram;18ea247b-edc2-43fe-89bd-cedd04102bcc
Curium-244;air;non-urban air or from high stacks;kilo Becquerel;8a1ce588-d2b5-4fd6-a6db-16378c8f6d06
Anthracene;water;surface water;kilogram;aa87ecd1-b103-4f43-b8dc-d44785c43fd4
Particulate Matter, < 2.5 um;air;unspecified;kilogram;21e46cb8-6233-4c99-bac3-c41d2ab99498
Thorium-232;air;low population density, long-term;kilo Becquerel;751d9236-ee45-4d21-addd-fd1747f0b74f
Alachlor;air;non-urban air or from high stacks;kilogram;de9e0841-d02a-4af0-993a-39e32e69e7d3
Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;air;unspecified;kilogram;843fd145-61ac-4fa7-a608-ce4ac4d88d49
Phorate;soil;agricultural;kilogram;24d49070-45df-4627-84fa-2d8adeca255b
Lead II;air;non-urban air or from high stacks;kilogram;2718482b-8399-442e-b89a-52fbcc22d2e6
Fungicides, unspecified;water;ground-, long-term;kilogram;68ab2496-c441-4102-a3fa-0d71a24106ab
2-Methylpentane;air;unspecified;kilogram;059e6a26-7035-4621-a360-c71c5778eec8
Hydrogen peroxide;water;surface water;kilogram;98313bb5-3f35-4e11-bf3e-03ad2dae591b
Trifluralin;soil;agricultural;kilogram;91b452dc-ddbd-40a4-9281-33303109495e
Uranium-235;air;non-urban air or from high stacks;kilo Becquerel;6b44284d-6941-4ae6-815e-ce87f5b603bb
Pyrite;natural resource;in ground;kilogram;c73e75dc-c02d-4192-ab43-faf29c119fae
Butyrolactone;air;low population density, long-term;kilogram;f40d6828-f6de-43cd-9b93-e78813bdd140
Acephate;soil;agricultural;kilogram;cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec
Transformation, to permanent crop, irrigated, extensive;natural resource;land;square meter;59df4945-6ee2-4ea6-9ef7-36c4f4b478f6
Cobalt-60;water;ocean;kilo Becquerel;83fa5f74-baa4-46d3-a8b4-ada4379b70a3
Isocyanic acid;air;unspecified;kilogram;ca6e057b-6b74-4ec2-83b0-0e82b98d97f2
t-Butyl methyl ether;air;low population density, long-term;kilogram;34f18170-9aca-4025-a4ab-d9aaf261b391
Fluorspar, 92%;natural resource;in ground;kilogram;de2d220b-9fe8-4c39-bef7-a76c00d6ff33
Tebuthiuron;water;ground-;kilogram;16ab4f8f-e8d0-5b7c-9827-41e70d5fe6c5
Fosetyl;soil;agricultural;kilogram;794a9d6b-1ed0-486b-a6a9-d8a575c0aa9a
Antimony ion;soil;unspecified;kilogram;c49fb4cd-eed0-4438-9052-9612473cdbae
Lithium I;water;surface water;kilogram;e98084d6-88a2-48cf-9ad5-6462fe9cf857
Fentin acetate;soil;agricultural;kilogram;8e7926d4-9033-417f-9b94-2441aadb41dd
Sodium tetrahydridoborate;air;unspecified;kilogram;d471d4f2-5a9b-4ecb-93e8-6b2c364ae143
Carboxylic acids, unspecified;water;ocean;kilogram;5bf42116-d991-4688-bf12-e3a6d9330b68
Carbon monoxide, fossil;air;unspecified;kilogram;ba2f3f82-c93a-47a5-822a-37ec97495275
Molybdenum-99;water;ground-;kilo Becquerel;171528d9-6a7b-41cb-8c4c-60d2ad0955a1
Labour cost;economic;primary production factor;EUR2005;df1b2a34-1788-4555-b991-f8ff67c66998
Hydrogen fluoride;air;urban air close to ground;kilogram;257eacb9-96fe-4a3d-961a-f5e6c7823ff0
Chromium III;water;ground-, long-term;kilogram;d9c23a8d-e7bf-4f70-8d22-b9ad8a653204
Propylamine;water;ground-;kilogram;c8de8312-39d5-4d3f-aba2-4daf8572738b
Manganese II;soil;industrial;kilogram;9c706cff-cb82-4207-a589-95896e04dc08
Florasulam;soil;agricultural;kilogram;0015ec22-72cb-4af1-8c7b-0ba0d041553c
Diflubenzuron;water;ground-;kilogram;b146e45b-7291-54f3-9f8d-f920eb5cb137
Beryllium II;water;ground-, long-term;kilogram;24e0a9cb-a789-46e2-a25c-0278a90d67e5
Molybdenum VI;water;ground-;kilogram;3822809c-cc03-469d-ac2a-9f85842f8440
Chlorpyrifos;air;non-urban air or from high stacks;kilogram;0822b867-9dca-4d5a-93c3-319d39b592cd
Ruthenium-106;air;low population density, long-term;kilo Becquerel;918bd76b-ab1e-406c-b7c5-fb248b89b5b8
Quinmerac;soil;agricultural;kilogram;9d62f34e-56df-4c48-ba0f-3a50008f29be
Particulate Matter, > 2.5 um and < 10um;air;lower stratosphere + upper troposphere;kilogram;604f9273-f26b-46be-83a7-3a65280011d1
Ethephon;soil;agricultural;kilogram;0ba582f8-3360-441a-a93c-ea15e87f7b0c
Fluoride;water;surface water;kilogram;00d2fef1-e4d4-4a16-8e81-b8cc514e4c25
Vanadium V;soil;agricultural;kilogram;adfb11ec-7a41-47da-abc2-c92c59810e50
Heat, waste;water;ground-, long-term;megajoule;dca43ede-b779-47a7-b2e7-cb4e7b12c3da
MCPB;water;ground-;kilogram;d48e95bf-3ea9-4a35-a791-d0984dcb539e
Acetone;water;ground-;kilogram;d60f27da-703f-4c04-bad4-7e978a375205
Zinc II;air;urban air close to ground;kilogram;748f22a9-eba4-4726-bef5-92c7442ce189
Sulfur;natural resource;in ground;kilogram;852281f6-db73-4250-84d3-86b569fce0c1
Ethyl acetate;air;urban air close to ground;kilogram;41cce80a-82c1-4caa-b6ef-718ec4b83fd6
Maleic anhydride;water;unspecified;kilogram;39ec593c-6c45-571f-8a6b-b76472bb4824
Methyl ethyl ketone;water;surface water;kilogram;811e5fae-807b-4ba1-8fbe-67e0b088c73c
Ethane, pentafluoro-, HFC-125;air;unspecified;kilogram;281e1011-f121-4d5b-ad4d-22d562b2c2cd
Hexaconazole;soil;agricultural;kilogram;94ba16db-16b4-4652-b121-8682c317db58
Thorium-228;air;unspecified;kilo Becquerel;ecc877ac-3c34-4838-b1f8-6ae0ff2cd2fc
Iodide;water;ground-, long-term;kilogram;b5fae91e-cff0-4513-a997-cdb6922f1ab4
Uranium alpha;air;urban air close to ground;kilo Becquerel;87af2811-8d7f-490b-81b4-312ef7662604
Monochloroethane;water;surface water;kilogram;aca00a43-1ff9-489e-8fc6-00d2551eece8
Americium-241;water;unspecified;kilo Becquerel;bd601c88-f05e-436a-b4ab-5b3d4fb29882
Fluoride;water;unspecified;kilogram;96b0e9d0-5bfc-4113-ac30-c9b8a310b534
Chlorinated solvents, unspecified;water;ground-, long-term;kilogram;f3cc1709-0e3c-4598-8ac9-825f969bf919
Organic carbon;air;urban air close to ground;kilogram;d7a10d03-8f76-4b5f-8dd5-5b0f827568fc
Dinocap;soil;agricultural;kilogram;bb1cedf9-5abb-5c7b-afe0-04df6165f9a0
Butyrolactone;air;urban air close to ground;kilogram;9036f1b8-4be6-4d97-96d8-c504acdfa2f0
Methanol;air;non-urban air or from high stacks;kilogram;1d2439de-751b-469a-ba3e-fda8fe9802b2
Propane;air;urban air close to ground;kilogram;98c66fdb-091d-46e9-a533-686f821e8f6a
Deltamethrin;air;unspecified;kilogram;a3ddf9e1-f658-5efb-b291-47b27643c53f
Butyl acetate;air;urban air close to ground;kilogram;108e9780-646b-448d-903b-609b3f65950b
Barium II;soil;agricultural;kilogram;f8199e39-7354-44ad-92d8-6a2cc3bac24e
Potassium-40;water;unspecified;kilo Becquerel;9c26300a-06dd-4a68-a6d2-ce876dc07e14
Trichlorosilane;water;ground-;kilogram;c40a3efb-7988-40f1-be9b-a1d8c9a4c5a0
Methane, bromotrifluoro-, Halon 1301;air;non-urban air or from high stacks;kilogram;82957257-07f3-4536-ac8b-175cb2353c75
Trimethylamine;water;ocean;kilogram;93989f96-b679-44b6-8cd2-f768fa3d3152
Cobalt II;air;unspecified;kilogram;f0e28a62-ddf9-4c93-af81-676a58c3f2d4
2-Methyl-1-propanol;air;low population density, long-term;kilogram;88be8e1b-1bdc-46e1-9856-187a95b3d872
Tungsten;air;non-urban air or from high stacks;kilogram;89ca077d-583d-4293-8d32-248f12bd3e5b
