c58d25ad-30d2-4fac-a857-1fa6f67afe8a;('Cobalt', ('soil', 'forestry'), 'kilogram')
101f15ac-0698-49dd-b177-471a813ef78e;('Transformation, from annual crop, greenhouse', ('natural resource', 'land'), 'square meter')
7c2a4d8b-a21a-4688-93b2-1fe41ce9e5d9;('Methyl lactate', ('air', 'lower stratosphere + upper troposphere'), 'kilogram')
0fe04bc3-350c-5755-8db2-919c16b85d6f;('Mevinfos', ('soil', 'agricultural'), 'kilogram')
65a9697b-d317-4f0b-939a-6aa18ac6342f;('Phthalate, butyl-benzyl-', ('water', 'surface water'), 'kilogram')
e3446a6f-92f1-480f-915d-375a269009c1;('Tellurium-132', ('water', 'ocean'), 'kilo Becquerel')
5188df39-2bb8-4826-b469-fa9f86bacc09;('Carbon dioxide, from soil or biomass stock', ('air', 'indoor'), 'kilogram')
36b303da-afe4-449b-92ac-b16226cbadd5;('Carbon disulfide', ('water', 'ocean'), 'kilogram')
b45f25fe-a5bb-42ac-9859-304bf6ccfd83;('Cyprodinil', ('soil', 'agricultural'), 'kilogram')
336fca6f-2dc9-4514-96ae-2a2af154c74e;('Plutonium-238', ('air',), 'kilo Becquerel')
77aa43c5-76c6-4465-b0b4-f00d4d14c377;('Hydrogen peroxide', ('water', 'ocean'), 'kilogram')
409f6c8a-95df-4e86-8306-5439bd0643c8;('Thorium-234', ('water', 'surface water'), 'kilo Becquerel')
4abbbc48-a8d0-4c3a-9dea-4e67f1505230;('Benzene, ethyl-', ('water', 'surface water'), 'kilogram')
9afa0173-ecbd-4f2c-9c5c-b3128a032812;('Carbon monoxide, non-fossil', ('air', 'urban air close to ground'), 'kilogram')
224c984f-5232-53d7-be57-5fece5b26323;('Oxasulfuron', ('soil', 'agricultural'), 'kilogram')
767a703f-842a-4b30-87f5-ca62b338a51d;('Butene', ('air', 'low population density, long-term'), 'kilogram')
7346ba9f-476c-4343-9f37-d1bb174eed6d;('Naphtalene', ('air',), 'kilogram')
b1945566-c8ad-4d48-9135-c39eedde1e63;('Methyl amine', ('water', 'surface water'), 'kilogram')
ed1fd27e-014a-41cf-842f-7b2022b0be79;('Vanadium, ion', ('water', 'ground-'), 'kilogram')
f78331c1-2f23-4661-b37e-c51c9eea5384;('Neptunium-237', ('air', 'lower stratosphere + upper troposphere'), 'kilo Becquerel')
0b9698ec-8b52-4986-8f9f-ad30915aa00c;('Pentane', ('air', 'urban air close to ground'), 'kilogram')
27c1a9a6-c45e-431f-830b-7061a100fed7;('Cyanide', ('air', 'lower stratosphere + upper troposphere'), 'kilogram')
0eba8639-12c1-40ce-b1b6-e3394ec94dc0;('2,4-D amines', ('soil', 'agricultural'), 'kilogram')
b90c9726-20b9-4d44-b169-368273e9a3d4;('Metolachlor', ('air', 'non-urban air or from high stacks'), 'kilogram')
d41ee922-fa80-45e3-a317-3e9b72ee385d;('Oils, non-fossil', ('soil', 'forestry'), 'kilogram')
33681770-a0e1-4ce8-93c3-941fd607fa5f;('Methane, tetrafluoro-, R-14', ('air',), 'kilogram')
db90e15b-d9d2-40ac-8b48-a409fe37f494;('Krypton-89', ('air', 'urban air close to ground'), 'kilo Becquerel')
66eab6b4-6ba0-436f-ad18-331ec0ddca20;('Nitrobenzene', ('water', 'ocean'), 'kilogram')
d4f209e8-335f-4a2f-9384-77a23fbc7dee;('Acetic acid, trifluoro-', ('air',), 'kilogram')
317c9f65-0142-5fa0-99da-98a5c7d639dd;('S-metolachlor', ('soil', 'agricultural'), 'kilogram')
0ec59d21-92c1-492e-8e1e-f0f33f94f1b5;('Hydroxide', ('water', 'surface water'), 'kilogram')
c1b91234-6f24-417b-8309-46111d09c457;('Nitrogen oxides', ('air',), 'kilogram')
c24f5894-f95e-4661-ba76-130397348894;('Bromine', ('air',), 'kilogram')
46f9fcc3-e595-4252-897e-0e5a997333f0;('Chlorosulfonic acid', ('water',), 'kilogram')
db4566b1-bd88-427d-92da-2d25879063b9;('Water', ('water', 'surface water'), 'cubic meter')
5bb486eb-29db-4b80-bb79-c7023c0d5756;('Butylcarbamate, iodopropynyl', ('water', 'surface water'), 'kilogram')
9d99096b-4e70-452b-9e3b-b2296613bc0f;('1-Pentene', ('water', 'ocean'), 'kilogram')
e4ad89a2-c1d3-4d0b-ad44-2a7ff00b1f39;('Platinum', ('air', 'urban air close to ground'), 'kilogram')
bb1cedf9-5abb-5c7b-afe0-04df6165f9a0;('Dinocap', ('soil', 'agricultural'), 'kilogram')
c4503380-1045-4670-a7da-fe5dcce56699;('Propylene oxide', ('air',), 'kilogram')
