tomato seedling production, in heated greenhouse, for planting;tomato seedling, for planting;unit;NL;66
electricity production, wind, 1-3MW turbine, offshore;electricity, high voltage;kilowatt hour;RoW;67
electricity production, oil;electricity, high voltage;kilowatt hour;CN-GX;68
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;electricity, low voltage;kilowatt hour;CA-AB;69
market for mini CHP plant, common components for heat+electricity;mini CHP plant, common components for heat+electricity;unit;GLO;70
treatment of used lorry, 28 metric ton;used lorry, 28 metric ton;unit;CH;71
treatment of spent nuclear fuel, reprocessing;spent nuclear fuel;kilogram;RoW;72
market for steel removed by drilling, computer numerical controlled;steel removed by drilling, computer numerical controlled;kilogram;GLO;73
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;SI;74
market for used intermodal shipping container, 45-foot, high-cube;used intermodal shipping container, 45-foot, high-cube;unit;GLO;75
fibre production, kenaf, retting;stalk;kilogram;RoW;76
treatment of used capacitor, to hazardous waste incineration, with energy recovery;electricity, for reuse in municipal waste incineration only;kilowatt hour;RoW;77
market for waste paperboard;waste paperboard;kilogram;PL;78
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;electricity, low voltage;kilowatt hour;PT;79
treatment of waste polyethylene terephthalate, unsanitary landfill, moist infiltration class (300mm);waste polyethylene terephthalate;kilogram;GLO;80
market for inorganic phosphorus fertiliser, as P2O5;inorganic phosphorus fertiliser, as P2O5;kilogram;BG;81
petroleum production, onshore;petroleum;kilogram;RAF;82
market for waste polypropylene;waste polypropylene;kilogram;AT;83
plastic granulate production, unspecified, recycled, informal sector;plastic granulate, unspecified, recycled;kilogram;IN;84
fuel cell production, polymer electrolyte membrane, 2kW electrical, future;fuel cell, polymer electrolyte membrane, 2kW electrical, future;unit;RoW;85
mounting, through-hole technology, Pb-containing solder;mounting, through-hole technology, Pb-containing solder;square meter;GLO;86
impact extrusion of steel, cold, 5 strokes;impact extrusion of steel, cold, 5 strokes;kilogram;RoW;87
land already in use, pasture, man made to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-MS;88
nuclear power plant construction, boiling water reactor 1000MW;nuclear power plant, boiling water reactor 1000MW;unit;DE;89
treatment of tailing, from uranium milling;tailing, from uranium milling;cubic meter;GLO;90
transport, tram;transport, tram;person kilometer;CH;91
polyurethane production, rigid foam;polyurethane, rigid foam;kilogram;RoW;92
market for waste paperboard;waste paperboard;kilogram;BG;93
hydrogen production, gaseous, petroleum refinery operation;hydrogen, gaseous;kilogram;RoW;94
treatment of non-sulfidic overburden, off-site;non-sulfidic overburden, off-site;kilogram;GLO;95
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;heat, district or industrial, natural gas;megajoule;CA-NB;96
petroleum refinery operation;liquefied petroleum gas;kilogram;CH;97
treatment of used door, outer, wood-aluminium, collection for final disposal;used door, outer, wood-aluminium;square meter;RoW;98
diethyl ether production;diethyl ether, without water, in 99.95% solution state;kilogram;GLO;99
wheat seed production, Swiss integrated production, for sowing;wheat seed, Swiss integrated production, for sowing;kilogram;CH;100
weaned calves production on pasture;cattle for slaughtering, live weight;kilogram;RoW;101
