Bismuth, in ground;natural resource;in ground;kilogram;106
MCPA;water;surface water;kilogram;107
Carboxylic acids, unspecified;water;ground-;kilogram;108
Arsenic;air;urban air close to ground;kilogram;109
Carboxylic acids, unspecified;water;surface water;kilogram;110
Transformation, to dump site, inert material landfill;natural resource;land;square meter;111
Methanol;air;low population density, long-term;kilogram;112
Ethephon;water;surface water;kilogram;113
t-Butyl methyl ether;air;urban air close to ground;kilogram;114
Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123;air;lower stratosphere + upper troposphere;kilogram;115
Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;water;unspecified;kilogram;116
Chlorosulfonic acid;air;low population density, long-term;kilogram;117
Hydrocarbons, aliphatic, unsaturated;water;ground-, long-term;kilogram;118
Ruthenium-106;air;low population density, long-term;kilo Becquerel;119
Helium;air;urban air close to ground;kilogram;120
Formic acid;water;surface water;kilogram;121
Occupation, unspecified, natural (non-use);natural resource;land;square meter-year;122
2-Methyl-1-propanol;water;ground-;kilogram;123
Diquat;soil;agricultural;kilogram;124
Oxasulfuron;soil;agricultural;kilogram;125
Ammonium carbonate;air;unspecified;kilogram;126
Benz(a)anthracene;air;unspecified;kilogram;127
Iron-59;water;ground-, long-term;kilo Becquerel;128
Chromium-51;water;ocean;kilo Becquerel;129
Carbaryl;water;ground-;kilogram;130
Transformation, from annual crop, irrigated, extensive;natural resource;land;square meter;131
Dimethylamine;air;non-urban air or from high stacks;kilogram;132
Butyl acetate;air;unspecified;kilogram;133
Manganese;soil;agricultural;kilogram;134
Ethoprop;soil;agricultural;kilogram;135
Butyrolactone;water;ocean;kilogram;136
Trifloxystrobin;water;ground-;kilogram;137
Silicon tetrafluoride;air;lower stratosphere + upper troposphere;kilogram;138
Iodine-129;water;ground-;kilo Becquerel;139
Iron;water;ground-;kilogram;140
Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground;natural resource;in ground;kilogram;141
Transformation, from seabed, infrastructure;natural resource;land;square meter;142
Silver, Ag 9.7E-4%, in mixed ore, in ground;natural resource;in ground;kilogram;143
Nitrogen;air;unspecified;kilogram;144
Monochloroethane;water;ground-;kilogram;145
Monochloroethane;water;surface water;kilogram;146
Methane, chloro-fluoro-, HCFC-31;air;lower stratosphere + upper troposphere;kilogram;147
Gold, Au 7.1E-4%, in ore, in ground;natural resource;in ground;kilogram;148
Carbon-14;water;ocean;kilo Becquerel;149
Polonium-210;air;urban air close to ground;kilo Becquerel;150
Acenaphthene;water;surface water;kilogram;151
Dichlofluanid;soil;agricultural;kilogram;152
Sodium tetrahydridoborate;air;lower stratosphere + upper troposphere;kilogram;153
Nitrate;air;lower stratosphere + upper troposphere;kilogram;154
Diethylene glycol;water;unspecified;kilogram;155
Tralkoxydim;soil;agricultural;kilogram;156
Flumetsulam;soil;agricultural;kilogram;157
Nitrobenzene;water;surface water;kilogram;158
Thorium-228;air;lower stratosphere + upper troposphere;kilo Becquerel;159
Cyanide;water;unspecified;kilogram;160
Actinides, radioactive, unspecified;air;unspecified;kilo Becquerel;161
Carbon disulfide;water;unspecified;kilogram;162
Barium-140;air;urban air close to ground;kilo Becquerel;163
Zoxamide;soil;agricultural;kilogram;164
Cobalt;water;ocean;kilogram;165
Ruthenium-106;water;ground-, long-term;kilo Becquerel;166
