Variable
Final Energy|Transport|Freight|Freight Rail|FCEV|Hydrogen
Final Energy|Transport|Freight|Freight Rail|Hybrid Liquids|Oil
Final Energy|Transport|Freight|Freight Rail|Liquids|Oil
Final Energy|Transport|Freight|Heavy truck|BEV|Electricity
Final Energy|Transport|Freight|Heavy truck|FCEV|Hydrogen
Final Energy|Transport|Freight|Heavy truck|Hybrid Liquids|Oil
Final Energy|Transport|Freight|Heavy truck|Liquids|Oil
Final Energy|Transport|Freight|Light truck|BEV|Electricity
Final Energy|Transport|Freight|Light truck|FCEV|Hydrogen
Final Energy|Transport|Freight|Light truck|Hybrid Liquids|Oil
Final Energy|Transport|Freight|Light truck|Liquids|Oil
Final Energy|Transport|Freight|Light truck|NG|Gas
Final Energy|Transport|Freight|Medium truck|BEV|Electricity
Final Energy|Transport|Freight|Medium truck|FCEV|Hydrogen
Final Energy|Transport|Freight|Medium truck|Hybrid Liquids|Oil
Final Energy|Transport|Freight|Medium truck|Liquids|Oil
Final Energy|Transport|Passenger|2W and 3W|BEV|Electricity
Final Energy|Transport|Passenger|2W and 3W|LA-BEV|Electricity
Final Energy|Transport|Passenger|2W and 3W|Liquids|Oil
Final Energy|Transport|Passenger|2W and 3W|NG|Gas
Final Energy|Transport|Passenger|Bus|BEV|Electricity
Final Energy|Transport|Passenger|Bus|FCEV|Hydrogen
Final Energy|Transport|Passenger|Bus|Hybrid Liquids|Oil
Final Energy|Transport|Passenger|Bus|Liquids|Oil
Final Energy|Transport|Passenger|Bus|NG|Gas
Final Energy|Transport|Passenger|Car|BEV|Electricity
Final Energy|Transport|Passenger|Car|FCEV|Hydrogen
Final Energy|Transport|Passenger|Car|Hybrid Liquids|Oil
Final Energy|Transport|Passenger|Car|Liquids|Oil
Final Energy|Transport|Passenger|Car|NG|Gas
Final Energy|Transport|Passenger|Domestic Aviation|BEV|Electricity
Final Energy|Transport|Passenger|Domestic Aviation|Hydrogen|Hydrogen
Final Energy|Transport|Passenger|Domestic Aviation|Liquids|Oil
Final Energy|Transport|Passenger|HSR|Electric|Electricity
Final Energy|Transport|Passenger|Large Car and Truck|BEV|Electricity
Final Energy|Transport|Passenger|Large Car and Truck|FCEV|Hydrogen
Final Energy|Transport|Passenger|Large Car and Truck|Hybrid Liquids|Oil
Final Energy|Transport|Passenger|Large Car and Truck|Liquids|Oil
Final Energy|Transport|Passenger|Large Car and Truck|NG|Gas
Final Energy|Transport|Passenger|Mini Car|BEV|Electricity
Final Energy|Transport|Passenger|Mini Car|FCEV|Hydrogen
Final Energy|Transport|Passenger|Mini Car|Hybrid Liquids|Oil
Final Energy|Transport|Passenger|Mini Car|Liquids|Oil
Final Energy|Transport|Passenger|Mini Car|NG|Gas
Final Energy|Transport|Passenger|Passenger Rail|Electric|Electricity
Final Energy|Transport|Passenger|Passenger Rail|Liquids|Oil
Final Energy|Transport|Shipping|International Ship|BEV|Electricity
Final Energy|Transport|Shipping|International Ship|FCEV|Hydrogen
Final Energy|Transport|Shipping|International Ship|Hybrid Liquids|Oil
Final Energy|Transport|Shipping|International Ship|Liquids|Oil
