Model,Region,Scenario,Unit,Variable,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM,Japan,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.208273915,0.313759713,0.409046893,0.514549871,0.618374695,0.793396099,1.031980472,1.204601551,1.282838881,1.354337531,1.375741498,1.402409051,1.4288129,1.44920353,1.457636315,1.45394298
GCAM,Mexico,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.034548148,0.079046794,0.12894243,0.200882798,0.299669532,0.473291048,0.667325178,0.816024486,0.891740164,0.979490305,1.085825348,1.279161421,1.414898892,1.528870399,1.609687098,1.66869615
GCAM,Middle East,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.001070702,0.00305594,0.006455934,0.013985888,0.032336834,0.084027639,0.168862303,0.26842931,0.372514829,0.488756715,0.616662902,0.79643732,0.909413865,0.987463291,1.025288293,1.041314537
GCAM,Pakistan,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.000527549,0.001164151,0.001938266,0.00389758,0.008002161,0.015191308,0.023471649,0.028951174,0.031459404,0.035225616,0.043762592,0.053058827,0.053729449,0.053451843,0.053013173,0.053475367
GCAM,Russia,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,1.828098284,3.309748488,5.000098673,7.608965061,11.3881109,18.51273156,26.9263072,31.24561889,31.4881823,31.71172301,32.02181801,32.170308,32.23141875,32.30290935,32.38108613,32.38720634
GCAM,South Africa,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.001584767,0.003262926,0.005433657,0.008852521,0.01476982,0.024607878,0.035601852,0.045392937,0.051607556,0.061291857,0.070262631,0.078872807,0.079900747,0.07900397,0.077501951,0.076964221
GCAM,South America_Northern,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.012997846,0.028743798,0.045680934,0.069020109,0.099651613,0.152401599,0.208723131,0.252035038,0.270965757,0.291693185,0.312885876,0.335024898,0.354242594,0.377672666,0.396460061,0.412349786
GCAM,South America_Southern,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.058885826,0.126499796,0.201187448,0.313085787,0.477159251,0.780953126,1.098596354,1.343336313,1.465985614,1.576819518,1.685230489,1.841074414,1.938474446,2.012345393,2.062085055,2.098433901
GCAM,South Asia,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.006633276,0.018117856,0.03470404,0.064789643,0.105380455,0.167716677,0.222144384,0.257219334,0.268988036,0.276217954,0.283069527,0.306011551,0.311855331,0.312262889,0.307354739,0.300049033
GCAM,South Korea,ssp24p5tol5,EJ/yr,Production|Energy|Biomass|Energy Crops,,,,,,,0.005835271,0.010605106,0.015066736,0.021465633,0.029006775,0.046863075,0.068744467,0.091107691,0.108073421,0.122494784,0.131236511,0.140035091,0.138200611,0.131903987,0.124728668,0.119554098
