region,year,variables,unit,value
CAZ,2000,Share biomass fuel,percentage,0.00379934
CAZ,2005,Share biomass fuel,percentage,0.009362366
CAZ,2006,Share biomass fuel,percentage,0.014419139
CAZ,2007,Share biomass fuel,percentage,0.01736815
CAZ,2008,Share biomass fuel,percentage,0.018618004
CAZ,2009,Share biomass fuel,percentage,0.017392375
CAZ,2010,Share biomass fuel,percentage,0.008071622
CAZ,2011,Share biomass fuel,percentage,0.014495029
CAZ,2012,Share biomass fuel,percentage,0.015826488
CAZ,2013,Share biomass fuel,percentage,0.0220899
CAZ,2014,Share biomass fuel,percentage,0.026128369
CAZ,2015,Share biomass fuel,percentage,0.027333171
CAZ,2016,Share biomass fuel,percentage,0.032861896
CAZ,2017,Share biomass fuel,percentage,0.031711165
CAZ,2030,Share biomass fuel,percentage,0.11
CAZ,1990,Share fossil fuel,percentage,0.970132292
CAZ,2000,Share fossil fuel,percentage,0.948873333
CAZ,2005,Share fossil fuel,percentage,0.957213915
CAZ,2006,Share fossil fuel,percentage,0.916747723
CAZ,2007,Share fossil fuel,percentage,0.895835452
CAZ,2008,Share fossil fuel,percentage,0.889106428
CAZ,2009,Share fossil fuel,percentage,0.887319969
CAZ,2010,Share fossil fuel,percentage,0.899827736
CAZ,2011,Share fossil fuel,percentage,0.895405264
CAZ,2012,Share fossil fuel,percentage,0.888159576
CAZ,2013,Share fossil fuel,percentage,0.879478885
CAZ,2014,Share fossil fuel,percentage,0.87356277
CAZ,2015,Share fossil fuel,percentage,0.886742405
CAZ,2016,Share fossil fuel,percentage,0.873828354
CAZ,2017,Share fossil fuel,percentage,0.878643267
CAZ,2030,Share fossil fuel,percentage,0.72
CAZ,1990,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2000,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2005,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2006,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2007,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2008,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2009,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2010,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2011,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2012,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2013,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2014,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2015,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2016,"Share of recovered energy, per ton clinker",percentage,0
CAZ,2017,"Share of recovered energy, per ton clinker",percentage,0
MEA,1990,Power consumption,kilowatt hour,108.811096
MEA,2000,Power consumption,kilowatt hour,100.4777597
MEA,2005,Power consumption,kilowatt hour,96.04474664
MEA,2006,Power consumption,kilowatt hour,96.85624
MEA,2007,Power consumption,kilowatt hour,95.50261861
MEA,2008,Power consumption,kilowatt hour,95.31481003
MEA,2009,Power consumption,kilowatt hour,92.13834185
MEA,2010,Power consumption,kilowatt hour,93.96121207
MEA,2011,Power consumption,kilowatt hour,90.9923535
MEA,2012,Power consumption,kilowatt hour,89.73107989
MEA,2013,Power consumption,kilowatt hour,91.38213208
MEA,2014,Power consumption,kilowatt hour,94.63653938
MEA,2015,Power consumption,kilowatt hour,93.74801907
MEA,2016,Power consumption,kilowatt hour,95.68684444
MEA,2017,Power consumption,kilowatt hour,99.18115322
MEA,2030,Power consumption,kilowatt hour,99
MEA,2150,Power consumption,kilowatt hour,99
MEA,2012,Power generation,kilowatt hour,0.00
MEA,2013,Power generation,kilowatt hour,0.00
MEA,2014,Power generation,kilowatt hour,0.00
MEA,2015,Power generation,kilowatt hour,0.00
MEA,2016,Power generation,kilowatt hour,0.17
MEA,2017,Power generation,kilowatt hour,0.60
MEA,2030,Power generation,kilowatt hour,0.60
MEA,2150,Power generation,kilowatt hour,0.60
MEA,1990,"Production volume share, dry, with preheater and precalciner",percentage,0.44226811
MEA,2000,"Production volume share, dry, with preheater and precalciner",percentage,0.451691023
MEA,2005,"Production volume share, dry, with preheater and precalciner",percentage,0.719903954
MEA,2006,"Production volume share, dry, with preheater and precalciner",percentage,0.741338513
MEA,2007,"Production volume share, dry, with preheater and precalciner",percentage,0.749329749
MEA,2008,"Production volume share, dry, with preheater and precalciner",percentage,0.791634363
MEA,2009,"Production volume share, dry, with preheater and precalciner",percentage,0.782430086
MEA,2010,"Production volume share, dry, with preheater and precalciner",percentage,0.798832551
MEA,2011,"Production volume share, dry, with preheater and precalciner",percentage,0.834034993
MEA,2012,"Production volume share, dry, with preheater and precalciner",percentage,0.779017775
MEA,2013,"Production volume share, dry, with preheater and precalciner",percentage,0.832289154
MEA,2014,"Production volume share, dry, with preheater and precalciner",percentage,0.766257072
MEA,2015,"Production volume share, dry, with preheater and precalciner",percentage,0.773213509
MEA,2016,"Production volume share, dry, with preheater and precalciner",percentage,0.825119574
MEA,2017,"Production volume share, dry, with preheater and precalciner",percentage,0.83
MEA,2150,"Production volume share, dry, with preheater and precalciner",percentage,1
MEA,1990,"Production volume share, dry, with preheater, without precalciner",percentage,0.328020198
MEA,2000,"Production volume share, dry, with preheater, without precalciner",percentage,0.311270395
MEA,2005,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2006,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2007,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2008,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2009,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2010,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2011,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2012,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2013,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2014,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2015,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2016,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,2017,"Production volume share, dry, with preheater, without precalciner",percentage,0
MEA,1990,"Production volume share, dry, without preheater",percentage,0
MEA,2000,"Production volume share, dry, without preheater",percentage,0
MEA,2005,"Production volume share, dry, without preheater",percentage,0
MEA,2006,"Production volume share, dry, without preheater",percentage,0
MEA,2007,"Production volume share, dry, without preheater",percentage,0
MEA,2008,"Production volume share, dry, without preheater",percentage,0
MEA,2009,"Production volume share, dry, without preheater",percentage,0
MEA,2010,"Production volume share, dry, without preheater",percentage,0
MEA,2011,"Production volume share, dry, without preheater",percentage,0
MEA,2012,"Production volume share, dry, without preheater",percentage,0
MEA,2013,"Production volume share, dry, without preheater",percentage,0
MEA,2014,"Production volume share, dry, without preheater",percentage,0
MEA,2015,"Production volume share, dry, without preheater",percentage,0
MEA,2016,"Production volume share, dry, without preheater",percentage,0
MEA,2017,"Production volume share, dry, without preheater",percentage,0
MEA,1990,"Production volume share, semi-wet kiln type",percentage,0.229711693
MEA,2000,"Production volume share, semi-wet kiln type",percentage,0.237038583
MEA,2005,"Production volume share, semi-wet kiln type",percentage,0.280096046
MEA,2006,"Production volume share, semi-wet kiln type",percentage,0.258661487
MEA,2007,"Production volume share, semi-wet kiln type",percentage,0.250670251
MEA,2008,"Production volume share, semi-wet kiln type",percentage,0.208365637
MEA,2009,"Production volume share, semi-wet kiln type",percentage,0.217569914
MEA,2010,"Production volume share, semi-wet kiln type",percentage,0.201167449
MEA,2011,"Production volume share, semi-wet kiln type",percentage,0.165965007
MEA,2012,"Production volume share, semi-wet kiln type",percentage,0.220982225
MEA,2013,"Production volume share, semi-wet kiln type",percentage,0.167710846
MEA,2014,"Production volume share, semi-wet kiln type",percentage,0.233742928
MEA,2015,"Production volume share, semi-wet kiln type",percentage,0.226786491
MEA,2016,"Production volume share, semi-wet kiln type",percentage,0.174880426
MEA,2017,"Production volume share, semi-wet kiln type",percentage,0.174562571
MEA,2150,"Production volume share, semi-wet kiln type",percentage,0
MEA,1990,"Production volume share, wet kiln type",percentage,0
MEA,2000,"Production volume share, wet kiln type",percentage,0
MEA,2005,"Production volume share, wet kiln type",percentage,0
MEA,2006,"Production volume share, wet kiln type",percentage,0
MEA,2007,"Production volume share, wet kiln type",percentage,0
MEA,2008,"Production volume share, wet kiln type",percentage,0
MEA,2009,"Production volume share, wet kiln type",percentage,0
MEA,2010,"Production volume share, wet kiln type",percentage,0
MEA,2011,"Production volume share, wet kiln type",percentage,0
MEA,2012,"Production volume share, wet kiln type",percentage,0
MEA,2013,"Production volume share, wet kiln type",percentage,0
MEA,2014,"Production volume share, wet kiln type",percentage,0
MEA,2015,"Production volume share, wet kiln type",percentage,0
MEA,2016,"Production volume share, wet kiln type",percentage,0
MEA,2017,"Production volume share, wet kiln type",percentage,0
MEA,1990,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,4025.688669
MEA,2000,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3872.626393
MEA,2005,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3428.4061
MEA,2010,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3373.016911
MEA,2015,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3464.869443
MEA,2016,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3701.379456
MEA,2017,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3701.379456
MEA,2030,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3700
MEA,2150,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,2800
MEA,1990,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3701.379456
MEA,2000,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3701.379456
MEA,2005,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3701.379456
MEA,2010,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3701.379456
MEA,2015,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3701.379456
MEA,2016,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3701.379456
MEA,2017,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3701.379456
MEA,2030,"Thermal energy consumption, dry kiln, with preheater, without precalciner",megajoule,3700
MEA,1990,"Thermal energy consumption, semi-wet kiln",megajoule,3772.177805
MEA,2000,"Thermal energy consumption, semi-wet kiln",megajoule,3963.512285
MEA,2005,"Thermal energy consumption, semi-wet kiln",megajoule,3735.964306
MEA,2010,"Thermal energy consumption, semi-wet kiln",megajoule,3822.07776
MEA,2015,"Thermal energy consumption, semi-wet kiln",megajoule,3822.07776
MEA,2016,"Thermal energy consumption, semi-wet kiln",megajoule,3503.64144
MEA,2030,"Thermal energy consumption, semi-wet kiln",megajoule,3400
MEA,2017,"Thermal energy consumption, semi-wet kiln",megajoule,3466.633208
MEA,1990,Share waste fuel,percentage,0
MEA,2000,Share waste fuel,percentage,7.62E-05
MEA,2005,Share waste fuel,percentage,0.013695336
MEA,2006,Share waste fuel,percentage,0.022692498
MEA,2007,Share waste fuel,percentage,0.031462274
MEA,2008,Share waste fuel,percentage,0.048492716
MEA,2009,Share waste fuel,percentage,0.041965273
MEA,2010,Share waste fuel,percentage,0.022758382
MEA,2011,Share waste fuel,percentage,0.024749308
MEA,2012,Share waste fuel,percentage,0.025398751
MEA,2013,Share waste fuel,percentage,0.034034018
MEA,2014,Share waste fuel,percentage,0.033799684
MEA,2015,Share waste fuel,percentage,0.044532685
MEA,2016,Share waste fuel,percentage,0.035035941
MEA,2017,Share waste fuel,percentage,0.031999584
MEA,2030,Share waste fuel,percentage,0.12
MEA,1990,Share biomass fuel,percentage,0
MEA,2000,Share biomass fuel,percentage,3.31E-05
MEA,2005,Share biomass fuel,percentage,0
MEA,2006,Share biomass fuel,percentage,0
MEA,2007,Share biomass fuel,percentage,0
MEA,2008,Share biomass fuel,percentage,4.11E-05
MEA,2009,Share biomass fuel,percentage,0
MEA,2010,Share biomass fuel,percentage,0.000343825
MEA,2011,Share biomass fuel,percentage,0.011003235
MEA,2012,Share biomass fuel,percentage,0.017490436
MEA,2013,Share biomass fuel,percentage,0.017369227
MEA,2014,Share biomass fuel,percentage,0.022481209
MEA,2015,Share biomass fuel,percentage,0.025368765
MEA,2016,Share biomass fuel,percentage,0.023767115
MEA,2017,Share biomass fuel,percentage,0.015129331
MEA,2030,Share biomass fuel,percentage,0.06
MEA,1990,Share fossil fuel,percentage,1
MEA,2000,Share fossil fuel,percentage,0.999890696
MEA,2005,Share fossil fuel,percentage,0.986304664
MEA,2006,Share fossil fuel,percentage,0.977307502
MEA,2007,Share fossil fuel,percentage,0.968537726
MEA,2008,Share fossil fuel,percentage,0.951466177
MEA,2009,Share fossil fuel,percentage,0.958034727
MEA,2010,Share fossil fuel,percentage,0.976897792
MEA,2011,Share fossil fuel,percentage,0.964247457
MEA,2012,Share fossil fuel,percentage,0.957110813
MEA,2013,Share fossil fuel,percentage,0.948596756
MEA,2014,Share fossil fuel,percentage,0.943719108
MEA,2015,Share fossil fuel,percentage,0.93009855
MEA,2016,Share fossil fuel,percentage,0.941196944
MEA,2017,Share fossil fuel,percentage,0.952871085
MEA,2030,Share fossil fuel,percentage,0.82
MEA,1990,"Share of recovered energy, per ton clinker",percentage,0
MEA,2000,"Share of recovered energy, per ton clinker",percentage,0
MEA,2005,"Share of recovered energy, per ton clinker",percentage,0
MEA,2006,"Share of recovered energy, per ton clinker",percentage,0
MEA,2007,"Share of recovered energy, per ton clinker",percentage,0
MEA,2008,"Share of recovered energy, per ton clinker",percentage,0
MEA,2009,"Share of recovered energy, per ton clinker",percentage,0
MEA,2010,"Share of recovered energy, per ton clinker",percentage,0
MEA,2011,"Share of recovered energy, per ton clinker",percentage,0
MEA,2012,"Share of recovered energy, per ton clinker",percentage,0
MEA,2013,"Share of recovered energy, per ton clinker",percentage,0
MEA,2014,"Share of recovered energy, per ton clinker",percentage,0
MEA,2015,"Share of recovered energy, per ton clinker",percentage,0
MEA,2016,"Share of recovered energy, per ton clinker",percentage,0
MEA,2017,"Share of recovered energy, per ton clinker",percentage,0
OAS,1990,Power consumption,kilowatt hour,125.0333713
OAS,2000,Power consumption,kilowatt hour,125.0333713
OAS,2005,Power consumption,kilowatt hour,119.4129361
OAS,2006,Power consumption,kilowatt hour,121.8555029
OAS,2007,Power consumption,kilowatt hour,126.9614493
OAS,2008,Power consumption,kilowatt hour,122.3421878
OAS,2009,Power consumption,kilowatt hour,119.5196961
OAS,2010,Power consumption,kilowatt hour,108.2984674
OAS,2011,Power consumption,kilowatt hour,108.853587
OAS,2012,Power consumption,kilowatt hour,105.4642661
OAS,2013,Power consumption,kilowatt hour,101.4266543
OAS,2014,Power consumption,kilowatt hour,102.3139506
OAS,2015,Power consumption,kilowatt hour,88.46661467
OAS,2016,Power consumption,kilowatt hour,95.55044389
OAS,2017,Power consumption,kilowatt hour,96.20829485
OAS,2030,Power consumption,kilowatt hour,92
OAS,2150,Power consumption,kilowatt hour,92
OAS,2012,Power generation,kilowatt hour,17.16
OAS,2013,Power generation,kilowatt hour,17.00
OAS,2014,Power generation,kilowatt hour,18.07
OAS,2015,Power generation,kilowatt hour,13.97
OAS,2016,Power generation,kilowatt hour,14.79
OAS,2017,Power generation,kilowatt hour,15.68
OAS,2030,Power generation,kilowatt hour,15.68
OAS,2150,Power generation,kilowatt hour,15.68
OAS,1990,"Production volume share, dry, with preheater and precalciner",percentage,0.09312057
OAS,2000,"Production volume share, dry, with preheater and precalciner",percentage,0.09312057
OAS,2005,"Production volume share, dry, with preheater and precalciner",percentage,0.067201069
OAS,2006,"Production volume share, dry, with preheater and precalciner",percentage,0.054413278
OAS,2007,"Production volume share, dry, with preheater and precalciner",percentage,0.067169877
OAS,2008,"Production volume share, dry, with preheater and precalciner",percentage,0.086627901
OAS,2009,"Production volume share, dry, with preheater and precalciner",percentage,0.952184325
OAS,2010,"Production volume share, dry, with preheater and precalciner",percentage,0.956902059
OAS,2011,"Production volume share, dry, with preheater and precalciner",percentage,0.962387728
OAS,2012,"Production volume share, dry, with preheater and precalciner",percentage,0.966726197
OAS,2013,"Production volume share, dry, with preheater and precalciner",percentage,0.868770393
OAS,2014,"Production volume share, dry, with preheater and precalciner",percentage,0.857237713
OAS,2015,"Production volume share, dry, with preheater and precalciner",percentage,0.86
OAS,2016,"Production volume share, dry, with preheater and precalciner",percentage,0.86
OAS,2017,"Production volume share, dry, with preheater and precalciner",percentage,0.86
OAS,2150,"Production volume share, dry, with preheater and precalciner",percentage,1
OAS,1990,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2000,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2005,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2006,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2007,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2008,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2009,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2010,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2011,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2012,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2013,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2014,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2015,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2016,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,2017,"Production volume share, dry, with preheater, without precalciner",percentage,0
OAS,1990,"Production volume share, dry, without preheater",percentage,0
OAS,2000,"Production volume share, dry, without preheater",percentage,0
OAS,2005,"Production volume share, dry, without preheater",percentage,0
OAS,2006,"Production volume share, dry, without preheater",percentage,0
OAS,2007,"Production volume share, dry, without preheater",percentage,0
OAS,2008,"Production volume share, dry, without preheater",percentage,0
OAS,2009,"Production volume share, dry, without preheater",percentage,0
OAS,2010,"Production volume share, dry, without preheater",percentage,0
OAS,2011,"Production volume share, dry, without preheater",percentage,0
OAS,2012,"Production volume share, dry, without preheater",percentage,0
OAS,2013,"Production volume share, dry, without preheater",percentage,0
OAS,2014,"Production volume share, dry, without preheater",percentage,0
OAS,2015,"Production volume share, dry, without preheater",percentage,0
OAS,2016,"Production volume share, dry, without preheater",percentage,0
OAS,2017,"Production volume share, dry, without preheater",percentage,0
OAS,1990,"Production volume share, semi-wet kiln type",percentage,0.90687943
OAS,2000,"Production volume share, semi-wet kiln type",percentage,0.90687943
OAS,2005,"Production volume share, semi-wet kiln type",percentage,0.932798931
OAS,2006,"Production volume share, semi-wet kiln type",percentage,0.945586722
OAS,2007,"Production volume share, semi-wet kiln type",percentage,0.932830123
OAS,2008,"Production volume share, semi-wet kiln type",percentage,0.913372099
OAS,2009,"Production volume share, semi-wet kiln type",percentage,0.047815675
OAS,2010,"Production volume share, semi-wet kiln type",percentage,0.043097941
OAS,2011,"Production volume share, semi-wet kiln type",percentage,0.037612272
OAS,2012,"Production volume share, semi-wet kiln type",percentage,0.033273803
OAS,2013,"Production volume share, semi-wet kiln type",percentage,0.131229607
OAS,2014,"Production volume share, semi-wet kiln type",percentage,0.142762287
OAS,2015,"Production volume share, semi-wet kiln type",percentage,0.156948562
OAS,2016,"Production volume share, semi-wet kiln type",percentage,0.14
OAS,2017,"Production volume share, semi-wet kiln type",percentage,0.14
OAS,2150,"Production volume share, semi-wet kiln type",percentage,0
OAS,1990,"Production volume share, wet kiln type",percentage,0
OAS,2000,"Production volume share, wet kiln type",percentage,0
OAS,2005,"Production volume share, wet kiln type",percentage,0
OAS,2006,"Production volume share, wet kiln type",percentage,0
OAS,2007,"Production volume share, wet kiln type",percentage,0
OAS,2008,"Production volume share, wet kiln type",percentage,0
OAS,2009,"Production volume share, wet kiln type",percentage,0
OAS,2010,"Production volume share, wet kiln type",percentage,0
OAS,2011,"Production volume share, wet kiln type",percentage,0
OAS,2012,"Production volume share, wet kiln type",percentage,0
OAS,2013,"Production volume share, wet kiln type",percentage,0
OAS,2014,"Production volume share, wet kiln type",percentage,0
OAS,2015,"Production volume share, wet kiln type",percentage,0
OAS,2016,"Production volume share, wet kiln type",percentage,0
OAS,2017,"Production volume share, wet kiln type",percentage,0
OAS,1990,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3250.702612
OAS,2000,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3250.702612
OAS,2005,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3250.702612
OAS,2010,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3250.702612
OAS,2015,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3301.116624
OAS,2016,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3301.116624
OAS,2017,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3301.116624
OAS,2030,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,3300
OAS,2150,"Thermal energy consumption, dry kiln, with preheater, with precalciner",megajoule,2800
OAS,1990,"Thermal energy consumption, semi-wet kiln",megajoule,3306.30932
OAS,2000,"Thermal energy consumption, semi-wet kiln",megajoule,3306.30932
OAS,2005,"Thermal energy consumption, semi-wet kiln",megajoule,3309.626339
OAS,2010,"Thermal energy consumption, semi-wet kiln",megajoule,3328.241723
OAS,2015,"Thermal energy consumption, semi-wet kiln",megajoule,3379.572417
OAS,2016,"Thermal energy consumption, semi-wet kiln",megajoule,3412.946269
OAS,2030,"Thermal energy consumption, semi-wet kiln",megajoule,3400
OAS,2017,"Thermal energy consumption, semi-wet kiln",megajoule,3418.057576
OAS,1990,Share waste fuel,percentage,0
OAS,2000,Share waste fuel,percentage,0.001842665
OAS,2005,Share waste fuel,percentage,0.014667169
OAS,2006,Share waste fuel,percentage,0.011250172
OAS,2007,Share waste fuel,percentage,0.013703873
OAS,2008,Share waste fuel,percentage,0.014328867
OAS,2009,Share waste fuel,percentage,0.016534138
OAS,2010,Share waste fuel,percentage,0.024379396
OAS,2011,Share waste fuel,percentage,0.024589659
OAS,2012,Share waste fuel,percentage,0.031337701
OAS,2013,Share waste fuel,percentage,0.054825231
OAS,2014,Share waste fuel,percentage,0.067085559
OAS,2015,Share waste fuel,percentage,0.067246039
OAS,2016,Share waste fuel,percentage,0.047266497
OAS,2017,Share waste fuel,percentage,0.047690492
OAS,2030,Share waste fuel,percentage,0.17
OAS,1990,Share biomass fuel,percentage,0
OAS,2000,Share biomass fuel,percentage,0.000129734
OAS,2005,Share biomass fuel,percentage,0.059987641
OAS,2006,Share biomass fuel,percentage,0.071171489
OAS,2007,Share biomass fuel,percentage,0.072892826
OAS,2008,Share biomass fuel,percentage,0.080380886
OAS,2009,Share biomass fuel,percentage,0.088986265
OAS,2010,Share biomass fuel,percentage,0.063010722
OAS,2011,Share biomass fuel,percentage,0.076910272
OAS,2012,Share biomass fuel,percentage,0.089618981
OAS,2013,Share biomass fuel,percentage,0.111677723
OAS,2014,Share biomass fuel,percentage,0.097241201
OAS,2015,Share biomass fuel,percentage,0.068410622
OAS,2016,Share biomass fuel,percentage,0.051595363
OAS,2017,Share biomass fuel,percentage,0.047101048
OAS,2030,Share biomass fuel,percentage,0.11
OAS,1990,Share fossil fuel,percentage,1
OAS,2000,Share fossil fuel,percentage,0.998027601
OAS,2005,Share fossil fuel,percentage,0.92534519
OAS,2006,Share fossil fuel,percentage,0.917578339
OAS,2007,Share fossil fuel,percentage,0.9134033
OAS,2008,Share fossil fuel,percentage,0.905290247
OAS,2009,Share fossil fuel,percentage,0.894479597
OAS,2010,Share fossil fuel,percentage,0.912609882
OAS,2011,Share fossil fuel,percentage,0.898500069
OAS,2012,Share fossil fuel,percentage,0.879043318
OAS,2013,Share fossil fuel,percentage,0.833497046
OAS,2014,Share fossil fuel,percentage,0.83567324
OAS,2015,Share fossil fuel,percentage,0.864343339
OAS,2016,Share fossil fuel,percentage,0.901138139
OAS,2017,Share fossil fuel,percentage,0.905208459
OAS,2030,Share fossil fuel,percentage,0.72
OAS,1990,"Share of recovered energy, per ton clinker",percentage,0
OAS,2000,"Share of recovered energy, per ton clinker",percentage,0
OAS,2005,"Share of recovered energy, per ton clinker",percentage,0
OAS,2006,"Share of recovered energy, per ton clinker",percentage,0
OAS,2007,"Share of recovered energy, per ton clinker",percentage,0
OAS,2008,"Share of recovered energy, per ton clinker",percentage,0
OAS,2009,"Share of recovered energy, per ton clinker",percentage,0
OAS,2010,"Share of recovered energy, per ton clinker",percentage,0
OAS,2011,"Share of recovered energy, per ton clinker",percentage,0
OAS,2012,"Share of recovered energy, per ton clinker",percentage,0
OAS,2013,"Share of recovered energy, per ton clinker",percentage,0
OAS,2014,"Share of recovered energy, per ton clinker",percentage,0
OAS,2015,"Share of recovered energy, per ton clinker",percentage,0
OAS,2016,"Share of recovered energy, per ton clinker",percentage,0
OAS,2017,"Share of recovered energy, per ton clinker",percentage,0
SSA,1990,Power consumption,kilowatt hour,118.5564087
SSA,2000,Power consumption,kilowatt hour,112.7249652
SSA,2005,Power consumption,kilowatt hour,111.2049668
SSA,2006,Power consumption,kilowatt hour,109.732785
SSA,2007,Power consumption,kilowatt hour,108.9337101
SSA,2008,Power consumption,kilowatt hour,108.6945149
SSA,2009,Power consumption,kilowatt hour,106.6310889
SSA,2010,Power consumption,kilowatt hour,106.8789015
SSA,2011,Power consumption,kilowatt hour,104.0177932
SSA,2012,Power consumption,kilowatt hour,101.7200451
SSA,2013,Power consumption,kilowatt hour,102.02939
SSA,2014,Power consumption,kilowatt hour,101.3365717
SSA,2015,Power consumption,kilowatt hour,100.6100514
SSA,2016,Power consumption,kilowatt hour,102.9606332
SSA,2017,Power consumption,kilowatt hour,102.2616536
SSA,2030,Power consumption,kilowatt hour,92
SSA,2150,Power consumption,kilowatt hour,92
SSA,2012,Power generation,kilowatt hour,3.88
SSA,2013,Power generation,kilowatt hour,4.15
SSA,2014,Power generation,kilowatt hour,4.84
SSA,2015,Power generation,kilowatt hour,4.49
SSA,2016,Power generation,kilowatt hour,4.42
SSA,2017,Power generation,kilowatt hour,4.13
SSA,2030,Power generation,kilowatt hour,4.13
SSA,2150,Power generation,kilowatt hour,4.13
SSA,1990,"Production volume share, dry, with preheater and precalciner",percentage,0.32
SSA,2000,"Production volume share, dry, with preheater and precalciner",percentage,0.5
SSA,2005,"Production volume share, dry, with preheater and precalciner",percentage,0.58
SSA,2006,"Production volume share, dry, with preheater and precalciner",percentage,0.58
SSA,2007,"Production volume share, dry, with preheater and precalciner",percentage,0.58
SSA,2008,"Production volume share, dry, with preheater and precalciner",percentage,0.6
SSA,2009,"Production volume share, dry, with preheater and precalciner",percentage,0.66
SSA,2010,"Production volume share, dry, with preheater and precalciner",percentage,0.67
SSA,2011,"Production volume share, dry, with preheater and precalciner",percentage,0.65
SSA,2012,"Production volume share, dry, with preheater and precalciner",percentage,0.68
SSA,2013,"Production volume share, dry, with preheater and precalciner",percentage,0.71
SSA,2014,"Production volume share, dry, with preheater and precalciner",percentage,0.71
SSA,2015,"Production volume share, dry, with preheater and precalciner",percentage,0.72
SSA,2016,"Production volume share, dry, with preheater and precalciner",percentage,0.73
SSA,2017,"Production volume share, dry, with preheater and precalciner",percentage,0.73
SSA,2150,"Production volume share, dry, with preheater and precalciner",percentage,1
SSA,1990,"Production volume share, dry, with preheater, without precalciner",percentage,0.25
SSA,2000,"Production volume share, dry, with preheater, without precalciner",percentage,0.2
SSA,2005,"Production volume share, dry, with preheater, without precalciner",percentage,0.18
SSA,2006,"Production volume share, dry, with preheater, without precalciner",percentage,0.18
SSA,2007,"Production volume share, dry, with preheater, without precalciner",percentage,0.18
