dataset name,reference product,dataset location,exchange name,exchange categories,exchange unit,exchange amount,exchange type
"transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'low population density, long-term')",kilogram,6.643799110861437e-08,biosphere
"transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,2.2362254270547055e-08,biosphere
"transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'urban air close to ground')",kilogram,7.618686481691839e-08,biosphere
"transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'low population density, long-term')",kilogram,4.457167079863211e-08,biosphere
"transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,1.4930463976270403e-08,biosphere
"transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'urban air close to ground')",kilogram,5.139568060030797e-08,biosphere
"transport, passenger car, plugin diesel hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'low population density, long-term')",kilogram,2.4210356386333842e-08,biosphere
"transport, passenger car, plugin diesel hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,7.4176318420882126e-09,biosphere
"transport, passenger car, plugin diesel hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'urban air close to ground')",kilogram,1.0216618662184374e-08,biosphere
"transport, passenger car, plugin diesel hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'low population density, long-term')",kilogram,1.0989118948145915e-08,biosphere
"transport, passenger car, plugin diesel hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,3.376475765648479e-09,biosphere
"transport, passenger car, plugin diesel hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'urban air close to ground')",kilogram,3.5543170628926646e-09,biosphere
"transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'low population density, long-term')",kilogram,1.3603262516426184e-07,biosphere
"transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,4.465455916147221e-08,biosphere
"transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab","transport, passenger car, EURO-6ab",RER,Propylene,"('air', 'urban air close to ground')",kilogram,1.5727178492852545e-07,biosphere
"transport, passenger car, gasoline hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'low population density, long-term')",kilogram,1.250484871206936e-07,biosphere
"transport, passenger car, gasoline hybrid, Large SUV, EURO-6","transport, passenger car, EURO-6",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,3.998562903007041e-08,biosphere
