dataset;location;Sum of production volume
electricity production, hydro, pumped storage;IN-TN;9.814840098
electricity production, hydro, pumped storage;IN-GJ;2810.883365
electricity production, hydro, pumped storage;IN-MH;590.0347903
electricity production, hydro, pumped storage;IT;1806.75
electricity production, hydro, pumped storage;JP;6119.19
electricity production, hydro, pumped storage;KR;3749.13
electricity production, hydro, pumped storage;LT;584.1
electricity production, hydro, pumped storage;LU;1398.87
electricity production, hydro, pumped storage;MA;402.93
electricity production, hydro, pumped storage;NO;989.01
electricity production, hydro, pumped storage;PL;477.18
electricity production, hydro, pumped storage;PT;1174.14
electricity production, hydro, pumped storage;RO;502.92
electricity production, hydro, pumped storage;RS;720.72
electricity production, hydro, pumped storage;RU;2007.72
electricity production, hydro, pumped storage;SE;117.81
electricity production, hydro, pumped storage;CN-AH;638.52299
electricity production, hydro, pumped storage;CN-FJ;766.22588
electricity production, hydro, pumped storage;CN-HB;638.52299
electricity production, hydro, pumped storage;CN-HE;766.22588
electricity production, hydro, pumped storage;CN-HN;766.22588
electricity production, hydro, pumped storage;CN-HU;766.22588
electricity production, hydro, pumped storage;CN-JS;638.52299
electricity production, hydro, pumped storage;CN-LN;766.22588
electricity production, hydro, pumped storage;CN-SD;509.76114
electricity production, hydro, pumped storage;CN-SX;766.22588
electricity production, hydro, pumped storage;CN-ZJ;1938.55011
electricity production, hydro, pumped storage;SI;276.21
electricity production, hydro, pumped storage;SK;244.53
electricity production, hydro, pumped storage;US-SPP;198.486
electricity production, hydro, pumped storage;TW;3261.06
electricity production, hydro, pumped storage;UA;1616.67
electricity production, hydro, pumped storage;ZA;3261.06
electricity production, hydro, pumped storage;RoW;1
electricity production, hydro, reservoir, alpine region;AR;9625.455695
electricity production, hydro, reservoir, alpine region;US-ASCC;312.4497986
electricity production, hydro, reservoir, alpine region;AT;9731.191895
electricity production, hydro, reservoir, alpine region;BA;1954.368859
electricity production, hydro, reservoir, alpine region;CA-AB;1505.961831
electricity production, hydro, reservoir, alpine region;CA-BC;53571.71103
electricity production, hydro, reservoir, alpine region;CH;10985.50314
electricity production, hydro, reservoir, alpine region;FR;9406.162761
electricity production, hydro, reservoir, alpine region;GLO;416149.2725
electricity production, hydro, reservoir, alpine region;HR;6642.141335
electricity production, hydro, reservoir, alpine region;IN-BR;86.50396
electricity production, hydro, reservoir, alpine region;IN-JH;138.897224
electricity production, hydro, reservoir, alpine region;IN-OR;4249.895884
electricity production, hydro, reservoir, alpine region;IN-AS;929.625824
electricity production, hydro, reservoir, alpine region;IN-ML;344
electricity production, hydro, reservoir, alpine region;IN-MN;725.87792
electricity production, hydro, reservoir, alpine region;IN-NL;262.630976
electricity production, hydro, reservoir, alpine region;IN-HP;7436.745327
electricity production, hydro, reservoir, alpine region;IN-PB;1628.03408
electricity production, hydro, reservoir, alpine region;IN-RJ;723.7200587
electricity production, hydro, reservoir, alpine region;IN-UP;878.677552
electricity production, hydro, reservoir, alpine region;IN-UT;5142.436983
electricity production, hydro, reservoir, alpine region;IN-AP;2040.43836
electricity production, hydro, reservoir, alpine region;IN-KA;6752.074325
electricity production, hydro, reservoir, alpine region;IN-KL;2477.869484
electricity production, hydro, reservoir, alpine region;IN-TN;1435.986416
electricity production, hydro, reservoir, alpine region;IN-CT;275.0443682
electricity production, hydro, reservoir, alpine region;IN-GJ;572.2672678
electricity production, hydro, reservoir, alpine region;IN-MH;4230.880946
electricity production, hydro, reservoir, alpine region;IN-MP;5119.875677
electricity production, hydro, reservoir, alpine region;IT;26529.15068
electricity production, hydro, reservoir, alpine region;JP;14975.00666
electricity production, hydro, reservoir, alpine region;MK;1540.141757
electricity production, hydro, reservoir, alpine region;US-MRO;2358.676331
electricity production, hydro, reservoir, alpine region;NO;141575.94
electricity production, hydro, reservoir, alpine region;US-NPCC;6609.906385
electricity production, hydro, reservoir, alpine region;PE;23404.59
electricity production, hydro, reservoir, alpine region;RFC;1730.659146
electricity production, hydro, reservoir, alpine region;RS;1709.570496
electricity production, hydro, reservoir, alpine region;US-SERC;6395.595809
electricity production, hydro, reservoir, alpine region;UZ;5394.994605
electricity production, hydro, reservoir, alpine region;US-WECC;34738.61163
electricity production, hydro, reservoir, alpine region;RoW;1
electricity production, hydro, reservoir, alpine region, label-certified;CH;5510.923695
electricity production, hydro, reservoir, alpine region, label-certified;RoW;1
electricity production, hydro, reservoir, non-alpine region;AR;9237.003233
electricity production, hydro, reservoir, non-alpine region;CA-MB;35528.55885
electricity production, hydro, reservoir, non-alpine region;CA-NB;2851.978925
electricity production, hydro, reservoir, non-alpine region;CA-NF;37480.27142
electricity production, hydro, reservoir, non-alpine region;CA-NS;482.4724225
electricity production, hydro, reservoir, non-alpine region;CA-NT;112.1736206
electricity production, hydro, reservoir, non-alpine region;CA-ON;29684.64656
electricity production, hydro, reservoir, non-alpine region;CA-QC;111521.5505
electricity production, hydro, reservoir, non-alpine region;CA-SK;3186.063771
electricity production, hydro, reservoir, non-alpine region;CZ;346.995
electricity production, hydro, reservoir, non-alpine region;DE;3226.808348
electricity production, hydro, reservoir, non-alpine region;ES;11980.11776
electricity production, hydro, reservoir, non-alpine region;FI;3654.681948
electricity production, hydro, reservoir, non-alpine region;US-FRCC;34.90986577
electricity production, hydro, reservoir, non-alpine region;GLO;364405.9417
electricity production, hydro, reservoir, non-alpine region;US-HICC;18.16973014
electricity production, hydro, reservoir, non-alpine region;IS;13335.3
electricity production, hydro, reservoir, non-alpine region;KR;563.706
electricity production, hydro, reservoir, non-alpine region;MN;58.41
electricity production, hydro, reservoir, non-alpine region;PT;5285.023725
electricity production, hydro, reservoir, non-alpine region;RU;45363.34995
electricity production, hydro, reservoir, non-alpine region;SE;12277.58054
electricity production, hydro, reservoir, non-alpine region;SK;1055.638565
electricity production, hydro, reservoir, non-alpine region;US-SPP;1109.304935
electricity production, hydro, reservoir, non-alpine region;TR;32861.07
electricity production, hydro, reservoir, non-alpine region;US-TRE;234.6060979
electricity production, hydro, reservoir, non-alpine region;TZ;2342.34
electricity production, hydro, reservoir, non-alpine region;ZA;573.21
electricity production, hydro, reservoir, non-alpine region;RoW;1
electricity production, hydro, reservoir, tropical region;AR;17102.81855
electricity production, hydro, reservoir, tropical region;BJ;14.85
electricity production, hydro, reservoir, tropical region;NA;47200
electricity production, hydro, reservoir, tropical region;NA;28100
electricity production, hydro, reservoir, tropical region;NA;74500
electricity production, hydro, reservoir, tropical region;NA;65000
electricity production, hydro, reservoir, tropical region;NA;146000
electricity production, hydro, reservoir, tropical region;CO;44908.49078
electricity production, hydro, reservoir, tropical region;GLO;463305.2793
electricity production, hydro, reservoir, tropical region;ID;13747.14
electricity production, hydro, reservoir, tropical region;MY;19818.81
electricity production, hydro, reservoir, tropical region;TH;6913.17
electricity production, hydro, reservoir, tropical region;RoW;1
electricity production, hydro, run-of-river;AL;7704.18
electricity production, hydro, run-of-river;AM;2327.49
electricity production, hydro, run-of-river;AO;5756.85
electricity production, hydro, run-of-river;AR;939.9425173
electricity production, hydro, run-of-river;US-ASCC;1249.805201
electricity production, hydro, run-of-river;AT;29190.6581
electricity production, hydro, run-of-river;AU;14923.26
electricity production, hydro, run-of-river;AZ;1939.41
electricity production, hydro, run-of-river;BA;3630.221141
electricity production, hydro, run-of-river;BD;560.34
electricity production, hydro, run-of-river;BE;366.3
electricity production, hydro, run-of-river;BG;3902.58
electricity production, hydro, run-of-river;BO;1702.8
electricity production, hydro, run-of-river;BY;126.72
electricity production, hydro, run-of-river;CA-AB;775.7601689
electricity production, hydro, run-of-river;CA-BC;2819.719972
electricity production, hydro, run-of-river;CA-MB;70.88614888
electricity production, hydro, run-of-river;CA-NB;282.0990753
electricity production, hydro, run-of-river;CA-NF;1159.451581
electricity production, hydro, run-of-river;CA-NS;379.1955775
electricity production, hydro, run-of-river;CA-NT;142.9663794
electricity production, hydro, run-of-river;CA-ON;4540.078882
electricity production, hydro, run-of-river;CA-QC;65496.85554
electricity production, hydro, run-of-river;CA-SK;98.70522919
electricity production, hydro, run-of-river;CA-YK;419.461
electricity production, hydro, run-of-river;CD;9008.01
electricity production, hydro, run-of-river;CG;949.41
electricity production, hydro, run-of-river;CH;9677.802617
electricity production, hydro, run-of-river;CI;1513.71
electricity production, hydro, run-of-river;CL;22881.87
electricity production, hydro, run-of-river;CM;4564.89
electricity production, hydro, run-of-river;CO;3567.84922
electricity production, hydro, run-of-river;CR;7945.74
