dataset;location;Sum of production volume
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;ES;2575
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-FRCC;33.14795244
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;GH;2
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;GLO;36535
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;GR;1998
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;GT;4
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-HICC;11.24147952
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;HK;1
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;HR;18
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;ID;4
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;IN-TN;13108
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;IT;4319
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;JP;45
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;KE;1
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;KH;2
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;KR;245
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;LK;10
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;LT;38
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;MK;8
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-MRO;1.152972259
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;MX;2
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;MY;120
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;NL;10
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;NP;1
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-NPCC;120.197358
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;PA;1
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;PH;9
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;PT;86
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-RFC;231.1709379
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;RO;655
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;RS;3
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;RU;84
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;SE;23
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-SERC;232.6121532
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;SG;19
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;SGCC;1905
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;SI;4
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;SK;60
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;SS;1
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;TH;146
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;TR;9
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-TRE;80.70805812
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;TW;291
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;UA;224
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;US-WECC;3574.214003
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;RoW;1
electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, laminated, integrated;CH;2.356
electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, laminated, integrated;GLO;2.356
electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, laminated, integrated;RoW;1
electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, panel, mounted;CH;32.927
electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, panel, mounted;GLO;32.927
electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, panel, mounted;RoW;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated;CH;19.988
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated;GLO;19.988
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated;RoW;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;DO;102
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;FR;804
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;AE;25
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;AR;7
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;AT;333
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;AU;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;AZ;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;BD;62
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;BE;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;BG;530
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;BN;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CH;121
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CL;205
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CR;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CSG;1785
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CU;9
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CY;28
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CZ;898
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;DE;11334
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;EC;7
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;EG;105
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;ER;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;ES;2068
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-FRCC;26.61558785
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;GH;2
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;GLO;29344
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;GR;1605
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;GT;3
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-HICC;9.026155878
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;HR;15
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;ID;3
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;IT;3468
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;JP;36
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;KH;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;KR;197
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;LK;9
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;LT;31
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;MK;6
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-MRO;0.925759577
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;MX;1
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;MY;96
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;NL;8
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-NPCC;96.51043593
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;PH;8
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;PT;69
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-RFC;185.6147952
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;RO;526
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;RS;3
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;RU;68
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;SE;19
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-SERC;186.7719947
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;SG;15
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;SGCC;1530
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;SI;3
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;SK;48
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;TH;117
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;TR;8
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-TRE;64.80317041
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;TW;234
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;UA;181
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;US-WECC;2869.85469
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;RoW;1
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;FR;624
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;BE;1
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;CSG;8018
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;DE;8804
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;ES;3137
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-FRCC;55.23645971
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;GLO;35909
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-HICC;18.7323646
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;IT;13405
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;JP;4
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;KR;1592
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-MRO;1.921268164
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;MX;10
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-NPCC;200.2922061
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;PT;166
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-RFC;385.2142668
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;SE;3
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-SERC;387.615852
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;SGCC;6870
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-TRE;134.4887715
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;US-WECC;5955.931308
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;RoW;1
electricity production, wind, <1MW turbine, onshore;FR;949
electricity production, wind, <1MW turbine, onshore;AT;128
electricity production, wind, <1MW turbine, onshore;AU;111
electricity production, wind, <1MW turbine, onshore;BE;65
electricity production, wind, <1MW turbine, onshore;BG;218
electricity production, wind, <1MW turbine, onshore;BR;715
electricity production, wind, <1MW turbine, onshore;CA-AB;115
electricity production, wind, <1MW turbine, onshore;CA-BC;27
electricity production, wind, <1MW turbine, onshore;CA-MB;30
electricity production, wind, <1MW turbine, onshore;CA-NF;26
electricity production, wind, <1MW turbine, onshore;CA-NS;24
electricity production, wind, <1MW turbine, onshore;CA-NT;1
electricity production, wind, <1MW turbine, onshore;CA-ON;114
electricity production, wind, <1MW turbine, onshore;CA-PE;20
electricity production, wind, <1MW turbine, onshore;CA-QC;263
electricity production, wind, <1MW turbine, onshore;CA-SK;20
electricity production, wind, <1MW turbine, onshore;CH;4
electricity production, wind, <1MW turbine, onshore;CL;23
electricity production, wind, <1MW turbine, onshore;CY;11
electricity production, wind, <1MW turbine, onshore;CZ;51
electricity production, wind, <1MW turbine, onshore;DE;7783
electricity production, wind, <1MW turbine, onshore;DK;5236
electricity production, wind, <1MW turbine, onshore;EE;16
electricity production, wind, <1MW turbine, onshore;ES;18242
electricity production, wind, <1MW turbine, onshore;FI;62
electricity production, wind, <1MW turbine, onshore;GLO;108088.4878
electricity production, wind, <1MW turbine, onshore;GR;1163
electricity production, wind, <1MW turbine, onshore;HR;104
electricity production, wind, <1MW turbine, onshore;HU;12
electricity production, wind, <1MW turbine, onshore;IE;937
electricity production, wind, <1MW turbine, onshore;IR;313
electricity production, wind, <1MW turbine, onshore;IT;4215
electricity production, wind, <1MW turbine, onshore;JP;5
electricity production, wind, <1MW turbine, onshore;KR;80
electricity production, wind, <1MW turbine, onshore;LT;33
electricity production, wind, <1MW turbine, onshore;LU;16
electricity production, wind, <1MW turbine, onshore;LV;72
electricity production, wind, <1MW turbine, onshore;MX;290
electricity production, wind, <1MW turbine, onshore;NL;1251
electricity production, wind, <1MW turbine, onshore;NO;44
electricity production, wind, <1MW turbine, onshore;PE;1
electricity production, wind, <1MW turbine, onshore;PL;281
electricity production, wind, <1MW turbine, onshore;PT;435
electricity production, wind, <1MW turbine, onshore;RO;151
electricity production, wind, <1MW turbine, onshore;RU;95
electricity production, wind, <1MW turbine, onshore;SE;1563
electricity production, wind, <1MW turbine, onshore;TR;596
electricity production, wind, <1MW turbine, onshore;TW;48
electricity production, wind, <1MW turbine, onshore;UA;101
electricity production, wind, <1MW turbine, onshore;RoW;62028.48783
electricity production, wind, >3MW turbine, onshore;FR;61
electricity production, wind, >3MW turbine, onshore;AT;126
electricity production, wind, >3MW turbine, onshore;AU;429
electricity production, wind, >3MW turbine, onshore;BE;282
electricity production, wind, >3MW turbine, onshore;BG;277
electricity production, wind, >3MW turbine, onshore;BR;269
electricity production, wind, >3MW turbine, onshore;CA-AB;3
electricity production, wind, >3MW turbine, onshore;CA-MB;1
electricity production, wind, >3MW turbine, onshore;CA-NS;1
electricity production, wind, >3MW turbine, onshore;CA-ON;3
electricity production, wind, >3MW turbine, onshore;CA-PE;1
electricity production, wind, >3MW turbine, onshore;CA-QC;4345
electricity production, wind, >3MW turbine, onshore;CA-SK;1
electricity production, wind, >3MW turbine, onshore;CH;7
electricity production, wind, >3MW turbine, onshore;DE;4676
electricity production, wind, >3MW turbine, onshore;DK;1264
electricity production, wind, >3MW turbine, onshore;EE;23
electricity production, wind, >3MW turbine, onshore;ES;88
electricity production, wind, >3MW turbine, onshore;FI;500
electricity production, wind, >3MW turbine, onshore;GLO;81312.30259
electricity production, wind, >3MW turbine, onshore;GR;512
electricity production, wind, >3MW turbine, onshore;HU;24
electricity production, wind, >3MW turbine, onshore;IE;165
electricity production, wind, >3MW turbine, onshore;IT;1287
electricity production, wind, >3MW turbine, onshore;JP;4
electricity production, wind, >3MW turbine, onshore;KR;106
electricity production, wind, >3MW turbine, onshore;LT;33
electricity production, wind, >3MW turbine, onshore;MX;113
electricity production, wind, >3MW turbine, onshore;NL;791
electricity production, wind, >3MW turbine, onshore;NO;72
electricity production, wind, >3MW turbine, onshore;PL;97
electricity production, wind, >3MW turbine, onshore;RO;1238
electricity production, wind, >3MW turbine, onshore;SE;52
electricity production, wind, >3MW turbine, onshore;TR;1158
electricity production, wind, >3MW turbine, onshore;UA;150
electricity production, wind, >3MW turbine, onshore;RoW;63153.30259
electricity production, wind, 1-3MW turbine, offshore;FR;9
electricity production, wind, 1-3MW turbine, offshore;BE;1803
electricity production, wind, 1-3MW turbine, offshore;DE;1624
electricity production, wind, 1-3MW turbine, offshore;DK;2869
electricity production, wind, 1-3MW turbine, offshore;ES;10
electricity production, wind, 1-3MW turbine, offshore;FI;37
electricity production, wind, 1-3MW turbine, offshore;GLO;10218
electricity production, wind, 1-3MW turbine, offshore;IE;57
electricity production, wind, 1-3MW turbine, offshore;JP;1
electricity production, wind, 1-3MW turbine, offshore;KR;18
electricity production, wind, 1-3MW turbine, offshore;NL;368
electricity production, wind, 1-3MW turbine, offshore;NO;5
electricity production, wind, 1-3MW turbine, offshore;PT;5
electricity production, wind, 1-3MW turbine, offshore;SE;448
electricity production, wind, 1-3MW turbine, offshore;RoW;2964
electricity production, wind, 1-3MW turbine, onshore;DO;602
electricity production, wind, 1-3MW turbine, onshore;FR;14766
electricity production, wind, 1-3MW turbine, onshore;AM;4
electricity production, wind, 1-3MW turbine, onshore;AR;723
electricity production, wind, 1-3MW turbine, onshore;AT;3553
electricity production, wind, 1-3MW turbine, onshore;AU;9609
electricity production, wind, 1-3MW turbine, onshore;AZ;2
electricity production, wind, 1-3MW turbine, onshore;BD;4
electricity production, wind, 1-3MW turbine, onshore;BE;2390
electricity production, wind, 1-3MW turbine, onshore;BG;823
electricity production, wind, 1-3MW turbine, onshore;BO;8
electricity production, wind, 1-3MW turbine, onshore;BR;11103
electricity production, wind, 1-3MW turbine, onshore;BY;7
electricity production, wind, 1-3MW turbine, onshore;CA-AB;3365
electricity production, wind, 1-3MW turbine, onshore;CA-BC;776
electricity production, wind, 1-3MW turbine, onshore;CA-MB;872
electricity production, wind, 1-3MW turbine, onshore;CA-NF;752
electricity production, wind, 1-3MW turbine, onshore;CA-NS;716
electricity production, wind, 1-3MW turbine, onshore;CA-NT;19
electricity production, wind, 1-3MW turbine, onshore;CA-ON;3327
electricity production, wind, 1-3MW turbine, onshore;CA-PE;585
electricity production, wind, 1-3MW turbine, onshore;CA-QC;1975
electricity production, wind, 1-3MW turbine, onshore;CA-SK;588
electricity production, wind, 1-3MW turbine, onshore;CH;62
electricity production, wind, 1-3MW turbine, onshore;CL;1387
electricity production, wind, 1-3MW turbine, onshore;CO;57
electricity production, wind, 1-3MW turbine, onshore;CR;728
electricity production, wind, 1-3MW turbine, onshore;CU;17
electricity production, wind, 1-3MW turbine, onshore;CW;32
electricity production, wind, 1-3MW turbine, onshore;CY;169
electricity production, wind, 1-3MW turbine, onshore;CZ;421
electricity production, wind, 1-3MW turbine, onshore;DE;42700
electricity production, wind, 1-3MW turbine, onshore;DK;3579
electricity production, wind, 1-3MW turbine, onshore;EC;79
electricity production, wind, 1-3MW turbine, onshore;EE;545
electricity production, wind, 1-3MW turbine, onshore;EG;1302
electricity production, wind, 1-3MW turbine, onshore;ES;33140
electricity production, wind, 1-3MW turbine, onshore;ET;388
electricity production, wind, 1-3MW turbine, onshore;FI;497
electricity production, wind, 1-3MW turbine, onshore;GLO;645235.2096
electricity production, wind, 1-3MW turbine, onshore;GR;1977
electricity production, wind, 1-3MW turbine, onshore;HK;2
electricity production, wind, 1-3MW turbine, onshore;HN;394
electricity production, wind, 1-3MW turbine, onshore;HR;619
electricity production, wind, 1-3MW turbine, onshore;HU;614
electricity production, wind, 1-3MW turbine, onshore;IE;3929
electricity production, wind, 1-3MW turbine, onshore;IL;6
electricity production, wind, 1-3MW turbine, onshore;IR;42
electricity production, wind, 1-3MW turbine, onshore;IT;9524
electricity production, wind, 1-3MW turbine, onshore;JM;118
electricity production, wind, 1-3MW turbine, onshore;JO;2
electricity production, wind, 1-3MW turbine, onshore;JP;24
electricity production, wind, 1-3MW turbine, onshore;KE;38
electricity production, wind, 1-3MW turbine, onshore;KR;920
electricity production, wind, 1-3MW turbine, onshore;KZ;13
electricity production, wind, 1-3MW turbine, onshore;LK;269
electricity production, wind, 1-3MW turbine, onshore;LT;569
electricity production, wind, 1-3MW turbine, onshore;LU;63
electricity production, wind, 1-3MW turbine, onshore;LV;64
electricity production, wind, 1-3MW turbine, onshore;MA;1905
electricity production, wind, 1-3MW turbine, onshore;MD;1
electricity production, wind, 1-3MW turbine, onshore;MK;70
electricity production, wind, 1-3MW turbine, onshore;MN;168
electricity production, wind, 1-3MW turbine, onshore;MU;3
electricity production, wind, 1-3MW turbine, onshore;MX;1653
electricity production, wind, 1-3MW turbine, onshore;NI;838
electricity production, wind, 1-3MW turbine, onshore;NL;2319
electricity production, wind, 1-3MW turbine, onshore;NO;2073
electricity production, wind, 1-3MW turbine, onshore;NP;6
electricity production, wind, 1-3MW turbine, onshore;NZ;2192
electricity production, wind, 1-3MW turbine, onshore;PA;115
electricity production, wind, 1-3MW turbine, onshore;PE;203
electricity production, wind, 1-3MW turbine, onshore;PH;150
electricity production, wind, 1-3MW turbine, onshore;PK;393
electricity production, wind, 1-3MW turbine, onshore;PL;7221
electricity production, wind, 1-3MW turbine, onshore;PT;11550
electricity production, wind, 1-3MW turbine, onshore;RO;4395
electricity production, wind, 1-3MW turbine, onshore;SE;9059
electricity production, wind, 1-3MW turbine, onshore;TN;502
electricity production, wind, 1-3MW turbine, onshore;TR;6678
electricity production, wind, 1-3MW turbine, onshore;TW;1437
electricity production, wind, 1-3MW turbine, onshore;UA;868
electricity production, wind, 1-3MW turbine, onshore;UY;726
electricity production, wind, 1-3MW turbine, onshore;VN;86
electricity production, wind, 1-3MW turbine, onshore;RoW;429765.2096
heat and power co-generation, biogas, gas engine;FR;303
heat and power co-generation, biogas, gas engine;AT;557
heat and power co-generation, biogas, gas engine;AU;1004
heat and power co-generation, biogas, gas engine;BE;254
heat and power co-generation, biogas, gas engine;BG;28
heat and power co-generation, biogas, gas engine;BR;277
heat and power co-generation, biogas, gas engine;BY;1
heat and power co-generation, biogas, gas engine;CA-AB;41
heat and power co-generation, biogas, gas engine;CA-ON;118
heat and power co-generation, biogas, gas engine;CA-QC;29
heat and power co-generation, biogas, gas engine;CH;1304
heat and power co-generation, biogas, gas engine;CL;40
heat and power co-generation, biogas, gas engine;CY;13
heat and power co-generation, biogas, gas engine;CZ;88
heat and power co-generation, biogas, gas engine;DE;31266
heat and power co-generation, biogas, gas engine;DK;310
heat and power co-generation, biogas, gas engine;EE;27
heat and power co-generation, biogas, gas engine;ES;372
heat and power co-generation, biogas, gas engine;FI;190
heat and power co-generation, biogas, gas engine;GLO;81089
heat and power co-generation, biogas, gas engine;GR;198
heat and power co-generation, biogas, gas engine;HR;102
heat and power co-generation, biogas, gas engine;HU;102
heat and power co-generation, biogas, gas engine;ID;719
heat and power co-generation, biogas, gas engine;IE;169
heat and power co-generation, biogas, gas engine;IR;47
heat and power co-generation, biogas, gas engine;IT;12173
heat and power co-generation, biogas, gas engine;JO;6
heat and power co-generation, biogas, gas engine;KR;1090
heat and power co-generation, biogas, gas engine;LT;19
heat and power co-generation, biogas, gas engine;LV;215
heat and power co-generation, biogas, gas engine;NL;60
heat and power co-generation, biogas, gas engine;NO;13
heat and power co-generation, biogas, gas engine;NZ;152
heat and power co-generation, biogas, gas engine;PE;80
heat and power co-generation, biogas, gas engine;RO;5
heat and power co-generation, biogas, gas engine;SE;53
heat and power co-generation, biogas, gas engine;SI;105
heat and power co-generation, biogas, gas engine;SK;76
heat and power co-generation, biogas, gas engine;SV;34
heat and power co-generation, biogas, gas engine;TR;1032
heat and power co-generation, biogas, gas engine;RoW;28417
heat and power co-generation, hard coal;AT;216
heat and power co-generation, hard coal;BG;1256
heat and power co-generation, hard coal;CZ;2596
heat and power co-generation, hard coal;DE;11925
heat and power co-generation, hard coal;DK;10288
heat and power co-generation, hard coal;FI;3723
heat and power co-generation, hard coal;GLO;286212
heat and power co-generation, hard coal;IT;112
heat and power co-generation, hard coal;KG;677
heat and power co-generation, hard coal;KZ;70271
heat and power co-generation, hard coal;MN;1429
heat and power co-generation, hard coal;NL;7191
heat and power co-generation, hard coal;NO;36
heat and power co-generation, hard coal;PL;66352
heat and power co-generation, hard coal;RU;83865
heat and power co-generation, hard coal;SE;360
heat and power co-generation, hard coal;SK;493
heat and power co-generation, hard coal;TR;267
heat and power co-generation, hard coal;TW;3395
heat and power co-generation, hard coal;UA;1135
heat and power co-generation, hard coal;RoW;20625
heat and power co-generation, lignite;AU;1813
heat and power co-generation, lignite;BA;175
heat and power co-generation, lignite;BG;1160
heat and power co-generation, lignite;CZ;8471
heat and power co-generation, lignite;DE;3856
heat and power co-generation, lignite;GLO;155038.31
heat and power co-generation, lignite;GR;8579
heat and power co-generation, lignite;HU;49
heat and power co-generation, lignite;KG;302
heat and power co-generation, lignite;KZ;32
heat and power co-generation, lignite;MN;3187
heat and power co-generation, lignite;PL;48562
heat and power co-generation, lignite;RO;4594
heat and power co-generation, lignite;RS;10251
heat and power co-generation, lignite;RU;55010
heat and power co-generation, lignite;SI;3184
heat and power co-generation, lignite;SK;1679
heat and power co-generation, lignite;TR;219
heat and power co-generation, lignite;UZ;724
heat and power co-generation, lignite;RoW;3191.31
heat and power co-generation, natural gas, 500kW electrical, lean burn;CH;6.72
heat and power co-generation, natural gas, 500kW electrical, lean burn;GLO;6.72
heat and power co-generation, natural gas, 500kW electrical, lean burn;RoW;1
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;AM;3032
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;AT;2568
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;BE;1688
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;BG;113
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;DE;462
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;DK;72
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;FI;651
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;GLO;198282.4144
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;HR;540
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;HU;224
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;IR;502
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;IT;29351
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;KR;3941
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;LT;51
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;LU;1048
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;LV;1013
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;MK;154
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;NL;9086
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;NO;529
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;NZ;95
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;PL;2646
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;RO;282
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;RU;22017
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;SK;485
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;TR;1232
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;RoW;116500.4144
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;FR;4661
