ISO2,PLANT_FUEL,NET_ELECTRICITY_GENERATION_MWH,FUEL_INPUT_LHV_MJ,NET_ELECTRICAL_EFFICIENCY,CHP_PLANT,PLANT_EMISSION_CO2_KG,PLANT_EMISSION_CH4_KG,PLANT_EMISSION_SO2_KG,PLANT_EMISSION_NOX_KG,PLANT_EMISSION_PM_2.5_KG,PLANT_EMISSION_PM_10_TO_2.5_KG,PLANT_EMISSION_PM_GR_10_KG,PLANT_EMISSION_HG_0_KG,PLANT_EMISSION_HG_2P_KG,PLANT_EMISSION_HG_P_KG
US,Bituminous coal,410270.2698,4480302376,0.329659217,FALSE,394947489,NA,392618.0938,397493.7848,3173.135884,1305.340371,448.2396539,9.187019632,2.565787688,0.000537184
US,Bituminous coal,1699691.118,18561252702,0.329659217,FALSE,1636211026,NA,1626560.674,1646759.966,13145.84866,5407.838681,1856.992852,38.0605099,10.62969185,0.002225476
IN,Bituminous coal,131429.963,1642964151,0.287984291,FALSE,141574200.7,NA,770621.7518,463804.9375,325324.8528,241402.7796,465921.3168,4.879154445,1.540003441,0.119584526
IN,Bituminous coal,131429.963,1642964151,0.287984291,FALSE,141574200.7,NA,770621.7518,463804.9375,325324.8528,241402.7796,465921.3168,4.879154445,1.540003441,0.119584526
IN,Bituminous coal,131429.963,1642964151,0.287984291,FALSE,141574200.7,NA,770621.7518,463804.9375,325324.8528,241402.7796,465921.3168,4.879154445,1.540003441,0.119584526
IN,Bituminous coal,262859.9259,3285928302,0.287984291,FALSE,283148401.3,NA,1541243.504,927609.8751,57730.42847,58516.03378,50319.50221,5.918451599,1.868035933,0.007833075
IN,Bituminous coal,262859.9259,3285928302,0.287984291,FALSE,283148401.3,NA,1541243.504,927609.8751,57730.42847,58516.03378,50319.50221,5.918451599,1.868035933,0.007833075
IN,Bituminous coal,525719.8519,6426174981,0.294512906,FALSE,566296802.7,NA,3014155.98,1814094.169,112901.3785,114437.7593,98408.08941,11.57450866,3.653252498,0.01531887
IN,Bituminous coal,525719.8519,6426174981,0.294512906,FALSE,566296802.7,NA,3014155.98,1814094.169,112901.3785,114437.7593,98408.08941,11.57450866,3.653252498,0.01531887
IN,Bituminous coal,525719.8519,6426174981,0.294512906,FALSE,566296802.7,NA,3014155.98,1814094.169,112901.3785,114437.7593,98408.08941,11.57450866,3.653252498,0.01531887
IN,Bituminous coal,525719.8519,6426174981,0.294512906,FALSE,566296802.7,NA,3014155.98,1814094.169,112901.3785,114437.7593,98408.08941,11.57450866,3.653252498,0.01531887
IN,Bituminous coal,525719.8519,6426174981,0.294512906,FALSE,566296802.7,NA,3014155.98,1814094.169,112901.3785,114437.7593,98408.08941,11.57450866,3.653252498,0.01531887
RU,Bituminous coal,431309.2266,5260728639,0.295151741,FALSE,491204610.2,NA,4147526.719,578856.7772,16175.31755,8322.170775,13385.22549,4.640464493,0.339332812,0.000104469
RU,Bituminous coal,431309.2266,5260728639,0.295151741,FALSE,491204610.2,NA,4147526.719,578856.7772,16175.31755,8322.170775,13385.22549,4.640464493,0.339332812,0.000104469
RU,Bituminous coal,496005.6106,6022843477,0.296474615,FALSE,562364775.9,NA,4748373.458,662714.9971,18518.61452,9527.792707,15324.32549,5.312722479,0.38849151,0.000119603
RU,Bituminous coal,370925.9348,4596613428,0.290503734,FALSE,429194862.9,NA,3623942.293,505781.8066,14133.34292,7271.578626,11695.47251,4.054651525,0.296495384,9.13E-05
RU,Bituminous coal,370925.9348,4596613428,0.290503734,FALSE,429194862.9,NA,3623942.293,505781.8066,14133.34292,7271.578626,11695.47251,4.054651525,0.296495384,9.13E-05
RU,Bituminous coal,927314.8371,9938466890,0.33590024,FALSE,927974257.9,NA,7835427.333,1093565.038,30558.09735,15722.08421,25287.10934,8.76667585,0.641060991,0.000197361
RU,Bituminous coal,927314.8371,9938466890,0.33590024,FALSE,927974257.9,NA,7835427.333,1093565.038,30558.09735,15722.08421,25287.10934,8.76667585,0.641060991,0.000197361
RU,Bituminous coal,927314.8371,9938466890,0.33590024,FALSE,927974257.9,NA,7835427.333,1093565.038,30558.09735,15722.08421,25287.10934,8.76667585,0.641060991,0.000197361
RU,Bituminous coal,927314.8371,9938466890,0.33590024,FALSE,927974257.9,NA,7835427.333,1093565.038,30558.09735,15722.08421,25287.10934,8.76667585,0.641060991,0.000197361
IN,Subbituminous coal,229286.8709,2998523226,0.275279754,FALSE,356498242,NA,2025461.755,858946.7383,56112.85989,56876.45305,48909.5829,5.221279334,1.65894275,0.006395995
IN,Subbituminous coal,229286.8709,2998523226,0.275279754,FALSE,356498242,NA,2025461.755,858946.7383,56112.85989,56876.45305,48909.5829,5.221279334,1.65894275,0.006395995
IN,Subbituminous coal,229286.8709,2998523226,0.275279754,FALSE,356498242,NA,2025461.755,858946.7383,56112.85989,56876.45305,48909.5829,5.221279334,1.65894275,0.006395995
IN,Subbituminous coal,229286.8709,2998523226,0.275279754,FALSE,356498242,NA,2025461.755,858946.7383,56112.85989,56876.45305,48909.5829,5.221279334,1.65894275,0.006395995
IN,Subbituminous coal,229286.8709,2998523226,0.275279754,FALSE,356498242,NA,2025461.755,858946.7383,56112.85989,56876.45305,48909.5829,5.221279334,1.65894275,0.006395995
IN,Bituminous coal,733717.9869,8949505385,0.295143099,FALSE,1140794374,NA,4744109.75,2485275.345,137152.4664,139018.8601,119546.0352,14.14891209,4.629940463,0.018770313
