Units,scenario,region,sector,subsector,technology,output,Year,value
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2045,0.11150665000000001
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2050,0.17701473
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2055,0.26328662
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2060,0.3684659
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2065,0.4836745
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2070,0.5959601999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2075,0.6958495
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2080,0.7777064
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2085,0.8775751
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2090,0.9885396
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2095,1.0979854
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2100,1.1954031999999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2030,0.0141468
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2035,0.0530168
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2040,0.12482059
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2045,0.26333433
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2050,0.48950004
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2055,0.7902427
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2060,1.1449272
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2065,1.525468
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2070,1.9173386
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2075,2.318336
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2080,2.6613740000000004
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2085,2.964318
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2090,3.234503
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2095,3.487034
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2100,3.7360160000000002
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2021,0.0024129
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2025,0.10147436
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2030,0.48074149
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2035,1.2909050149999999
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2040,2.1052587000000003
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2045,3.146452
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2050,4.42934
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2055,6.285124
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2060,8.769836000000002
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2065,11.696323
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2070,14.74954
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2075,17.670466
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2080,20.26505
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2085,22.89102
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2090,25.37569
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2095,27.54526
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2100,29.37778
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2040,0.577135
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2045,1.674142
Mt,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2050,3.4511719999999997
