metal,unit,year,mean,median,min,max,origin_var
Praseodymium,kg metal/kg vehicle,2050,1.255308301810155e-05,6.65612640625e-06,2.53125e-07,2.6282655862068966e-05,ICEV
Rhenium,kg metal/kg vehicle,2050,2.200640576923077e-07,1.8767577884615387e-07,1.5528750000000002e-07,2.8484061538461533e-07,ICEV
Rhodium,kg metal/kg vehicle,2050,5e-09,5e-09,5e-09,5e-09,ICEV
Rubidium,kg metal/kg vehicle,2050,3.4428369855769227e-06,2.9962625552884615e-06,2.549688125e-06,4.335985846153846e-06,ICEV
Ruthenium,kg metal/kg vehicle,2050,2.5685083605769233e-06,2.131437617788462e-06,1.6943668750000005e-06,3.4426498461538462e-06,ICEV
Samarium,kg metal/kg vehicle,2050,8.641439285714286e-07,5.664469642857143e-07,2.6875e-07,1.4595378571428571e-06,ICEV
Scandium,kg metal/kg vehicle,2050,4.772727272727273e-07,4.772727272727273e-07,4.772727272727273e-07,4.772727272727273e-07,ICEV
Silver,kg metal/kg vehicle,2050,0.0006362370125048,0.0005513404390649,0.000466443865625,0.0008060301593846,ICEV
Strontium,kg metal/kg vehicle,2050,0.06406755435020466,0.054781753769789776,0.0454959531893749,0.0826391555110344,ICEV
Tantalum,kg metal/kg vehicle,2050,0.0001683219944196,8.59084972098e-05,3.4950000000000004e-06,0.0003331489888392,ICEV
Tellurium,kg metal/kg vehicle,2050,1.1197328413461536e-06,9.549411081730768e-07,7.90149375e-07,1.4493163076923074e-06,ICEV
Terbium,kg metal/kg vehicle,2050,1.720947142857143e-06,8.604735714285715e-07,0.0,3.441894285714286e-06,ICEV
Tin,kg metal/kg vehicle,2050,0.02078921645153845,0.018673665175769225,0.0165581139,0.0250203190030769,ICEV
Tungsten,kg metal/kg vehicle,2050,1.3016858596153847e-05,1.1330838048076923e-05,9.6448175e-06,1.6388899692307694e-05,ICEV
Ytterbium,kg metal/kg vehicle,2050,2.0259090909090907e-08,1.0129545454545454e-08,0.0,4.0518181818181815e-08,ICEV
Yttrium,kg metal/kg vehicle,2050,2.2637688125000002e-05,1.1323844062500002e-05,1e-08,4.526537625e-05,ICEV
Zirconium,kg metal/kg vehicle,2050,0.0007152785578124501,0.000679759836718725,0.000644241115625,0.0007863159999999,ICEV
Aluminium,kg/MW,2050,147.5,138.75,130.0,165.0,Nuclear
Boron,kg/MW,2050,7.0,7.0,7.0,7.0,Nuclear
Brass,kg/MW,2050,28.0,28.0,28.0,28.0,Nuclear
Cadmium,kg/MW,2050,2.875,1.6875,0.5,5.25,Nuclear
Chromium,kg/MW,2050,369.175,359.5875,350.0,388.35,Nuclear
Hafnium,kg/MW,2050,0.35,0.35,0.35,0.35,Nuclear
Indium,kg/MW,2050,3.7,2.6500000000000004,1.6,5.800000000000001,Nuclear
Lead,kg/MW,2050,22.15,13.225,4.3,40.0,Nuclear
Manganese,kg/MW,2050,185.1425,130.16625,75.19,295.095,Nuclear
Molybdenum,kg/MW,2050,49.559999999999995,49.559999999999995,49.559999999999995,49.559999999999995,Nuclear
Nickel,kg/MW,2050,277.75,266.625,255.5,300.0,Nuclear
Niobium,kg/MW,2050,1.4,1.4,1.4,1.4,Nuclear
Silver,kg/MW,2050,8.725000000000001,8.512500000000001,8.3,9.15,Nuclear
Tin,kg/MW,2050,3.2199999999999998,3.2199999999999998,3.2199999999999998,3.2199999999999998,Nuclear
Tungsten,kg/MW,2050,3.5,3.5,3.5,3.5,Nuclear
Vanadium,kg/MW,2050,0.42,0.42,0.42,0.42,Nuclear
Yttrium,kg/MW,2050,0.35,0.35,0.35,0.35,Nuclear
Zirconium,kg/MW,2050,97.875,64.1875,30.5,165.25,Nuclear
Aluminium,kg/MW,2050,1018.75,1009.375,1000.0,1037.5,PAFC
Chromium,kg/MW,2050,3500.0,3500.0,3500.0,3500.0,PAFC
Copper,kg/MW,2050,3849.9999999999995,3849.9999999999995,3849.9999999999995,3849.9999999999995,PAFC
Lanthanum,kg/MW,2050,0.33299999999999996,0.16649999999999998,0.0,0.6659999999999999,PAFC
Manganese,kg/MW,2050,0.0,0.0,0.0,0.0,PAFC
Molybdenum,kg/MW,2050,14.0,14.0,14.0,14.0,PAFC
Nickel,kg/MW,2050,1190.0,1190.0,1190.0,1190.0,PAFC
Palladium,kg/MW,2050,0.35,0.35,0.35,0.35,PAFC
Platinum,kg/MW,2050,2.184837142857143,1.7642857142857147,1.6285714285714292,3.02594,PAFC
Yttrium,kg/MW,2050,0.0,0.0,0.0,0.0,PAFC
Zinc,kg/MW,2050,2859.6494839026786,2579.824741951339,2300.0,3419.2989678053573,PAFC
Zirconium,kg/MW,2050,0.0,0.0,0.0,0.0,PAFC
Potassium,kg/MW,2050,97.57575757575756,97.57575757575756,97.57575757575756,97.57575757575756,PEMEL
Ruthenium,kg/MW,2050,0.2919908870623046,0.2919908870623046,0.2919908870623046,0.2919908870623046,PEMEL
Chromium,kg/MW,2050,70.0,70.0,70.0,70.0,PEMFC
Aluminium,kg/MW,2050,518.0,518.0,518.0,518.0,Parabolic Trough - PB
Chromium,kg/MW,2050,1540.0,1540.0,1540.0,1540.0,Parabolic Trough - PB
Magnesium,kg/MW,2050,2100.0,2100.0,2100.0,2100.0,Parabolic Trough - PB
Manganese,kg/MW,2050,1400.0,1400.0,1400.0,1400.0,Parabolic Trough - PB
Molybdenum,kg/MW,2050,140.0,140.0,140.0,140.0,Parabolic Trough - PB
Nickel,kg/MW,2050,658.0,658.0,658.0,658.0,Parabolic Trough - PB
Niobium,kg/MW,2050,0.0,0.0,0.0,0.0,Parabolic Trough - PB
Silver,kg/MW,2050,15.627500000000001,11.016250000000001,6.405,24.85,Parabolic Trough - PB
Titanium,kg/MW,2050,17.5,17.5,17.5,17.5,Parabolic Trough - PB
Vanadium,kg/MW,2050,1.3299999999999998,1.3299999999999998,1.3299999999999998,1.3299999999999998,Parabolic Trough - PB
Zinc,kg/MW,2050,454.99999999999994,454.99999999999994,454.99999999999994,454.99999999999994,Parabolic Trough - PB
Aluminium,kg/MW,2050,13437.5,7343.75,1250.0,25625.0,SOFC - Y
Chromium,kg/MW,2050,5062.5,3406.25,1750.0,8375.0,SOFC - Y
Gadolinium,kg/MW,2050,9.1,9.1,9.1,9.1,SOFC - Y
Manganese,kg/MW,2050,353.5,353.5,353.5,353.5,SOFC - Y
Molybdenum,kg/MW,2050,0.0,0.0,0.0,0.0,SOFC - Y
Nickel,kg/MW,2050,2450.0,2450.0,2450.0,2450.0,SOFC - Y
Palladium,kg/MW,2050,0.0,0.0,0.0,0.0,SOFC - Y
Platinum,kg/MW,2050,0.0,0.0,0.0,0.0,SOFC - Y
Zinc,kg/MW,2050,353.5,353.5,353.5,353.5,SOFC - Y
Zirconium,kg/MW,2050,204.75,144.375,84.0,325.5,SOFC - Y
Aluminium,kg/MW,2050,640.0,570.0,500.0,780.0,Wind-DDPM
Boron,kg/MW,2050,6.45,6.225,6.0,6.9,Wind-DDPM
Chromium,kg/MW,2050,324.14,281.57,239.0,409.28,Wind-DDPM
Copper,kg/MW,2050,2667.0,2075.5,1484.0,3850.0,Wind-DDPM
Lead,kg/MW,2050,4704.0,4704.0,4704.0,4704.0,Wind-DDPM
Manganese,kg/MW,2050,239.875,148.1875,56.5,423.25,Wind-DDPM
Molybdenum,kg/MW,2050,92.1575,83.73625,75.315,109.0,Wind-DDPM
Nickel,kg/MW,2050,243.785,177.39249999999998,111.0,376.57,Wind-DDPM
Niobium,kg/MW,2050,26.359899999999996,26.359899999999996,26.359899999999996,26.359899999999996,Wind-DDPM
