powertrain,component,euro_class,value
BEV,Nitrogen oxides,2,1
ICEV-d,Nitrogen oxides,2,2.6
ICEV-d,Nitrogen oxides,3,2.6
ICEV-d,Nitrogen oxides,4,2.6
ICEV-d,Nitrogen oxides,5,2.6
ICEV-d,Nitrogen oxides,6,2.6
ICEV-d,Nitrogen oxides,6.1,2.6
ICEV-d,Nitrogen oxides,6.2,2.6
ICEV-d,Nitrogen oxides,6.3,2.6
