Region,EMF30 Sector,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
AFRI_EAST,CHEM,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_EAST,End_Use_Industry_Bio_Trad,,,,,,,,1.5098241155769259,1.5098241155769259,1.5098241155769259,1.5098241155769259,1.5098241155769259,1.5098241155769259
AFRI_EAST,End_Use_Industry_Coal,,,,,,,,71.19869312366725,71.19869312366725,71.19869312366725,71.19869312366725,71.19869312366725,71.19869312366725
AFRI_EAST,End_Use_Industry_HLF,,,,,,,,2.370422963459143,2.319495258486012,2.294703703408312,2.283254156726581,2.2794699145713704,2.275626295320104
AFRI_EAST,End_Use_Industry_LLF,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_EAST,End_Use_Industry_NatGas,,,,,,,,1.1106667133123096,1.1082978592414043,1.1029159487132354,1.09463499994236,1.0837642027484171,1.0741894158835164
AFRI_EAST,End_Use_Residential_Bio_Trad_Cook,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_EAST,End_Use_Residential_Coal_Heat,,,,,,,,13.89802652077887,13.89802652077887,13.89802652077887,13.89802652077887,13.89802652077887,13.89802652077887
AFRI_EAST,End_Use_Residential_HLF,,,,,,,,1.3894780355603549,1.1039860115804225,1.074998335369596,1.0704458233229477,1.066462833547509,1.0625367289822936
AFRI_EAST,End_Use_Residential_LLF,,,,,,,,1.0,1.0702151482590183,1.1503499109788782,1.2327345304922859,1.3021880756096331,1.361806891050476
AFRI_EAST,End_Use_Transport_AGR_HLF,,,,,,,,1.020408163265306,1.3605442176870748,1.564625850340136,1.6326530612244896,1.6326530612244896,1.6326530612244896
AFRI_EAST,End_Use_Transport_HDT_HLF,,,,,,,,1.1196911196911197,1.4628777348777349,1.6687979407979407,1.7374517374517373,1.7374517374517373,1.7374517374517373
AFRI_EAST,End_Use_Transport_LDT_HLF,,,,,,,,1.0097830426395675,1.4211761340853175,1.8325692255310673,2.2439623169768166,2.2439623169768166,2.2439623169768166
AFRI_EAST,End_Use_Transport_LDT_LLF,,,,,,,,11.70108997788578,9.529347760897208,5.248046592957884,0.9667454250185576,0.9667454250185576,0.9667454250185576
AFRI_EAST,End_Use_Transport_MC_LLF,,,,,,,,1.0005099004768747,8.045641626760938,12.2728897524564,13.682254277563269,13.682254277563269,13.682254277563269
AFRI_EAST,End_Use_Transport_OFF_HLF,,,,,,,,1.0883359639751633,1.4502729384905595,1.6794340479666277,1.7763464311715786,1.7763464311715786,1.7763464311715786
AFRI_EAST,End_Use_Transport_OFF_LLF,,,,,,,,1.098377898415989,2.9491439007684805,4.566067211461313,5.949147830494486,5.949147830494486,5.949147830494486
AFRI_EAST,Losses_Prod_Oil,,,,,,,,17.42559051500412,17.348596725099373,17.14259829287465,16.953758904216855,16.726829476006674,16.485603073410875
AFRI_EAST,Power_Gen_Bio_Trad_New,,,,,,,,3.5526456355231195,3.5526456355231195,3.5526456355231195,3.5526456355231195,3.5526456355231195,3.5526456355231195
AFRI_EAST,Power_Gen_Bio_Trad_Old,,,,,,,,1.837327741886728,1.837327741886728,1.837327741886728,1.837327741886728,1.837327741886728,1.837327741886728
AFRI_EAST,Power_Gen_Coal_New,,,,,,,,1.2619469775258079,1.2619469775258079,1.2619469775258079,1.2619469775258079,1.2619469775258079,1.2619469775258079
AFRI_EAST,Power_Gen_Coal_Old,,,,,,,,4.454251424343528,4.454251424343528,4.454251424343528,4.454251424343528,4.454251424343528,4.454251424343528
AFRI_EAST,Power_Gen_HLF,,,,,,,,1.8970375422187968,1.917075532990436,1.906547300165376,1.89113445511788,1.891956610543157,1.9015193584431809
AFRI_EAST,Power_Gen_LLF,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_EAST,Power_Gen_NatGas,,,,,,,,1.4923605701262175,1.4631477129842647,1.4442756200206754,1.4366620711659108,1.438592813104013,1.4406231516738772
AFRI_NORT,CHEM,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_NORT,End_Use_Industry_Bio_Trad,,,,,,,,1.5098239447351938,1.5098239064205505,1.509823866764346,1.5098238002725692,1.5098237752568693,1.5098237474408287
AFRI_NORT,End_Use_Industry_Coal,,,,,,,,12.342233510757536,16.20265236549403,18.577209940523332,22.142263851651215,26.462142671369143,30.954138368653044
AFRI_NORT,End_Use_Industry_HLF,,,,,,,,1.0,1.3125025198242752,1.5216263977019684,1.5870467391040253,1.4880462689355067,1.3882249640729332
AFRI_NORT,End_Use_Industry_LLF,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_NORT,End_Use_Industry_NatGas,,,,,,,,1.0590341164085364,1.0608808437157522,1.059217722916595,1.057849481369132,1.0575564107983164,1.0583699880968436
AFRI_NORT,End_Use_Residential_Bio_Trad_Cook,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_NORT,End_Use_Residential_Coal_Heat,,,,,,,,13.89802652077887,13.89802652077887,13.89802652077887,13.89802652077887,13.89802652077887,13.89802652077887
AFRI_NORT,End_Use_Residential_HLF,,,,,,,,1.0220386501812964,1.0208350893990241,1.023032887519132,1.0233286688525176,1.0237335334217437,1.024138972373677
AFRI_NORT,End_Use_Residential_LLF,,,,,,,,1.7936833708161763,1.7936833708161763,1.7936833708161763,1.7936833708161763,1.7936833708161763,1.7936833708161763
AFRI_NORT,End_Use_Residential_NatGas,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
