Region,EMF30 Sector,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
AFRI_EAST,CEMENT,,,,,,,,1.0964051297785995,1.1216486350145392,1.1254968478751446,1.1688870820595612,1.1319309923128305,1.1038848753761783
AFRI_EAST,End_Use_Industry_Bio_Trad,,,,,,,,1.0634664007119852,1.0634664007119852,1.0634664007119852,1.0634664007119852,1.0634664007119852,1.0634664007119852
AFRI_EAST,End_Use_Industry_Coal,,,,,,,,270390.6657007902,190707.9800880887,124592.47660138024,80750.24506370244,62183.104007448994,49114.54259772634
AFRI_EAST,End_Use_Industry_HLF,,,,,,,,31.40133495427495,32.32395032659314,32.81803821693931,33.04622506343006,33.12164056625961,33.198241621204176
AFRI_EAST,End_Use_Industry_LLF,,,,,,,,1.9380325327223056,1.9380325327223056,1.9380325327223056,1.9380325327223056,1.9380325327223056,1.9380325327223056
AFRI_EAST,End_Use_Industry_NatGas,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_EAST,End_Use_Residential_Bio_Trad_Cook,,,,,,,,2.0794312648348297,1.0845587682234576,0.8721702577109177,0.7827435164424797,0.7380301458082608,0.6933167751740418
AFRI_EAST,End_Use_Residential_Coal_Cook,,,,,,,,1.0050746673913822,0.6894257974036381,0.4244700007543968,0.2919921024297761,0.1595142041051554,0.0270363057805348
AFRI_EAST,End_Use_Residential_Coal_Heat,,,,,,,,417.373321396598,398.82339600119366,389.54843330349144,389.54843330349144,380.27347060578927,370.9985079080871
AFRI_EAST,End_Use_Residential_HLF,,,,,,,,2.177882723446364,1.3144807032428736,1.2268144425448455,1.21304646386971,1.2010008684424796,1.1891273086635363
AFRI_EAST,End_Use_Residential_LLF,,,,,,,,56.82498786127128,63.23236067429588,70.704723232063,78.51327644014172,85.75060433450145,91.92908434834698
AFRI_EAST,End_Use_Services_Bio_Trad_Heat,,,,,,,,146.3129215140859,108.50635444403916,95.1551459012587,74.68936952917767,47.98695244361674,21.284535358055813
AFRI_EAST,End_Use_Services_Coal_Heat,,,,,,,,3.596902903187309,3.1973468117968236,2.7977907204063377,2.4981236518634735,2.1984565833206093,2.1984565833206093
AFRI_EAST,End_Use_Transport_AGR_HLF,,,,,,,,9.638122235313821,4.397233486668374,1.2527002374811065,0.2045224877520173,0.2045224877520173,0.2045224877520173
AFRI_EAST,End_Use_Transport_HDT_HLF,,,,,,,,92.75247263670605,42.45285583569268,11.896308026059744,1.543720971531601,1.524602578921419,1.5142471636483112
AFRI_EAST,End_Use_Transport_LDT_HLF,,,,,,,,27.185886162167886,15.988585270191525,9.400621868214994,0.7100004511007865,0.6948732018113749,0.6766907608984541
AFRI_EAST,End_Use_Transport_LDT_LLF,,,,,,,,4.34420325508585,3.712748966155494,3.1840852047699584,2.7292459714393713,2.720511018812225,2.7114834422373892
AFRI_EAST,End_Use_Transport_MC_LLF,,,,,,,,7.478357454669352,5.979534979357188,4.655496566963456,3.439258970246571,3.4392529318090834,3.439256885587467
AFRI_EAST,End_Use_Transport_OFF_HLF,,,,,,,,8.28631642738129,3.773517770109677,1.0674391135265229,0.1633166446437942,0.1630438770814993,0.1627401708639048
AFRI_EAST,End_Use_Transport_OFF_LLF,,,,,,,,1.4496853506272094,1.1837176824207996,1.06558925471014,1.095300067495231,1.095300067495231,1.095300067495231
AFRI_EAST,Losses_Prod_Oil,,,,,,,,7.233419548570313,7.163586673594424,6.976747413173881,6.8054712955158605,6.599647755615353,6.380856951393408
AFRI_EAST,Power_Gen_Bio_Trad_New,,,,,,,,1.7186342982071148,1.7186342982071148,1.7186342982071148,1.7186342982071148,1.7186342982071148,1.7186342982071148
AFRI_EAST,Power_Gen_Bio_Trad_Old,,,,,,,,1.4330972517886074,1.4330972517886074,1.4330972517886074,1.4330972517886074,1.4330972517886074,1.4330972517886074
AFRI_EAST,Power_Gen_Coal_New,,,,,,,,1.0577617328519855,1.0577617328519855,1.0577617328519855,1.0577617328519855,1.0577617328519855,1.0577617328519855
AFRI_EAST,Power_Gen_Coal_Old,,,,,,,,1.6212085600118977,1.6212085600118977,1.6212085600118977,1.6212085600118977,1.6212085600118977,1.6212085600118977
AFRI_EAST,Power_Gen_HLF,,,,,,,,22.27452205345997,19.385713573504646,16.66760356821897,14.622731976712243,13.4275033037176,12.174844313438136
AFRI_EAST,Power_Gen_LLF,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_EAST,Power_Gen_NatGas,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
AFRI_EAST,Transformations_HLF_Refinery,,,,,,,,1.4623557752045548,1.4623557752045548,1.4623557752045548,1.4623557752045548,1.4623557752045548,1.4623557752045548
AFRI_EAST,Unattributed,,,,,,,,11.182815936096613,6.439462902929209,3.658037102444593,2.809146779987014,2.7443550077526315,2.688814521844781
AFRI_EAST,Unattributed,,,,,,,,11.182815936096613,6.439462902929209,3.658037102444593,2.809146779987014,2.7443550077526315,2.688814521844781
AFRI_EAST,Waste_Solid_Municipal,,,,,,,,68.11409387920084,9.202917900558996,,,,
AFRI_EAST,Waste_Solid_Municipal,,,,,,,,68.11409387920084,9.202917900558996,,,,
AFRI_NORT,CEMENT,,,,,,,,1.30041835125763,1.4055167508879003,1.4993488578074827,1.5203545397920148,1.5175911688427604,1.5241617558716611
AFRI_NORT,End_Use_Industry_Bio_Trad,,,,,,,,1.0635720672354785,1.0635828297777048,1.0635923145633974,1.0636126637831649,1.0636242680411443,1.063637171318236
