Units,scenario,region,sector,subsector,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2021,0.270604
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2025,3.94893
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2030,3.82968
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2035,3.83348
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2040,4.06261
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2045,1.23989
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2050,0.222823
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2055,0.0753867
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2060,0.0321585
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2065,0.0212821
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2070,0.0122816
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2075,0.00616677
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2080,0.00329725
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2085,0.00203776
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2090,0.00129185
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2095,0.000777789
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2100,0.000440309
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,1975,0.00254442
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,1990,0.00749276
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2005,0.0256595
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2010,0.0269166
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2015,0.0396868
