Units,scenario,region,sector,subsector,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,1990,0.226169
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2005,0.0366692
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2010,0.0216841
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2015,0.0104234
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2021,0.00690708
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2025,0.0137298
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2030,0.0119718
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2035,0.0121478
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2040,0.0120688
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2045,0.00832842
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2050,0.00388672
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2055,0.00182442
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2060,0.000770613
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2065,0.000416575
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2070,0.00021981
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2075,0.000116166
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2080,6.52004e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2085,3.98611e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2090,2.5262e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2095,1.59697e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,2100,9.97727e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,1975,0.042918
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,1990,0.161698
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2005,0.0973678
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2010,0.105993
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2015,0.0931048
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2021,0.104944
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2025,0.261344
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2030,0.253456
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2035,0.252298
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2040,0.306455
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2045,0.0940041
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2050,0.0282837
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2055,0.0121121
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2060,0.00553392
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2065,0.00291659
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2070,0.00156408
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2075,0.000858314
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2080,0.000495829
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2085,0.000294336
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2090,0.000176026
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2095,0.000104477
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,biomass,delivered biomass,2100,6.11626e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,1975,0.210908
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,1990,1.71539
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2005,0.669393
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2010,0.564335
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2015,0.438899
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2021,0.515509
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2025,1.05275
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2030,1.00597
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2035,1.00619
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2040,0.124242
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2045,0.0494016
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2050,0.0165658
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2055,0.00733668
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2060,0.00344888
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2065,0.00182771
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2070,0.00098854
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2075,0.000552079
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2080,0.000325289
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2085,0.000196531
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2090,0.000119514
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2095,7.19989e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,coal,delivered coal,2100,4.28421e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,1975,0.793349
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,1990,2.40943
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2005,2.53056
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2010,2.60567
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2015,1.83091
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2021,1.93913
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2025,4.07383
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2030,4.06025
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2035,3.99053
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2040,2.39674
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2045,1.12552
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2050,0.395393
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2055,0.174148
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2060,0.0837694
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2065,0.0452879
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2070,0.0249506
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2075,0.0143155
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2080,0.00849871
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2085,0.00516437
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2090,0.00316728
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2095,0.00192156
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,gas,wholesale gas,2100,0.00115057
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,1975,0.0529827
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,1990,0.685091
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2005,0.376829
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2010,0.310278
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2015,0.250638
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2021,0.129515
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2025,0.235838
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2030,0.217756
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2035,0.191639
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2040,0.321424
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2045,0.151112
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2050,0.0517575
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2055,0.0231668
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2060,0.0110495
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2065,0.00676863
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2070,0.00413602
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2075,0.00226163
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2080,0.00129468
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2085,0.000750957
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2090,0.000450104
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2095,0.000276259
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Russia,district heat,refined liquids,refined liquids industrial,2100,0.000168215
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,1975,0.103177
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2010,0.00276281
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2015,0.0011302
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2021,0.0625808
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2025,0.0699126
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2030,0.0764785
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2035,0.0811568
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2040,0.0828763
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2045,0.0320163
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2050,0.00962679
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2055,0.00378675
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2060,0.0014311
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2065,0.000666047
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2070,0.000339711
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2075,0.000180404
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2080,0.000101952
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2085,6.20818e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2090,3.81661e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2095,2.28806e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,biomass,delivered biomass,2100,1.36465e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,1975,0.0281841
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,1990,0.0392227
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2005,0.0146092
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2010,0.0475532
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2015,0.027251
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2021,0.0170789
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2025,0.0190598
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2030,0.0201901
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2035,0.0211912
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2040,0.00208634
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2045,0.000990361
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2050,0.000325765
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2055,0.000131864
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2060,5.10542e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2065,2.37967e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2070,1.21882e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2075,6.56343e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2080,3.77323e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2085,2.33349e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2090,1.45631e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2095,8.84904e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,coal,delivered coal,2100,5.36347e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,1975,0.339857
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,1990,1.661
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2005,0.723011
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2010,0.387499
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2015,0.206998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2021,0.206245
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2025,0.20921
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2030,0.239201
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2035,0.26234
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2040,0.135472
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2045,0.0733756
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2050,0.0246951
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2055,0.0100559
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2060,0.00398834
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2065,0.00189943
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2070,0.000991802
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2075,0.000543666
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2080,0.000316074
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2085,0.000197373
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2090,0.000124199
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2095,7.58923e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,gas,wholesale gas,2100,4.6249e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,1975,0.00197783
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,1990,0.364223
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2005,4.19003e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2010,0.00414411
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2015,0.00586042
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2021,0.0011721
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2025,0.00151222
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2030,0.00151017
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2035,0.00154227
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2040,0.00192708
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2045,0.00113412
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2050,0.00039037
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2055,0.00015934
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2060,6.33933e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2065,3.52788e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2070,2.04758e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2075,1.08307e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2080,6.06381e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2085,3.60709e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2090,2.2216e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2095,1.3753e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Ukraine,district heat,refined liquids,refined liquids industrial,2100,8.53736e-07
