Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2025,0.37778235738667
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2030,0.67551786183599
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2035,0.9648939143795
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2040,1.3668370147179
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2045,1.3732892814196
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2050,1.2838917117665
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2055,1.1121876308372
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2060,0.9371816240416
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2065,0.70361160718836
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2070,0.49548704361279
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2075,0.35393031178931
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2080,0.25564791091781003
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2085,0.17926404101788
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2090,0.11989600089414
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2095,0.064653860832502
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,biomass,2100,0.047039328377228996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2025,0.04661111350533
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2030,0.11302799236512001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2035,0.1894988747163
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2040,0.674384116040194
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2045,0.782904771423926
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2050,0.839063932942924
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2055,0.8393470894615119
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2060,0.819344746768896
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2065,0.718474215307272
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2070,0.5818830388226971
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2075,0.469420043478239
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2080,0.379143793892531
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2085,0.294856376490508
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2090,0.217440379297957
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2095,0.132983809691463
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Argentina,biomass,2100,0.104787063404495
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2025,0.0080970047695
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2030,0.0200176724924
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2035,0.0373804891521
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2040,0.144941194301
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2045,0.170314790116
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2050,0.183068635981
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2055,0.18400059916699998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2060,0.194675229961
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2065,0.174048865041
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2070,0.14580353097
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2075,0.12105621707099999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2080,0.100928857884
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2085,0.081590706941
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2090,0.064103330109
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2095,0.04637901551
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Australia_NZ,biomass,2100,0.040219939542000004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2025,0.1861812651666
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2030,0.3494357163622
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2035,0.507830252662
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2040,1.05908631185
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2045,1.13639534034
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2050,1.2527912829519998
