Units,scenario,region,sector,subsector,technology,fuel,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2045,0.0407933
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2050,0.0567236
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2055,0.0587045
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2060,0.0693786
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2065,0.0754789
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2070,0.0845551
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2075,0.0955487
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2080,0.0795356
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2085,0.0747126
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2090,0.0752355
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2095,0.0699496
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2100,0.0821124
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2010,4.02899e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2021,1.343e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2025,3.97526e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2030,0.000106054
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2035,0.000213317
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2040,4.19878e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2045,5.61813e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2050,2.34672e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2055,2.96933e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2060,1.44817e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2065,6.23887e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2070,2.53312e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2075,5.21923e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2080,3.25063e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2085,1.22344e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2090,4.70274e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2095,1.41315e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,1975,0.000117872
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,1990,0.000418619
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2005,0.00066976
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2010,0.000460518
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2015,0.000167472
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2025,0.000366848
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2030,0.000937947
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2035,0.00186341
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2040,4.84111e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2045,6.57556e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2050,2.887e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2055,3.66901e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2060,1.79669e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2065,7.23801e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2070,2.78876e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2075,5.71649e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2080,3.61014e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2085,1.37776e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,1975,0.100996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,1990,0.93128
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2005,2.49208
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2010,2.96542
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2015,3.56581
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2021,4.41841
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2025,4.65125
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2030,5.13009
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2035,5.70866
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2040,3.54556
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2045,3.58796
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2050,3.29704
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2055,2.80529
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2060,2.36509
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2065,1.97878
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2070,1.69203
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2075,1.47497
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2080,1.21535
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2085,1.01887
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2090,0.873933
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2095,0.741992
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,gas processing,natural gas,natural gas,regional natural gas,2100,0.680036
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2010,1.4773e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2021,7.25191e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2025,2.26732e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2030,5.73763e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2035,0.000136875
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2040,9.93255e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2045,3.23596e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2050,1.22321e-06
