Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,1975,0.3213619273
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,1990,0.2409816356
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2005,0.18101448159
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2010,0.18031085898000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2015,0.20270224618
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2021,0.17965093663
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2025,0.16775170681999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2030,0.14923771419999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2035,0.13648833422
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2040,0.12289888015
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2045,0.10507031741
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2050,0.08939046821
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2055,0.07945923868
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2060,0.0701323865
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2065,0.06009730381
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2070,0.05002469225
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2075,0.040538929072
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2080,0.032603873538
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2085,0.026005469799999997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2090,0.020679915481
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2095,0.015698197687
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Forest,biomass,2100,0.012336934875999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,1975,0.0083523779385
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,1990,0.0181101280327
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2005,0.033548945975
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2010,0.0313773575135
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2015,0.032512419361500004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2021,0.051595949537
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2025,0.0555053621506
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2030,0.056558292328600004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2035,0.0616164169991
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2040,0.0688308004336
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2045,0.0654988411379
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2050,0.0599943535061
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2055,0.0666382013826
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2060,0.07425750362957001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2065,0.07560411432419001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2070,0.07390773523573
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2075,0.07457749949152
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2080,0.07433896621027
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2085,0.07346376888923001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2090,0.07252591588388001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2095,0.06859111439111
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Fruits,biomass,2100,0.06751253188726
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,1975,0.0015854140203
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,1990,0.004258287362
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2005,0.007748144116000001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2010,0.014305267056
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2015,0.020134348478
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2021,0.023598558738
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2025,0.025773467123
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2030,0.026890866783
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2035,0.029393955904999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2040,0.032273277036
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2045,0.030693694638
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2050,0.02797994193
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2055,0.029720917048999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2060,0.032291303793
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2065,0.032076432966
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2070,0.030739275943
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2075,0.030173961201
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2080,0.029265469631
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2085,0.0282212024316
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2090,0.027293247417600003
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2095,0.0253647048084
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Legumes,biomass,2100,0.0246092974694
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,1975,0.00115417
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,1990,0.00201598
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2005,0.00293417
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2010,0.00347527
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2015,0.00529313
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2021,0.00552292
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2025,0.0060879
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2030,0.00688729
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2035,0.00784019
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2040,0.00903714
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2045,0.0101387
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2050,0.0112815
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2055,0.0127524
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2060,0.0143348
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2065,0.0159279
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2070,0.0167837
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2075,0.0169511
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2080,0.0169403
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2085,0.0168237
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2090,0.0167125
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2095,0.0159386
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,2100,0.0158098
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,1975,0.00244913884954
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,1990,0.00157823927596
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2005,0.00564380073895
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2010,0.0087358743142
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2015,0.0138792546056
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2021,0.0192453902519
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2025,0.0224743081377
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2030,0.0243660625071
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2035,0.0272765858854
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2040,0.030407374863599998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2045,0.029213150525
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2050,0.026792930096799998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2055,0.027728461777100002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2060,0.0295581919736
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2065,0.0291499590826
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2070,0.0278967483369
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2075,0.0272941173322
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2080,0.026297123324500002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2085,0.02514904170162
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2090,0.024135405497269998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2095,0.02227675363493
