Units,scenario,region,sector,subsector,technology,output,Year,value
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2045,0.02168623
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2050,0.00779954
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2055,0.0034322989999999998
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2060,0.0022448420000000004
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2065,0.0016461565
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2070,0.0011557052
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2075,0.00079074468
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2080,0.0005404588799999999
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2085,0.00035561938
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2090,0.000232495176
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2095,0.000147653679
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2100,8.90887332e-05
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2030,0.0141468
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2035,0.0530168
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2040,0.07260065
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2045,0.055469489999999996
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2050,0.02533431
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2055,0.01012335
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2060,0.004801748
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2065,0.003050614
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2070,0.001951832
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2075,0.0012288205
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2080,0.00077989387
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2085,0.00048328069
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2090,0.000299561486
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2095,0.00018162404100000002
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,Biomass-based,iron and steel,2100,0.0001045985847
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2021,0.0024129
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2025,0.10147446
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2030,0.48074159000000005
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2035,1.290905115
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2040,1.5858281
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2045,1.4700547
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2050,1.167421
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2055,0.973457
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2060,0.9253918
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2065,0.911095
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2070,0.8428586
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2075,0.7071651
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2080,0.5440619
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2085,0.3838499
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2090,0.250373
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2095,0.149462
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI,iron and steel,2100,0.0811752
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2040,1.07568
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2045,3.3873569999999997
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2050,7.217146
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2055,12.111241
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2060,18.09427
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2065,25.953247
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2070,34.957029999999996
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2075,42.88032
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2080,49.2247
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2085,52.78154
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2090,54.48256
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2095,55.30678
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,EAF with DRI CCS,iron and steel,2100,54.61735
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2030,0.00108742
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2035,0.004275129
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2040,0.012604252
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2045,0.030892918
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2050,0.06975640699999999
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2055,0.13246763
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2060,0.23096339
