powertrain,euro_class,type,component,value
ICEV-g,6.1,diurnal,Non-methane hydrocarbon,1.080886841
ICEV-g,6.1,diurnal,Benzene,0.008647095
ICEV-g,6.1,running losses,Hydrocarbon,0.000644611
ICEV-g,6.1,running losses,Hydrocarbon,0.00088634
ICEV-g,6.1,running losses,Hydrocarbon,0.002363574
ICEV-g,6.1,running losses,Methane,0
ICEV-g,6.1,running losses,Methane,0
ICEV-g,6.1,running losses,Methane,0
ICEV-g,6.1,running losses,Non-methane hydrocarbon,0.000644611
ICEV-g,6.1,running losses,Non-methane hydrocarbon,0.00088634
ICEV-g,6.1,running losses,Non-methane hydrocarbon,0.002363574
ICEV-g,6.1,running losses,Benzene,5.15689E-06
ICEV-g,6.1,running losses,Benzene,7.09072E-06
ICEV-g,6.1,running losses,Benzene,1.89086E-05
ICEV-g,6.1,soak,Hydrocarbon,0.044711821
ICEV-g,6.1,soak,Methane,0
ICEV-g,6.1,soak,Non-methane hydrocarbon,0.044711821
ICEV-g,6.1,soak,Benzene,0.000357695
ICEV-g,6.1,cold start,Hydrocarbon,0.978936553
ICEV-g,6.1,cold start,Carbon monoxide,5.888487816
ICEV-g,6.1,cold start,Nitrogen oxides,0.320955098
ICEV-g,6.1,cold start,Nitrogen dioxide,0.016047755
ICEV-g,6.1,cold start,Methane,0.053547829
ICEV-g,6.1,cold start,Non-methane hydrocarbon,0.925388694
ICEV-g,6.1,cold start,Lead,0
ICEV-g,6.1,cold start,Benzene,0.066665575
ICEV-g,6.1,cold start,Particulate matters 2.5,0
ICEV-g,6.2,diurnal,Methane,0
ICEV-g,6.2,diurnal,Hydrocarbon,1.080886841
ICEV-g,6.2,diurnal,Non-methane hydrocarbon,1.080886841
ICEV-g,6.2,diurnal,Benzene,0.008647095
ICEV-g,6.2,running losses,Hydrocarbon,0.000644611
ICEV-g,6.2,running losses,Hydrocarbon,0.00088634
ICEV-g,6.2,running losses,Hydrocarbon,0.002363574
ICEV-g,6.2,running losses,Methane,0
ICEV-g,6.2,running losses,Methane,0
ICEV-g,6.2,running losses,Methane,0
ICEV-g,6.2,running losses,Non-methane hydrocarbon,0.000644611
ICEV-g,6.2,running losses,Non-methane hydrocarbon,0.00088634
ICEV-g,6.2,running losses,Non-methane hydrocarbon,0.002363574
ICEV-g,6.2,running losses,Benzene,5.15689E-06
ICEV-g,6.2,running losses,Benzene,7.09072E-06
ICEV-g,6.2,running losses,Benzene,1.89086E-05
ICEV-g,6.2,soak,Hydrocarbon,0.044711821
ICEV-g,6.2,soak,Methane,0
ICEV-g,6.2,soak,Non-methane hydrocarbon,0.044711821
ICEV-g,6.2,soak,Benzene,0.000357695
ICEV-g,6.2,cold start,Hydrocarbon,0.978936553
ICEV-g,6.2,cold start,Carbon monoxide,5.888487816
ICEV-g,6.2,cold start,Nitrogen oxides,0.320955098
ICEV-g,6.2,cold start,Nitrogen dioxide,0.016047755
ICEV-g,6.2,cold start,Methane,0.053547829
ICEV-g,6.2,cold start,Non-methane hydrocarbon,0.925388694
ICEV-g,6.2,cold start,Lead,0
ICEV-g,6.2,cold start,Benzene,0.066665575
ICEV-g,6.2,cold start,Particulate matters 2.5,0
ICEV-g,6.3,diurnal,Methane,0
ICEV-g,6.3,diurnal,Hydrocarbon,1.080886841
ICEV-g,6.3,diurnal,Non-methane hydrocarbon,1.080886841
ICEV-g,6.3,diurnal,Benzene,0.008647095
ICEV-g,6.3,running losses,Hydrocarbon,0.000644611
ICEV-g,6.3,running losses,Hydrocarbon,0.00088634
ICEV-g,6.3,running losses,Hydrocarbon,0.002363574
ICEV-g,6.3,running losses,Methane,0
ICEV-g,6.3,running losses,Methane,0
ICEV-g,6.3,running losses,Methane,0
ICEV-g,6.3,running losses,Non-methane hydrocarbon,0.000644611
ICEV-g,6.3,running losses,Non-methane hydrocarbon,0.00088634
ICEV-g,6.3,running losses,Non-methane hydrocarbon,0.002363574
ICEV-g,6.3,running losses,Benzene,5.15689E-06
ICEV-g,6.3,running losses,Benzene,7.09072E-06
ICEV-g,6.3,running losses,Benzene,1.89086E-05
ICEV-g,6.3,soak,Hydrocarbon,0.044711821
ICEV-g,6.3,soak,Methane,0
ICEV-g,6.3,soak,Non-methane hydrocarbon,0.044711821
ICEV-g,6.3,soak,Benzene,0.000357695
ICEV-g,6.3,cold start,Hydrocarbon,0.978936553
ICEV-g,6.3,cold start,Carbon monoxide,5.888487816
ICEV-g,6.3,cold start,Nitrogen oxides,0.320955098
ICEV-g,6.3,cold start,Nitrogen dioxide,0.016047755
ICEV-g,6.3,cold start,Methane,0.053547829
ICEV-g,6.3,cold start,Non-methane hydrocarbon,0.925388694
ICEV-g,6.3,cold start,Lead,0
ICEV-g,6.3,cold start,Benzene,0.066665575
ICEV-g,6.3,cold start,Particulate matters 2.5,0
ICEV-g,7,diurnal,Methane,0
ICEV-g,7,diurnal,Hydrocarbon,1.080886841
ICEV-g,7,diurnal,Non-methane hydrocarbon,1.080886841
ICEV-g,7,diurnal,Benzene,0.008647095
ICEV-g,7,running losses,Hydrocarbon,0.000644611
ICEV-g,7,running losses,Hydrocarbon,0.00088634
ICEV-g,7,running losses,Hydrocarbon,0.002363574
ICEV-g,7,running losses,Methane,0
ICEV-g,7,running losses,Methane,0
ICEV-g,7,running losses,Methane,0
ICEV-g,7,running losses,Non-methane hydrocarbon,0.000644611
ICEV-g,7,running losses,Non-methane hydrocarbon,0.00088634
ICEV-g,7,running losses,Non-methane hydrocarbon,0.002363574
ICEV-g,7,running losses,Benzene,5.15689E-06
ICEV-g,7,running losses,Benzene,7.09072E-06
ICEV-g,7,running losses,Benzene,1.89086E-05
ICEV-g,7,soak,Hydrocarbon,0.044711821
ICEV-g,7,soak,Methane,0
ICEV-g,7,soak,Non-methane hydrocarbon,0.044711821
ICEV-g,7,soak,Benzene,0.000357695
ICEV-g,7,cold start,Hydrocarbon,0.978936553
ICEV-g,7,cold start,Carbon monoxide,5.888487816
ICEV-g,7,cold start,Nitrogen oxides,0.320955098
ICEV-g,7,cold start,Nitrogen dioxide,0.016047755
ICEV-g,7,cold start,Methane,0.053547829
ICEV-g,7,cold start,Non-methane hydrocarbon,0.925388694
ICEV-g,7,cold start,Lead,0
ICEV-g,7,cold start,Benzene,0.066665575
ICEV-g,7,cold start,Particulate matters 2.5,0
