powertrain,euro_class,component,size,value
compressed gas,5,Benzene,18t,0
compressed gas,5,Methane,18t,0.022610088
compressed gas,5,Carbon monoxide,18t,0.052087487
compressed gas,5,Hydrocarbon,18t,0.024576181
compressed gas,5,NMVOC,18t,0.001966094
compressed gas,5,Nitrogen dioxide,18t,0.023681259
compressed gas,5,Nitrogen oxides,18t,0.094725037
compressed gas,5,Lead,18t,0
compressed gas,5,Particulate,18t,0.000406425
compressed gas,6,Benzene,18t,0
compressed gas,6,Methane,18t,0.011069846
compressed gas,6,Carbon monoxide,18t,0.045409835
compressed gas,6,Hydrocarbon,18t,0.012032441
compressed gas,6,NMVOC,18t,0.000962595
compressed gas,6,Nitrogen dioxide,18t,0.00753617
compressed gas,6,Nitrogen oxides,18t,0.030144679
compressed gas,6,Lead,18t,0
compressed gas,6,Particulate,18t,0.000406425
compressed gas,4,Benzene,26t,0
compressed gas,4,Methane,26t,0.047311339
compressed gas,4,Carbon monoxide,26t,0.090414776
compressed gas,4,Hydrocarbon,26t,0.05142537
compressed gas,4,NMVOC,26t,0.004114029
compressed gas,4,Nitrogen dioxide,26t,0.15346441
compressed gas,4,Nitrogen oxides,26t,0.613857641
compressed gas,4,Lead,26t,0
compressed gas,4,Particulate,26t,0.000353135
compressed gas,5,Benzene,26t,0
compressed gas,5,Methane,26t,0.022610088
compressed gas,5,Carbon monoxide,26t,0.052087487
compressed gas,5,Hydrocarbon,26t,0.024576181
compressed gas,5,NMVOC,26t,0.001966094
compressed gas,5,Nitrogen dioxide,26t,0.023681259
compressed gas,5,Nitrogen oxides,26t,0.094725037
compressed gas,5,Lead,26t,0
compressed gas,5,Particulate,26t,0.000406425
compressed gas,6,Benzene,26t,0
compressed gas,6,Methane,26t,0.011069846
compressed gas,6,Carbon monoxide,26t,0.045409835
compressed gas,6,Hydrocarbon,26t,0.012032441
compressed gas,6,NMVOC,26t,0.000962595
compressed gas,6,Nitrogen dioxide,26t,0.00753617
compressed gas,6,Nitrogen oxides,26t,0.030144679
compressed gas,6,Lead,26t,0
compressed gas,6,Particulate,26t,0.000406425
compressed gas,4,Benzene,32t,0
compressed gas,4,Methane,32t,0.047311339
compressed gas,4,Carbon monoxide,32t,0.090414776
compressed gas,4,Hydrocarbon,32t,0.05142537
compressed gas,4,NMVOC,32t,0.004114029
compressed gas,4,Nitrogen dioxide,32t,0.15346441
compressed gas,4,Nitrogen oxides,32t,0.613857641
compressed gas,4,Lead,32t,0
compressed gas,4,Particulate,32t,0.000353135
compressed gas,5,Benzene,32t,0
compressed gas,5,Methane,32t,0.022610088
compressed gas,5,Carbon monoxide,32t,0.052087487
compressed gas,5,Hydrocarbon,32t,0.024576181
compressed gas,5,NMVOC,32t,0.001966094
compressed gas,5,Nitrogen dioxide,32t,0.023681259
compressed gas,5,Nitrogen oxides,32t,0.094725037
compressed gas,5,Lead,32t,0
compressed gas,5,Particulate,32t,0.000406425
compressed gas,6,Benzene,32t,0
compressed gas,6,Methane,32t,0.011069846
compressed gas,6,Carbon monoxide,32t,0.045409835
compressed gas,6,Hydrocarbon,32t,0.012032441
compressed gas,6,NMVOC,32t,0.000962595
compressed gas,6,Nitrogen dioxide,32t,0.00753617
compressed gas,6,Nitrogen oxides,32t,0.030144679
compressed gas,6,Lead,32t,0
compressed gas,6,Particulate,32t,0.000406425
compressed gas,4,Benzene,40t,0
compressed gas,4,Methane,40t,0.047311339
compressed gas,4,Carbon monoxide,40t,0.090414776
compressed gas,4,Hydrocarbon,40t,0.05142537
compressed gas,4,NMVOC,40t,0.004114029
compressed gas,4,Nitrogen dioxide,40t,0.15346441
compressed gas,4,Nitrogen oxides,40t,0.613857641
compressed gas,4,Lead,40t,0
compressed gas,4,Particulate,40t,0.000353135
compressed gas,5,Benzene,40t,0
compressed gas,5,Methane,40t,0.022610088
compressed gas,5,Carbon monoxide,40t,0.052087487
compressed gas,5,Hydrocarbon,40t,0.024576181
compressed gas,5,NMVOC,40t,0.001966094
compressed gas,5,Nitrogen dioxide,40t,0.023681259
compressed gas,5,Nitrogen oxides,40t,0.094725037
compressed gas,5,Lead,40t,0
compressed gas,5,Particulate,40t,0.000406425
compressed gas,6,Benzene,40t,0
compressed gas,6,Methane,40t,0.011069846
compressed gas,6,Carbon monoxide,40t,0.045409835
compressed gas,6,Hydrocarbon,40t,0.012032441
compressed gas,6,NMVOC,40t,0.000962595
compressed gas,6,Nitrogen dioxide,40t,0.00753617
compressed gas,6,Nitrogen oxides,40t,0.030144679
compressed gas,6,Lead,40t,0
compressed gas,6,Particulate,40t,0.000406425
compressed gas,4,Benzene,60t,0
compressed gas,4,Methane,60t,0.047311339
compressed gas,4,Carbon monoxide,60t,0.090414776
compressed gas,4,Hydrocarbon,60t,0.05142537
compressed gas,4,NMVOC,60t,0.004114029
compressed gas,4,Nitrogen dioxide,60t,0.15346441
compressed gas,4,Nitrogen oxides,60t,0.613857641
compressed gas,4,Lead,60t,0
compressed gas,4,Particulate,60t,0.000353135
compressed gas,5,Benzene,60t,0
compressed gas,5,Methane,60t,0.022610088
compressed gas,5,Carbon monoxide,60t,0.052087487
compressed gas,5,Hydrocarbon,60t,0.024576181
compressed gas,5,NMVOC,60t,0.001966094
compressed gas,5,Nitrogen dioxide,60t,0.023681259
compressed gas,5,Nitrogen oxides,60t,0.094725037
compressed gas,5,Lead,60t,0
compressed gas,5,Particulate,60t,0.000406425
compressed gas,6,Benzene,60t,0
compressed gas,6,Methane,60t,0.011069846
compressed gas,6,Carbon monoxide,60t,0.045409835
compressed gas,6,Hydrocarbon,60t,0.012032441
compressed gas,6,NMVOC,60t,0.000962595
compressed gas,6,Nitrogen dioxide,60t,0.00753617
compressed gas,6,Nitrogen oxides,60t,0.030144679
compressed gas,6,Lead,60t,0
compressed gas,6,Particulate,60t,0.000406425
compressed gas,4,Benzene,7.5t,0
compressed gas,4,Methane,7.5t,0.047311339
compressed gas,4,Carbon monoxide,7.5t,0.090414776
compressed gas,4,Hydrocarbon,7.5t,0.05142537
compressed gas,4,NMVOC,7.5t,0.004114029
compressed gas,4,Nitrogen dioxide,7.5t,0.15346441
compressed gas,4,Nitrogen oxides,7.5t,0.613857641
compressed gas,4,Lead,7.5t,0
compressed gas,4,Particulate,7.5t,0.000353135
compressed gas,5,Benzene,7.5t,0
compressed gas,5,Methane,7.5t,0.022610088
compressed gas,5,Carbon monoxide,7.5t,0.052087487
compressed gas,5,Hydrocarbon,7.5t,0.024576181
compressed gas,5,NMVOC,7.5t,0.001966094
compressed gas,5,Nitrogen dioxide,7.5t,0.023681259
compressed gas,5,Nitrogen oxides,7.5t,0.094725037
compressed gas,5,Lead,7.5t,0
compressed gas,5,Particulate,7.5t,0.000406425
compressed gas,6,Benzene,7.5t,0
compressed gas,6,Methane,7.5t,0.011069846
compressed gas,6,Carbon monoxide,7.5t,0.045409835
compressed gas,6,Hydrocarbon,7.5t,0.012032441
compressed gas,6,NMVOC,7.5t,0.000962595
compressed gas,6,Nitrogen dioxide,7.5t,0.00753617
compressed gas,6,Nitrogen oxides,7.5t,0.030144679
compressed gas,6,Lead,7.5t,0
compressed gas,6,Particulate,7.5t,0.000406425
