Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2045,0.087376954502
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2050,0.105464572564
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2055,0.112941657226
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2060,0.121856128426
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2065,0.12817303211199998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2070,0.13121962516900001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2075,0.13174825866099998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2080,0.130581714576
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2085,0.12951266623
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2090,0.126173310084
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2095,0.11713287788723
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilCrop,biomass,2100,0.1124108033979
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,1975,4.912641e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,1990,0.00017680299
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2005,0.00042506330000000004
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2010,0.000854997
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2015,0.0008964503999999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2021,0.0009514109000000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2025,0.0010809504
