market,market location,impact category,indicator,method,unit,rank,process,process location,process key,score,share (%)
Transport,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,5,natural gas venting from petroleum/natural gas production,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '690b9a048bb54495b40bd2c69125bbce')",0.020194716427257675,3.268221868886861
Transport,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,6,"nylon 6-6 production, glass-filled",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'cdadf4f6d8824ab18b6542b19f997553')",0.017277826681727233,2.796165581797468
Transport,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,7,"aluminium production, primary, liquid, prebake",CN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '7f0f01cbf1b248ea9e5ef6d75fe81907')",0.015607113374093656,2.525784871658929
Transport,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,8,sponge iron production,IN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '36f1a81cc4f644b297278b7b9070c40b')",0.012721599446922891,2.0588063055708035
Transport,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,9,"diesel, burned in building machine",GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '85cbd0f5c8d9422eb8e62e17411ce3b6')",0.011907921912140162,1.9271244013966244
Transport,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,10,"quicklime production, in pieces, loose",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'eefa39eddbe442dca5d303661d6e52d6')",0.0109118534145894,1.7659251660257944
Transport,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,11,Other,,,0.38686766169854403,62.60891837142768
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,1,"hydrogen supply, distributed by pipeline",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.060887937671694134,10.730526788963862
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,2,"market group for electricity, medium voltage",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1f68882440364dbcaec11614acdb8a39')",0.04842039840017617,8.533322067285855
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,3,"nylon 6-6 production, glass-filled",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'd2512b2d0b374a35ac83778c98943ad8')",0.02811007973562001,4.953952706846345
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,4,natural gas venting from petroleum/natural gas production,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '690b9a048bb54495b40bd2c69125bbce')",0.018388764663812555,3.240726150143926
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,5,"nylon 6-6 production, glass-filled",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'cdadf4f6d8824ab18b6542b19f997553')",0.01644477913524233,2.89812974124341
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,6,"aluminium production, primary, liquid, prebake",CN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '7f0f01cbf1b248ea9e5ef6d75fe81907')",0.014744432615525655,2.598470817357352
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,7,sponge iron production,IN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '36f1a81cc4f644b297278b7b9070c40b')",0.012146119448278432,2.140559610090014
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,8,"diesel, burned in building machine",GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '85cbd0f5c8d9422eb8e62e17411ce3b6')",0.011453296139910469,2.018460564618203
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,9,"quicklime production, in pieces, loose",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'eefa39eddbe442dca5d303661d6e52d6')",0.010578844552257967,1.8643524350646652
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,10,"heat production, at hard coal industrial furnace 1-10MW",CHA,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '20091f32086a4e45944f66c170ba3e66')",0.010284549123764669,1.812487564943025
Chemicals,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,11,Other,,,0.3359680914059564,59.20901155344332
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,1,"hydrogen supply, distributed by pipeline",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.06114053541728921,9.438444891744592
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,2,"market group for electricity, medium voltage",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1f68882440364dbcaec11614acdb8a39')",0.05179410286428346,7.995608515126812
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,3,liquid hydrogen production,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",0.03583900292252829,5.532572650054072
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,4,"nylon 6-6 production, glass-filled",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'd2512b2d0b374a35ac83778c98943ad8')",0.0300727484681067,4.6424189324200436
